"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Language","Name.subject","Name.creator","Subject","Type.genre","Relation.isPartOf","Name.repository","Title","Description.adminnote","Alt ID.local","AltTitle.translated","Coverage.geographic","Format.dimensions","Format.extent","Date.creation","Date.normalized","Description.abstract","Description.note","AltTitle.firstLine","AltTitle.descriptive","Alt ID.OPAC","Alt ID.url","AltTitle.other","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256v3g","ark:/21198/zz00256v2z","2","Completed","Page","orsini/masters/21198-zz00256v3g_1661879_master.tif","29","","","","text","","","","","","","","","","","","","page 28","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256v3g",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256v40","ark:/21198/zz00256v2z","2","Completed","Page","orsini/masters/21198-zz00256v40_1661840_master.tif","22","","","","text","","","","","","","","","","","","","page 21","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256v40",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256v5h","ark:/21198/zz00256v2z","2","Completed","Page","orsini/masters/21198-zz00256v5h_1661884_master.tif","30","","","","text","","","","","","","","","","","","","page 29","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256v5h",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256v61","ark:/21198/zz00256v2z","2","Completed","Page","orsini/masters/21198-zz00256v61_1661833_master.tif","20","","","","text","","","","","","","","","","","","","page 19","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256v61",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256v7j","ark:/21198/zz00256v2z","2","Completed","Page","orsini/masters/21198-zz00256v7j_1661873_master.tif","28","","","","text","","","","","","","","","","","","","page 27","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256v7j",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256v82","ark:/21198/zz00256v2z","2","Completed","Page","orsini/masters/21198-zz00256v82_1661743_master.tif","21","","","","text","","","","","","","","","","","","","page 20","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256v82",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256v9k","ark:/21198/zz00256v2z","2","Completed","Page","orsini/masters/21198-zz00256v9k_1661867_master.tif","27","","","","text","","","","","","","","","","","","","page 26","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256v9k",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256vb3","ark:/21198/zz00256v2z","2","Completed","Page","orsini/masters/21198-zz00256vb3_1661828_master.tif","19","","","","text","","","","","","","","","","","","","page 18","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256vb3",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256vcm","ark:/21198/zz00256v2z","2","Completed","Page","orsini/masters/21198-zz00256vcm_1661863_master.tif","26","","","","text","","","","","","","","","","","","","page 25","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256vcm",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256vd4","ark:/21198/zz00256v2z","2","Completed","Page","orsini/masters/21198-zz00256vd4_1661824_master.tif","18","","","","text","","","","","","","","","","","","","page 17","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256vd4",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256vfn","ark:/21198/zz00256v2z","2","Completed","Page","orsini/masters/21198-zz00256vfn_1661858_master.tif","25","","","","text","","","","","","","","","","","","","page 24","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256vfn",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256vg5","ark:/21198/zz00256v2z","2","Completed","Page","orsini/masters/21198-zz00256vg5_1661816_master.tif","17","","","","text","","","","","","","","","","","","","page 16","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256vg5",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256vhp","ark:/21198/zz00256v2z","2","Completed","Page","orsini/masters/21198-zz00256vhp_1661852_master.tif","24","","","","text","","","","","","","","","","","","","page 23","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256vhp",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256vj6","ark:/21198/zz00256v2z","2","Completed","Page","orsini/masters/21198-zz00256vj6_1661809_master.tif","16","","","","text","","","","","","","","","","","","","page 15","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256vj6",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256vkq","ark:/21198/zz00256v2z","2","Completed","Page","orsini/masters/21198-zz00256vkq_1661846_master.tif","23","","","","text","","","","","","","","","","","","","page 22","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256vkq",""
