"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Language","Name.subject","Name.creator","Subject","Type.genre","Relation.isPartOf","Name.repository","Title","Description.adminnote","Alt ID.local","AltTitle.translated","Coverage.geographic","Format.dimensions","Format.extent","Date.creation","Date.normalized","Description.abstract","Description.note","AltTitle.firstLine","AltTitle.descriptive","Alt ID.OPAC","Alt ID.url","AltTitle.other","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Orsini Family Papers.  Collection 902","ark:/21198/zz002k6v9j/hw88rs20","ark:/21198/zz002k6v9j","","","Page","orsini/masters/21198-zz002k6v9j_2385724_master.tif","1","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6v9j%2Fhw88rs20",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz002k6v9j/mx666j8m","ark:/21198/zz002k6v9j","","","Page","orsini/masters/21198-zz002k6v9j_2385727_master.tif","2","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6v9j%2Fmx666j8m",""
