Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Visibility,Type.typeOfResource,Language,Name.creator,Type.genre,Description.note,Summary,AltTitle.uniform,Title,Alt ID.local,Format.extent,Date.creation,Format.medium,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Sontag (Susan) Papers. Collection 612,ark:/21198/zz0017kmtb,ark:/21198/zz00151t9g,1,In progress,Work,sontag/masters/21198-zz0017kmtb_506903_master.tif,2,,,,private,still image,,"Thek, Paul",,,,,drawing of hands,"Box 143, folder 16",,"March 19, no year",,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kmtb,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017kmtb/manifest
Sontag (Susan) Papers. Collection 612,ark:/21198/zz0017kmvv,ark:/21198/zz00151t9g,1,In progress,Work,sontag/masters/21198-zz0017kmvv_506933_master.tif,3,,,,private,still image,,"Thek, Paul",,,,,Molehill [drawing],"Box 143, folder 16",1 drawing,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kmvv,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017kmvv/manifest
Sontag (Susan) Papers. Collection 612,ark:/21198/zz0017kmwc,ark:/21198/zz00151t9g,1,In progress,Work,sontag/masters/21198-zz0017kmwc_506959_master.tif,4,,,,private,still image,,"Thek, Paul",,Reads: Neitzsche caught beating a dead horse red handed. I love you. X,,,ink and watercolor drawing of a hand,"Box 143, folder 16",,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kmwc,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017kmwc/manifest
Sontag (Susan) Papers. Collection 612,ark:/21198/zz0017kmxw,ark:/21198/zz00151t9g,1,In progress,Work,sontag/masters/21198-zz0017kmxw_506996_master.tif,5,,,,private,still image,,"Thek, Paul",,"Reads: An intelligent woman would have answered that letter. No matter, see you soon. My best to you. Vincent Wishful",,,drawing of man's profile,"Box 143, folder 16",1 drawing,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kmxw,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017kmxw/manifest
Sontag (Susan) Papers. Collection 612,ark:/21198/zz0017kntt,ark:/21198/zz00151t9g,1,In progress,Work,sontag/masters/21198-zz0017kntt_507022_master.tif,6,,,,private,still image,,"Thek, Paul",,,,,The Wolfman [drawing],"Box 143, folder 16",1 drawing,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kntt,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017kntt/manifest
