"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.permission","Coverage.geographic","Name.producer","Publisher.publisherName","Subject","Rights.servicesContact","Language","Name.repository","Name.surveyor","Name.cartographer","Name.subject","Name.sponsor","Name.compiler","Name.lithographer","Name.artist","Format.dimensions","AltIdentifier.local","Title","AltIdentifier.oclc","Date.creation","Format.extent","Description.note","AltIdentifier.callNo","Relation.isPartOf","Publisher.placeOfOrigin","Publisher.publisherName","Description.caption","AltTitle.translated","AltTitle.other","AltIdentifier.collection","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Maps of Los Angeles, California, the United States and the World","ark:/21198/z17q0h2d","ark:/21198/zz002kfkkz","2","Completed","Page","Masters/Maps/Yrlscmaps/masters/clusc_1_1_00024427a-revised.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","San Francisco-Monterey area -- Los Angeles & vicinity area","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17q0h2d",""
"Maps of Los Angeles, California, the United States and the World","ark:/21198/z13x9r7s","ark:/21198/zz002kfkkz","2","Completed","Page","Masters/Maps/Yrlscmaps/masters/clusc_1_1_00024428a-revised.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A note of explanantion","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13x9r7s",""
