"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.permission","Coverage.geographic","Name.producer","Publisher.publisherName","Subject","Rights.servicesContact","Language","Name.repository","Name.surveyor","Name.cartographer","Name.subject","Name.sponsor","Name.compiler","Name.lithographer","Name.artist","Format.dimensions","AltIdentifier.local","Title","AltIdentifier.oclc","Date.creation","Format.extent","Description.note","AltIdentifier.callNo","Relation.isPartOf","Publisher.placeOfOrigin","Publisher.publisherName","Description.caption","AltTitle.translated","AltTitle.other","AltIdentifier.collection","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Maps of Los Angeles, California, the United States and the World","ark:/21198/z1n31fk6","ark:/21198/zz00096df8","2","Completed","Page","Masters/Maps/Yrlscmaps/masters/21198-zz00096df8-2-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","front","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n31fk6",""
"Maps of Los Angeles, California, the United States and the World","ark:/21198/z1hb0pt1","ark:/21198/zz00096df8","2","Completed","Page","Masters/Maps/Yrlscmaps/masters/21198-zz00096df8-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","back","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hb0pt1",""
