"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Rights.publicationStatus","Rights.permission","Name.subject","Coverage.geographic","Name.creator","Subject","Rights.publicationNote","Language","Type.genre","Name.author","Name.contributor","Name.correspondent","Name.repository","Rights.permissionNote","Name.photographer","Title","Date.creation","Date.publication","Description.note","Date.normalized","Description.inscription","Description.abstract","Bucketeer State","IIIF Access URL"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz001772xp","ark:/21198/zz001772w5","2","Completed","Page","wavav/images/masters/21198-zz001772xp_497467_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001772xp"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00177306","ark:/21198/zz001772z6","2","Completed","Page","wavav/images/masters/21198-zz00177306_497481_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00177306"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz001774t3","ark:/21198/zz0017731q","2","Completed","Page","wavav/images/masters/21198-zz001774t3_497501_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001774t3"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz001775mg","ark:/21198/zz001774vm","2","Completed","Page","wavav/images/masters/21198-zz001775mg_497515_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001775mg"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz001775q1","ark:/21198/zz001775n0","2","Completed","Page","wavav/images/masters/21198-zz001775q1_497532_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001775q1"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz001775rj","ark:/21198/zz001775ph","2","Completed","Page","wavav/images/masters/21198-zz001775rj_497547_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001775rj"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz001775tk","ark:/21198/zz001775s2","2","Completed","Page","wavav/images/masters/21198-zz001775tk_497580_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001775tk"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz001775v3","ark:/21198/zz001775s2","2","Completed","Page","wavav/images/masters/21198-zz001775v3_497583_master.tif","2","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001775v3"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz001775wm","ark:/21198/zz001775s2","2","Completed","Page","wavav/images/masters/21198-zz001775wm_497587_master.tif","3","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 3","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001775wm"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz001790fc","ark:/21198/zz001790dv","2","Completed","Page","wavav/images/masters/21198-zz001790fc_501598_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001790fc"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz001790gw","ark:/21198/zz001790dv","2","Completed","Page","wavav/images/masters/21198-zz001790gw_501601_master.tif","2","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001790gw"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz001790hd","ark:/21198/zz001790dv","2","Completed","Page","wavav/images/masters/21198-zz001790hd_501604_master.tif","3","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 3","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001790hd"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz001790jx","ark:/21198/zz001790dv","2","Completed","Page","wavav/images/masters/21198-zz001790jx_501607_master.tif","4","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 4","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001790jx"
