"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","viewingHint","Text direction","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Name.editor","Name.engraver","Title","Relation.rectoVerso","Relation.PageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.creation","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Name.illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL"
"Picart (Bernard) Collection","ark:/21198/zz000s1stt","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s1stt-1-master.tif","","","1","","","text","","","","","","cover","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s1stt"
"Picart (Bernard) Collection","ark:/21198/zz000s1svb","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s1svb-1-master.tif","","","2","","","text","","","","","","inside front cover","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s1svb"
"Picart (Bernard) Collection","ark:/21198/zz000s1swv","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s1swv-1-master.tif","","","3","","","text","","","","","","blank Page 01","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s1swv"
"Picart (Bernard) Collection","ark:/21198/zz000s1sxc","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s1sxc-1-master.tif","","","4","","","text","","","","","","blank Page 02","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s1sxc"
"Picart (Bernard) Collection","ark:/21198/zz000s1szw","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s1szw-1-master.tif","","","5","","","text","","","","","","blank Page 03","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s1szw"
"Picart (Bernard) Collection","ark:/21198/zz000s1t0w","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s1t0w-1-master.tif","","","6","","","text","","","","","","blank Page 04","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s1t0w"
"Picart (Bernard) Collection","ark:/21198/zz000s1t1d","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s1t1d-1-master.tif","","","7","","","text","","","","","","half title Page","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s1t1d"
"Picart (Bernard) Collection","ark:/21198/zz000s1t2x","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s1t2x-1-master.tif","","","8","","","text","","","","","","half title Page verso","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s1t2x"
"Picart (Bernard) Collection","ark:/21198/zz000s1t3f","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s1t3f-1-master.tif","","","9","","","text|~|still image","","","","","","title Page","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s1t3f"
"Picart (Bernard) Collection","ark:/21198/zz000s1t4z","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s1t4z-1-master.tif","","","10","","","text","","","","","","title Page verso","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s1t4z"
