"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","viewingHint","Text direction","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Name.editor","Name.engraver","Title","Relation.rectoVerso","Relation.PageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.creation","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Name.illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL"
"Picart (Bernard) Collection","ark:/21198/zz000s1t5g","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s1t5g-1-master.tif","","","11","","","text|~|still image","","","","","","Page 001","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s1t5g"
"Picart (Bernard) Collection","ark:/21198/zz000s1t60","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s1t60-1-master.tif","","","12","","","text","","","","","","Page 002","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s1t60"
"Picart (Bernard) Collection","ark:/21198/zz000s1t7h","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s1t7h-1-master.tif","","","13","","","text","","","","","","Page 003","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s1t7h"
"Picart (Bernard) Collection","ark:/21198/zz000s1t81","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s1t81-1-master.tif","","","14","","","text","","","","","","Page 004","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s1t81"
"Picart (Bernard) Collection","ark:/21198/zz000s1t9j","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s1t9j-1-master.tif","","","15","","","text","","","","","","Page 005","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s1t9j"
"Picart (Bernard) Collection","ark:/21198/zz000s1tb2","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s1tb2-1-master.tif","","","16","","","text","","","","","","Page 006","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s1tb2"
"Picart (Bernard) Collection","ark:/21198/zz000s1tck","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s1tck-1-master.tif","","","17","","","text","","","","","","Page 007","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s1tck"
"Picart (Bernard) Collection","ark:/21198/zz000s1td3","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s1td3-1-master.tif","","","18","","","text","","","","","","Page 008","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s1td3"
"Picart (Bernard) Collection","ark:/21198/zz000s1tfm","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s1tfm-1-master.tif","","","19","","","text","","","","","","Page 008a","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s1tfm"
"Picart (Bernard) Collection","ark:/21198/zz000s1tg4","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s1tg4-1-master.tif","","","20","","","still image","","","","","","Diverses PAGODES et PENITENCES des FAQUIRS.","v","","Diverses PAGODES et PENITENCES des FAQUIRS.1. Le grand Arbre des Banians.2. Pagode de L'idole Mamaniva à un des cotez on marque au front avec du vermillon ceux qui y viennent faire leurs prieres, de l'autre côté un Bramin reçoit les ofrandes de ris &c.3. Pagode de Ram.4. Autre Pagode dediée à Ram.5. Pagode où se retirent les faquirs Penitens.6. Espece de fosse ou se retire plusieurs fois l'Année un faquir lequel ne reçoit de jour que par une petite ouverture.7. Faquir qui dort apuÿé sur une corde","Page 008b","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s1tg4"
"Picart (Bernard) Collection","ark:/21198/zz000s1thn","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s1thn-1-master.tif","","","21","","","still image","","","","","","Diverses PAGODES et PENITENCES des FAQUIRS.","r","","Diverses PAGODES et PENITENCES des FAQUIRS.8. Faquirs qui restent toute leur vies dans cette posture des femmes leur donnent à manger par charité.9. Plusieurs Bramins que des femmes invoquent et consultent comme des Sts.10. Diverses postures, dans les quelles quelques faquirs se tiennent plusieurs heures par jour.11. Bramin qui à le nez et la bouche envelopés crainte defaire mourir quelque petit insecte qu'il pouroit avaler en respirant; c'eŝt pourqui il balaÿe devant lui pour écarter les vers, ou autres insectes sur lesquels il pourroit marcher.12. Faquirs qui se chaufent.13. Faquirs qui nourit des Animaux par charite.B. Picart del. 1729","Page 008c","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s1thn"
"Picart (Bernard) Collection","ark:/21198/zz000s1tj5","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s1tj5-1-master.tif","","","22","","","text","","","","","","Page 008d","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s1tj5"
"Picart (Bernard) Collection","ark:/21198/zz000s1tkp","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s1tkp-1-master.tif","","","23","","","text","","","","","","Page 009","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s1tkp"
"Picart (Bernard) Collection","ark:/21198/zz000s1tm6","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s1tm6-1-master.tif","","","24","","","text","","","","","","Page 010","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s1tm6"
"Picart (Bernard) Collection","ark:/21198/zz000s1tnq","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s1tnq-1-master.tif","","","25","","","text","","","","","","Page 011","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s1tnq"
"Picart (Bernard) Collection","ark:/21198/zz000s1tp7","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s1tp7-1-master.tif","","","26","","","text","","","","","","Page 012","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s1tp7"
"Picart (Bernard) Collection","ark:/21198/zz000s1tqr","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s1tqr-1-master.tif","","","27","","","text","","","","","","Page 013","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s1tqr"
"Picart (Bernard) Collection","ark:/21198/zz000s1tr8","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s1tr8-1-master.tif","","","28","","","text","","","","","","Page 014","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s1tr8"
"Picart (Bernard) Collection","ark:/21198/zz000s1tss","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s1tss-1-master.tif","","","29","","","text","","","","","","Page 015","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s1tss"
"Picart (Bernard) Collection","ark:/21198/zz000s1tt9","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s1tt9-1-master.tif","","","30","","","text","","","","","","Page 016","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s1tt9"
"Picart (Bernard) Collection","ark:/21198/zz000s21cx","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s21cx-1-master.tif","","","31","","","text","","","","","","Page 017","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s21cx"
"Picart (Bernard) Collection","ark:/21198/zz000s21df","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s21df-1-master.tif","","","32","","","text","","","","","","Page 018","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s21df"
"Picart (Bernard) Collection","ark:/21198/zz000s21fz","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s21fz-1-master.tif","","","33","","","text","","","","","","Page 019","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s21fz"
"Picart (Bernard) Collection","ark:/21198/zz000s21gg","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s21gg-1-master.tif","","","34","","","text","","","","","","Page 020","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s21gg"
"Picart (Bernard) Collection","ark:/21198/zz000s21h0","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s21h0-1-master.tif","","","35","","","text","","","","","","Page 021","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s21h0"
"Picart (Bernard) Collection","ark:/21198/zz000s21jh","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s21jh-1-master.tif","","","36","","","text","","","","","","Page 022","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s21jh"
"Picart (Bernard) Collection","ark:/21198/zz000s21k1","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s21k1-1-master.tif","","","37","","","text","","","","","","Page 023","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s21k1"
"Picart (Bernard) Collection","ark:/21198/zz000s21mj","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s21mj-1-master.tif","","","38","","","text","","","","","","Page 024","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s21mj"
"Picart (Bernard) Collection","ark:/21198/zz000s21n2","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s21n2-1-master.tif","","","39","","","still image","","","","","","CEREMONIE qui s'observe à la NAISSANCE des ENFANS chez les BANIANS.","r","","CEREMONIE qui s'observe à la NAISSANCE des ENFANS chez les BANIANS.A. la MERE presente le sein à L'ENFANT.B. L'ENFANT qui a refusé le sein est exposé.C. L'ENFANT continuant pendant 3. jours de refuser le sein, est jetté dans la GANGE. ~CEREMONIE de donner le NOM à un ENFANT chez les BANIANS.B. Picart del. 1728","Page 024a","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s21n2"
"Picart (Bernard) Collection","ark:/21198/zz000s21pk","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s21pk-1-master.tif","","","40","","","text","","","","","","Page 024b","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s21pk"
"Picart (Bernard) Collection","ark:/21198/zz000s21q3","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s21q3-1-master.tif","","","41","","","text","","","","","","Page 025","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s21q3"
"Picart (Bernard) Collection","ark:/21198/zz000s21rm","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s21rm-1-master.tif","","","42","","","text","","","","","","Page 026","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s21rm"
"Picart (Bernard) Collection","ark:/21198/zz000s21s4","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s21s4-1-master.tif","","","43","","","still image","","","","","","Maniere dont les FEMMES se BRULENT aux INDES apres la Mort de leurs EPOUX.","r","","Maniere dont les FEMMES se BRULENT aux INDES apres la Mort de leurs EPOUX.Maniere dont elles S'ENTERRENT toutes vivantes avec le Corps de leurs EPOUX.B. Picart del. 1729.","Page 026a","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s21s4"
"Picart (Bernard) Collection","ark:/21198/zz000s21tn","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s21tn-1-master.tif","","","44","","","text","","","","","","Page 026b","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s21tn"
"Picart (Bernard) Collection","ark:/21198/zz000s21v5","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s21v5-1-master.tif","","","45","","","text","","","","","","Page 027","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s21v5"
"Picart (Bernard) Collection","ark:/21198/zz000s21wp","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s21wp-1-master.tif","","","46","","","text","","","","","","Page 028","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s21wp"
"Picart (Bernard) Collection","ark:/21198/zz000s21x6","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s21x6-1-master.tif","","","47","","","still image","","","","","","MALADE que l'on presente à IXORA pour obtenir sa guerison.","r","","MALADE que l'on presente à IXORA pour obtenir sa guerison.MALADE Agonisant qui reçoit sur son visage l'urine d'une Vache.B. Picart del. 1728.","Page 028a","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s21x6"
"Picart (Bernard) Collection","ark:/21198/zz000s21zq","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s21zq-1-master.tif","","","48","","","text","","","","","","Page 028b","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s21zq"
"Picart (Bernard) Collection","ark:/21198/zz000s220q","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s220q-1-master.tif","","","49","","","text","","","","","","Page 029","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s220q"
"Picart (Bernard) Collection","ark:/21198/zz000s2217","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s2217-1-master.tif","","","50","","","text","","","","","","Page 030","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s2217"
"Picart (Bernard) Collection","ark:/21198/zz000s222r","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s222r-1-master.tif","","","51","","","text","","","","","","Page 031","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s222r"
"Picart (Bernard) Collection","ark:/21198/zz000s2238","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s2238-1-master.tif","","","52","","","text","","","","","","Page 032","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s2238"
"Picart (Bernard) Collection","ark:/21198/zz000s224s","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s224s-1-master.tif","","","53","","","text","","","","","","Page 033","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s224s"
"Picart (Bernard) Collection","ark:/21198/zz000s2259","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s2259-1-master.tif","","","54","","","text","","","","","","Page 034","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s2259"
"Picart (Bernard) Collection","ark:/21198/zz000s226t","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s226t-1-master.tif","","","55","","","text","","","","","","Page 035","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s226t"
"Picart (Bernard) Collection","ark:/21198/zz000s227b","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s227b-1-master.tif","","","56","","","text","","","","","","Page 036","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s227b"
"Picart (Bernard) Collection","ark:/21198/zz000s228v","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s228v-1-master.tif","","","57","","","text","","","","","","Page 036a","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s228v"
"Picart (Bernard) Collection","ark:/21198/zz000s229c","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s229c-1-master.tif","","","58","","","still image","","","","","","FÊTE SOLENNELLE du PEGU appellée SAPAN GIACCHE.","v","","FÊTE SOLENNELLE du PEGU appellée SAPAN GIACCHE.B. Picart sculp. dir. 1726.","Page 036b","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s229c"
"Picart (Bernard) Collection","ark:/21198/zz000s22bw","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s22bw-1-master.tif","","","59","","","text","","","","","","Page 037","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s22bw"
"Picart (Bernard) Collection","ark:/21198/zz000s22cd","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s22cd-1-master.tif","","","60","","","text","","","","","","Page 038","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s22cd"
"Picart (Bernard) Collection","ark:/21198/zz000s2547","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s2547-1-master.tif","","","61","","","text","","","","","","Page 038a","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s2547"
"Picart (Bernard) Collection","ark:/21198/zz000s255r","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s255r-1-master.tif","","","62","","","still image","","","","","","La FÊTE des EAUX des PEGUANS.","v","","La FÊTE des EAUX des PEGUANS.CEREMONIES FUNÊBRES que les PEGUANS pratiquent pour leur ROI DEFUNT.B. Picart sculp. dir.","Page 038b","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s255r"
"Picart (Bernard) Collection","ark:/21198/zz000s2568","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s2568-1-master.tif","","","63","","","text","","","","","","Page 039","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s2568"
"Picart (Bernard) Collection","ark:/21198/zz000s257s","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s257s-1-master.tif","","","64","","","text","","","","","","Page 040","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s257s"
"Picart (Bernard) Collection","ark:/21198/zz000s2589","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s2589-1-master.tif","","","65","","","text","","","","","","Page 041","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s2589"
"Picart (Bernard) Collection","ark:/21198/zz000s259t","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s259t-1-master.tif","","","66","","","text","","","","","","Page 042","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s259t"
"Picart (Bernard) Collection","ark:/21198/zz000s25bb","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s25bb-1-master.tif","","","67","","","text","","","","","","Page 043","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s25bb"
"Picart (Bernard) Collection","ark:/21198/zz000s25cv","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s25cv-1-master.tif","","","68","","","text","","","","","","Page 044","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s25cv"
"Picart (Bernard) Collection","ark:/21198/zz000s25dc","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s25dc-1-master.tif","","","69","","","text","","","","","","Page 045","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s25dc"
"Picart (Bernard) Collection","ark:/21198/zz000s25fw","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s25fw-1-master.tif","","","70","","","text","","","","","","Page 046","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s25fw"
"Picart (Bernard) Collection","ark:/21198/zz000s25gd","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s25gd-1-master.tif","","","71","","","text","","","","","","Page 047","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s25gd"
"Picart (Bernard) Collection","ark:/21198/zz000s25hx","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s25hx-1-master.tif","","","72","","","text","","","","","","Page 048","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s25hx"
"Picart (Bernard) Collection","ark:/21198/zz000s25jf","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s25jf-1-master.tif","","","73","","","text","","","","","","Page 049","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s25jf"
