Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,viewingHint,Text direction,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Subject,Type.genre,Language,Name.editor,Name.engraver,Title,Relation.rectoVerso,Relation.pageNumber,Description.note,Source,Relation.isPartOf,Alt ID.local,Date.normalized,Publisher.publisherName,Format.extent,Publisher.placeOfOrigin,Date.publication,Format.dimensions,Description.tableOfContents,Alt ID.oclc,AltTitle.uniform,AltTitle.inscribed,Relation.hasPart,Name.printer,Name.illustrator,Rights.copyrightStatus
Picart (Bernard) Collection,ark:/21198/zz0013xfx9,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xfx9-1-master.tif,,,1,,,text,,,,,,cover,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xfzt,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xfzt-1-master.tif,,,2,,,text,,,,,,inside front cover,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xg0t,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xg0t-1-master.tif,,,3,,,text,,,,,,blank page 01,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xg1b,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xg1b-1-master.tif,,,4,,,text,,,,,,blank page 02,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xg2v,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xg2v-1-master.tif,,,5,,,text,,,,,,blank page 03,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xg3c,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xg3c-1-master.tif,,,6,,,text,,,,,,blank page 04,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xg4w,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xg4w-1-master.tif,,,7,,,text|~|still image,,,,,,title page,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xg5d,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xg5d-1-master.tif,,,8,,,text,,,,,,AVERTISSEMENT,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xg6x,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xg6x-1-master.tif,,,9,,,text|~|still image,,,,,,page 003,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xg7f,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xg7f-1-master.tif,,,10,,,text,,,,,,page 004,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xg8z,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xg8z-1-master.tif,,,11,,,text,,,,,,page 005,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xg9g,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xg9g-1-master.tif,,,12,,,text,,,,,,page 006,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xgb0,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xgb0-1-master.tif,,,13,,,text,,,,,,page 007,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xgch,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xgch-1-master.tif,,,14,,,text,,,,,,page 008,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xgd1,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xgd1-1-master.tif,,,15,,,text,,,,,,page 009,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xgfj,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xgfj-1-master.tif,,,16,,,text,,,,,,page 010,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xgg2,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xgg2-1-master.tif,,,17,,,text,,,,,,page 011,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xghk,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xghk-1-master.tif,,,18,,,text,,,,,,page 012,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xgj3,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xgj3-1-master.tif,,,19,,,text,,,,,,page 013,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xgkm,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xgkm-1-master.tif,,,20,,,text,,,,,,page 014,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xgm4,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xgm4-1-master.tif,,,21,,,text,,,,,,page 015,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xgnn,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xgnn-1-master.tif,,,22,,,text,,,,,,page 016,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xgp5,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xgp5-1-master.tif,,,23,,,text,,,,,,page 017,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xgqp,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xgqp-1-master.tif,,,24,,,text,,,,,,page 018,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xgr6,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xgr6-1-master.tif,,,25,,,text,,,,,,page 019,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xgsq,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xgsq-1-master.tif,,,26,,,text,,,,,,page 020,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xgt7,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xgt7-1-master.tif,,,27,,,text,,,,,,page 021,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xgvr,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xgvr-1-master.tif,,,28,,,text,,,,,,page 022,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xgw8,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xgw8-1-master.tif,,,29,,,text,,,,,,page 023,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xgxs,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xgxs-1-master.tif,,,30,,,text,,,,,,page 024,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xgz9,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xgz9-1-master.tif,,,31,,,text,,,,,,page 025,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xh09,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xh09-1-master.tif,,,32,,,text,,,,,,page 026,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xh1t,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xh1t-1-master.tif,,,33,,,text,,,,,,page 027,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xh2b,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xh2b-1-master.tif,,,34,,,text,,,,,,page 028,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xh3v,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xh3v-1-master.tif,,,35,,,text,,,,,,page 029,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xh4c,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xh4c-1-master.tif,,,36,,,text,,,,,,page 030,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xh5w,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xh5w-1-master.tif,,,37,,,text,,,,,,page 031,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xh6d,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xh6d-1-master.tif,,,38,,,text,,,,,,page 032,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xh7x,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xh7x-1-master.tif,,,39,,,text,,,,,,page 033,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xh8f,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xh8f-1-master.tif,,,40,,,text,,,,,,page 034,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xh9z,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xh9z-1-master.tif,,,41,,,text,,,,,,page 035,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xhbg,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xhbg-1-master.tif,,,42,,,text,,,,,,page 036,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xhc0,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xhc0-1-master.tif,,,43,,,text,,,,,,page 037,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xhdh,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xhdh-1-master.tif,,,44,,,text,,,,,,page 038,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xhf1,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xhf1-1-master.tif,,,45,,,text,,,,,,page 039,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0013xhgj,ark:/21198/zz0009pfk3,2,Completed,ChildWork,picart/masters/21198-zz0013xhgj-1-master.tif,,,46,,,text,,,,,,page 040,v,,,,,,,,,,,,,,,,,,,
