Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,viewingHint,Text direction,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Subject,Type.genre,Language,Name.editor,Name.engraver,Title,Relation.rectoVerso,Relation.pageNumber,Description.note,Source,Relation.isPartOf,Alt ID.local,Date.normalized,Publisher.publisherName,Format.extent,Publisher.placeOfOrigin,Date.publication,Format.dimensions,Description.tableOfContents,Alt ID.oclc,AltTitle.uniform,AltTitle.inscribed,Relation.hasPart,Name.printer,Name.illustrator,Rights.copyrightStatus
Picart (Bernard) Collection,ark:/21198/zz000s26cb,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s26cb-1-master.tif,,,207,,,still image,,,,,,SIECLE DES MEXIQUAINS.,r,,"SIECLE DES MEXIQUAINS.ANNÉE DES MEXIQUAINS.Les Mexiquains expliquoient leurs pensées, et donnoient une idée des choses sensibles par des Hieroglyphes, à la façon des Anciens Egyptiens. C'êst de cette maniere que leur Siecle et leur année etoient representez. Une Rouë peinte contenoit l'espace d'un Siecle distingué par années et chargé des evenemens memorables. Le Siecle etoit de 52. Années Solaires, chacune de 365. jours, 4 indictions de 13. Ans chacune formoient la division de la rouë & repondoient aux 4. parties du Monde de la maniere suivante. Un Serpent environnoit cette Rouë, et marquoit pas ses 4. noeuds les 4. divisions, l'Hieroglyphe de la premiere, qui marquoit le Midi, etoit un Lapin, sur un fond bleu, que l'on appelloit TOCHTLILA. de la seconde pour l'Orient , une canne sur un fond rouge. on l'appelloit ACATL. de la troisieme pour le Nord, une épée avec une pointe de pierre sur un fond jaune. on l'appelloit TECPATL. de la quatrieme pour l'Occident, une maison sur du verd. on l'appelloit CAGLI. Entre ces quatre divisions, il y en avoit douze petites dans lesquelles les quatre Hieroglyphes étoient distribués successivement en donnant à chacun sa valeur numerale jusqu'à 13. qui etoient le nombre d'année qui composoient l'indiction. on faisoit la même chose dans la deuxième indiction. avec les mêmes noms depuis jusqu'à 13. dans la troisieme et quatrieme jusqu'à ce que le Cercle de 52. Ans fut fini, de la maniere qui suit.oo oo o oo o o oo o o o oo o o o o oo o o o o o oo o o o o o o oo o o o o o o o oo o o o o o o o o oo o o o o o o o o o oo o o o o o o o o o o oo o o o o o o o o o o o oOn observoit cette maniere de compter par treize non seulement dans les années; mais aussi dans les mois, Ils recommencoient lors qu'ils arrivoient à 13. L'Année solaire etoit de 365. jours, et les Mois de 20. leurs noms & leurs Hieroglyphes sont marquez dans la figure par 1. 2. 3. & ainsi de suite jusqu'à 18. Pour faire l'Année complette de 365. jours, les Mexiquains en ajoutoient 5. aux 18. mois de 20. jours chacun, qui faisoient l'Année. Cette Explication est tirée de GEMELLI CARERI. Tome VI. de ses VOYAGES. chap.V.",page 158a,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s26dv,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s26dv-1-master.tif,,,208,,,text,,,,,,page 158b,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s26fc,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s26fc-1-master.tif,,,209,,,text,,,,,,page 159,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s26gw,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s26gw-1-master.tif,,,210,,,text,,,,,,page 160,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s26hd,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s26hd-1-master.tif,,,211,,,still image,,,,,,Desolation des MEXICAINS à la fin du SIECLE.,r,,"Desolation des MEXICAINS à la fin du SIECLE.Rejouïssances des MEXICAINS, au commmencement du SIECLE.B. Picart, inv. 1721.",page 160a,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s26jx,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s26jx-1-master.tif,,,212,,,text,,,,,,page 160b,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s26kf,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s26kf-1-master.tif,,,213,,,text,,,,,,page 161,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s26mz,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s26mz-1-master.tif,,,214,,,text,,,,,,page 162,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s26ng,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s26ng-1-master.tif,,,215,,,still image,,,,,,MARIAGE des MEXICAINS.,r,,MARIAGE des MEXICAINS.CEREMONIES que les MEXICAINS pratiquent à l'egard de leurs ENFANS.B.Picart del. 1723.,page 162a,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s26p0,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s26p0-1-master.tif,,,216,,,text,,,,,,page 162b,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s26qh,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s26qh-1-master.tif,,,217,,,text,,,,,,page 163,r,,,,,,,,,,,,,,,,,,,
