"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","viewingHint","Text direction","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Name.editor","Name.engraver","Title","Relation.rectoVerso","Relation.PageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.publication","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Name.illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL"
"Picart (Bernard) Collection","ark:/21198/zz00159sm7","ark:/21198/zz0009pfn4","2","Completed","Page","picart/masters/21198-zz00159sm7-1-master.tif","","","1","","","text","","","","","","cover","r","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00159sm7"
"Picart (Bernard) Collection","ark:/21198/zz00159snr","ark:/21198/zz0009pfn4","2","Completed","Page","picart/masters/21198-zz00159snr-1-master.tif","","","2","","","text","","","","","","inside front cover","v","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00159snr"
"Picart (Bernard) Collection","ark:/21198/zz00159sp8","ark:/21198/zz0009pfn4","2","Completed","Page","picart/masters/21198-zz00159sp8-1-master.tif","","","3","","","text","","","","","","blank Page 01","r","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00159sp8"
"Picart (Bernard) Collection","ark:/21198/zz00159sqs","ark:/21198/zz0009pfn4","2","Completed","Page","picart/masters/21198-zz00159sqs-1-master.tif","","","4","","","text","","","","","","blank Page 02","v","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00159sqs"
"Picart (Bernard) Collection","ark:/21198/zz00159sr9","ark:/21198/zz0009pfn4","2","Completed","Page","picart/masters/21198-zz00159sr9-1-master.tif","","","5","","","text","","","","","","blank Page 03","r","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00159sr9"
"Picart (Bernard) Collection","ark:/21198/zz00159sst","ark:/21198/zz0009pfn4","2","Completed","Page","picart/masters/21198-zz00159sst-1-master.tif","","","6","","","text","","","","","","blank Page 04","v","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00159sst"
"Picart (Bernard) Collection","ark:/21198/zz00159stb","ark:/21198/zz0009pfn4","2","Completed","Page","picart/masters/21198-zz00159stb-1-master.tif","","","7","","","text","","","","","","half title Page","r","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00159stb"
"Picart (Bernard) Collection","ark:/21198/zz00159svv","ark:/21198/zz0009pfn4","2","Completed","Page","picart/masters/21198-zz00159svv-1-master.tif","","","8","","","text","","","","","","half title Page verso","v","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00159svv"
"Picart (Bernard) Collection","ark:/21198/zz00159swc","ark:/21198/zz0009pfn4","2","Completed","Page","picart/masters/21198-zz00159swc-1-master.tif","","","9","","","text|~|still image","","","","","","title Page","r","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00159swc"
"Picart (Bernard) Collection","ark:/21198/zz00159sxw","ark:/21198/zz0009pfn4","2","Completed","Page","picart/masters/21198-zz00159sxw-1-master.tif","","","10","","","text","","","","","","title Page verso","v","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00159sxw"
"Picart (Bernard) Collection","ark:/21198/zz00159szd","ark:/21198/zz0009pfn4","2","Completed","Page","picart/masters/21198-zz00159szd-1-master.tif","","","11","","","text|~|still image","","","","","","Page 001","r","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00159szd"
"Picart (Bernard) Collection","ark:/21198/zz00159t0d","ark:/21198/zz0009pfn4","2","Completed","Page","picart/masters/21198-zz00159t0d-1-master.tif","","","12","","","text","","","","","","Page 002","v","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00159t0d"
"Picart (Bernard) Collection","ark:/21198/zz00159t1x","ark:/21198/zz0009pfn4","2","Completed","Page","picart/masters/21198-zz00159t1x-1-master.tif","","","13","","","text","","","","","","Page 003","r","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00159t1x"
"Picart (Bernard) Collection","ark:/21198/zz00159t2f","ark:/21198/zz0009pfn4","2","Completed","Page","picart/masters/21198-zz00159t2f-1-master.tif","","","14","","","text","","","","","","Page 004","v","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00159t2f"
"Picart (Bernard) Collection","ark:/21198/zz00159t3z","ark:/21198/zz0009pfn4","2","Completed","Page","picart/masters/21198-zz00159t3z-1-master.tif","","","15","","","text","","","","","","Page 005","r","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00159t3z"
"Picart (Bernard) Collection","ark:/21198/zz00159t4g","ark:/21198/zz0009pfn4","2","Completed","Page","picart/masters/21198-zz00159t4g-1-master.tif","","","16","","","text","","","","","","Page 006","v","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00159t4g"
"Picart (Bernard) Collection","ark:/21198/zz00159t50","ark:/21198/zz0009pfn4","2","Completed","Page","picart/masters/21198-zz00159t50-1-master.tif","","","17","","","text","","","","","","Page 007","r","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00159t50"
"Picart (Bernard) Collection","ark:/21198/zz00159t6h","ark:/21198/zz0009pfn4","2","Completed","Page","picart/masters/21198-zz00159t6h-1-master.tif","","","18","","","text","","","","","","Page 008","v","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00159t6h"
"Picart (Bernard) Collection","ark:/21198/zz00159t71","ark:/21198/zz0009pfn4","2","Completed","Page","picart/masters/21198-zz00159t71-1-master.tif","","","19","","","text","","","","","","Page 009","r","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00159t71"
"Picart (Bernard) Collection","ark:/21198/zz00159t8j","ark:/21198/zz0009pfn4","2","Completed","Page","picart/masters/21198-zz00159t8j-1-master.tif","","","20","","","text","","","","","","Page 010","v","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00159t8j"
"Picart (Bernard) Collection","ark:/21198/zz00159t92","ark:/21198/zz0009pfn4","2","Completed","Page","picart/masters/21198-zz00159t92-1-master.tif","","","21","","","text","","","","","","Page 011","r","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00159t92"
"Picart (Bernard) Collection","ark:/21198/zz00159tbk","ark:/21198/zz0009pfn4","2","Completed","Page","picart/masters/21198-zz00159tbk-1-master.tif","","","22","","","text","","","","","","Page 012","v","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00159tbk"
"Picart (Bernard) Collection","ark:/21198/zz00159tc3","ark:/21198/zz0009pfn4","2","Completed","Page","picart/masters/21198-zz00159tc3-1-master.tif","","","23","","","text","","","","","","Page 013","r","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00159tc3"
"Picart (Bernard) Collection","ark:/21198/zz00159tdm","ark:/21198/zz0009pfn4","2","Completed","Page","picart/masters/21198-zz00159tdm-1-master.tif","","","24","","","text","","","","","","Page 014","v","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00159tdm"
"Picart (Bernard) Collection","ark:/21198/zz00159tf4","ark:/21198/zz0009pfn4","2","Completed","Page","picart/masters/21198-zz00159tf4-1-master.tif","","","25","","","text","","","","","","Page 015","r","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00159tf4"
"Picart (Bernard) Collection","ark:/21198/zz00159tgn","ark:/21198/zz0009pfn4","2","Completed","Page","picart/masters/21198-zz00159tgn-1-master.tif","","","26","","","text","","","","","","Page 016","v","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00159tgn"
"Picart (Bernard) Collection","ark:/21198/zz00159th5","ark:/21198/zz0009pfn4","2","Completed","Page","picart/masters/21198-zz00159th5-1-master.tif","","","27","","","text","","","","","","Page 017","r","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00159th5"
"Picart (Bernard) Collection","ark:/21198/zz00159tjp","ark:/21198/zz0009pfn4","2","Completed","Page","picart/masters/21198-zz00159tjp-1-master.tif","","","28","","","text","","","","","","Page 018","v","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00159tjp"
"Picart (Bernard) Collection","ark:/21198/zz00159tk6","ark:/21198/zz0009pfn4","2","Completed","Page","picart/masters/21198-zz00159tk6-1-master.tif","","","29","","","text","","","","","","Page 019","r","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00159tk6"
"Picart (Bernard) Collection","ark:/21198/zz00159tmq","ark:/21198/zz0009pfn4","2","Completed","Page","picart/masters/21198-zz00159tmq-1-master.tif","","","30","","","text","","","","","","Page 020","v","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00159tmq"
