"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","viewingHint","Text direction","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Editor","Name.engraver","Title","Relation.rectoVerso","Relation.PageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.creation","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Name.illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL"
"Picart (Bernard) Collection","ark:/21198/zz001785mx","ark:/21198/zz0009pfq5","2","Completed","Page","picart/masters/21198-zz001785mx_499569_master.tif","","","1","","","text","","","","","","cover","r","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001785mx"
"Picart (Bernard) Collection","ark:/21198/zz001785nf","ark:/21198/zz0009pfq5","2","Completed","Page","picart/masters/21198-zz001785nf_499573_master.tif","","","2","","","text","","","","","","inside front cover","v","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001785nf"
"Picart (Bernard) Collection","ark:/21198/zz001785pz","ark:/21198/zz0009pfq5","2","Completed","Page","picart/masters/21198-zz001785pz_499579_master.tif","","","3","","","text","","","","","","blank Page 01","r","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001785pz"
"Picart (Bernard) Collection","ark:/21198/zz001785qg","ark:/21198/zz0009pfq5","2","Completed","Page","picart/masters/21198-zz001785qg_499584_master.tif","","","4","","","text","","","","","","blank Page 02","v","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001785qg"
"Picart (Bernard) Collection","ark:/21198/zz001785r0","ark:/21198/zz0009pfq5","2","Completed","Page","picart/masters/21198-zz001785r0_499587_master.tif","","","5","","","text","","","","","","blank Page 03","r","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001785r0"
"Picart (Bernard) Collection","ark:/21198/zz001785sh","ark:/21198/zz0009pfq5","2","Completed","Page","picart/masters/21198-zz001785sh_499593_master.tif","","","6","","","text","","","","","","blank Page 04","v","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001785sh"
"Picart (Bernard) Collection","ark:/21198/zz001785t1","ark:/21198/zz0009pfq5","2","Completed","Page","picart/masters/21198-zz001785t1_499596_master.tif","","","7","","","text","","","","","","half title Page","r","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001785t1"
"Picart (Bernard) Collection","ark:/21198/zz001785vj","ark:/21198/zz0009pfq5","2","Completed","Page","picart/masters/21198-zz001785vj_499600_master.tif","","","8","","","text","","","","","","half title Page verso","v","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001785vj"
"Picart (Bernard) Collection","ark:/21198/zz001785w2","ark:/21198/zz0009pfq5","2","Completed","Page","picart/masters/21198-zz001785w2_505299_master.tif","","","9","","","text|~|still image","","","","","","title Page","r","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001785w2"
"Picart (Bernard) Collection","ark:/21198/zz001785xk","ark:/21198/zz0009pfq5","2","Completed","Page","picart/masters/21198-zz001785xk_499614_master.tif","","","10","","","text","","","","","","title Page verso","v","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001785xk"
"Picart (Bernard) Collection","ark:/21198/zz001785z3","ark:/21198/zz0009pfq5","2","Completed","Page","picart/masters/21198-zz001785z3_499619_master.tif","","","11","","","text","","","","","","Page i","r","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001785z3"
"Picart (Bernard) Collection","ark:/21198/zz00178603","ark:/21198/zz0009pfq5","2","Completed","Page","picart/masters/21198-zz00178603_499623_master.tif","","","12","","","text","","","","","","Page ii","v","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178603"
