Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,viewingHint,Text direction,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Subject,Type.genre,Language,Name.editor,Name.engraver,Title,Relation.rectoVerso,Relation.pageNumber,Description.note,Source,Relation.isPartOf,Alt ID.local,Date.normalized,Publisher.publisherName,Format.extent,Publisher.placeOfOrigin,Date.publication,Format.dimensions,Description.tableOfContents,Alt ID.oclc,AltTitle.uniform,AltTitle.inscribed,Relation.hasPart,Name.printer,Name.illustrator,Rights.copyrightStatus
Picart (Bernard) Collection,ark:/21198/zz001406gh,ark:/21198/zz0009pfmm,2,Completed,ChildWork,picart/masters/21198-zz001406gh-1-master.tif,,,1,,,text,,,,,,cover,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz00152524,ark:/21198/zz0009pfmm,2,Completed,ChildWork,picart/masters/21198-zz00152524-1-master.tif,,,2,,,text,,,,,,inside front cover,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0015253n,ark:/21198/zz0009pfmm,2,Completed,ChildWork,picart/masters/21198-zz0015253n-1-master.tif,,,3,,,text,,,,,,blank page 01,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz00152545,ark:/21198/zz0009pfmm,2,Completed,ChildWork,picart/masters/21198-zz00152545-1-master.tif,,,4,,,text,,,,,,blank page 02,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0015255p,ark:/21198/zz0009pfmm,2,Completed,ChildWork,picart/masters/21198-zz0015255p-1-master.tif,,,5,,,text,,,,,,blank page 03,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz00152566,ark:/21198/zz0009pfmm,2,Completed,ChildWork,picart/masters/21198-zz00152566-1-master.tif,,,6,,,text,,,,,,blank page 04,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0015257q,ark:/21198/zz0009pfmm,2,Completed,ChildWork,picart/masters/21198-zz0015257q-1-master.tif,,,7,,,text,,,,,,half title page,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz00152587,ark:/21198/zz0009pfmm,2,Completed,ChildWork,picart/masters/21198-zz00152587-1-master.tif,,,8,,,text,,,,,,half title page verso,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0015259r,ark:/21198/zz0009pfmm,2,Completed,ChildWork,picart/masters/21198-zz0015259r-1-master.tif,,,9,,,text|~|still image,,,,,,title page,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz001525b8,ark:/21198/zz0009pfmm,2,Completed,ChildWork,picart/masters/21198-zz001525b8-1-master.tif,,,10,,,text,,,,,,title page verso,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz001525cs,ark:/21198/zz0009pfmm,2,Completed,ChildWork,picart/masters/21198-zz001525cs-1-master.tif,,,11,,,text,,,,,,lettre,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz001525d9,ark:/21198/zz0009pfmm,2,Completed,ChildWork,picart/masters/21198-zz001525d9-1-master.tif,,,12,,,text,,,,,,lettre verso,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz001525ft,ark:/21198/zz0009pfmm,2,Completed,ChildWork,picart/masters/21198-zz001525ft-1-master.tif,,,13,,,text,,,,,,page [001],r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz001525gb,ark:/21198/zz0009pfmm,2,Completed,ChildWork,picart/masters/21198-zz001525gb-1-master.tif,,,14,,,still image,,,,,,page [002],v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz001525hv,ark:/21198/zz0009pfmm,2,Completed,ChildWork,picart/masters/21198-zz001525hv-1-master.tif,,,15,,,text|~|still image,,,,,,page [003],r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz001525jc,ark:/21198/zz0009pfmm,2,Completed,ChildWork,picart/masters/21198-zz001525jc-1-master.tif,,,16,,,text,,,,,,page 004,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz001525kw,ark:/21198/zz0009pfmm,2,Completed,ChildWork,picart/masters/21198-zz001525kw-1-master.tif,,,17,,,text,,,,,,page 005,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz001525md,ark:/21198/zz0009pfmm,2,Completed,ChildWork,picart/masters/21198-zz001525md-1-master.tif,,,18,,,text,,,,,,page  006,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz001525nx,ark:/21198/zz0009pfmm,2,Completed,ChildWork,picart/masters/21198-zz001525nx-1-master.tif,,,19,,,text,,,,,,page 007,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz001525pf,ark:/21198/zz0009pfmm,2,Completed,ChildWork,picart/masters/21198-zz001525pf-1-master.tif,,,20,,,text,,,,,,page 008,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz001525qz,ark:/21198/zz0009pfmm,2,Completed,ChildWork,picart/masters/21198-zz001525qz-1-master.tif,,,21,,,text,,,,,,page 009,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz001527pd,ark:/21198/zz0009pfmm,2,Completed,ChildWork,picart/masters/21198-zz001527pd-1-master.tif,,,22,,,text,,,,,,page 010,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz001527rf,ark:/21198/zz0009pfmm,2,Completed,ChildWork,picart/masters/21198-zz001527rf-1-master.tif,,,23,,,text,,,,,,page 011,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz001527sz,ark:/21198/zz0009pfmm,2,Completed,ChildWork,picart/masters/21198-zz001527sz-1-master.tif,,,24,,,text,,,,,,page 012,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz001527tg,ark:/21198/zz0009pfmm,2,Completed,ChildWork,picart/masters/21198-zz001527tg-1-master.tif,,,25,,,text|~|still image,,,,,,page 013,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz001527v0,ark:/21198/zz0009pfmm,2,Completed,ChildWork,picart/masters/21198-zz001527v0-1-master.tif,,,26,,,text,,,,,,page [014],v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz001527wh,ark:/21198/zz0009pfmm,2,Completed,ChildWork,picart/masters/21198-zz001527wh-1-master.tif,,,27,,,text|~|still image,,,,,,page [015],r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz001527x1,ark:/21198/zz0009pfmm,2,Completed,ChildWork,picart/masters/21198-zz001527x1-1-master.tif,,,28,,,text,,,,,,page [016],v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz001527zj,ark:/21198/zz0009pfmm,2,Completed,ChildWork,picart/masters/21198-zz001527zj-1-master.tif,,,29,,,text|~|still image,,,,,,page [001],r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0015280j,ark:/21198/zz0009pfmm,2,Completed,ChildWork,picart/masters/21198-zz0015280j-1-master.tif,,,30,,,text,,,,,,page 002,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz00152812,ark:/21198/zz0009pfmm,2,Completed,ChildWork,picart/masters/21198-zz00152812-1-master.tif,,,31,,,text,,,,,,page 005,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0015282k,ark:/21198/zz0009pfmm,2,Completed,ChildWork,picart/masters/21198-zz0015282k-1-master.tif,,,32,,,text,,,,,,page 006,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz00152833,ark:/21198/zz0009pfmm,2,Completed,ChildWork,picart/masters/21198-zz00152833-1-master.tif,,,33,,,text,,,,,,page 007,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0015284m,ark:/21198/zz0009pfmm,2,Completed,ChildWork,picart/masters/21198-zz0015284m-1-master.tif,,,34,,,text,,,,,,page 008,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz00152854,ark:/21198/zz0009pfmm,2,Completed,ChildWork,picart/masters/21198-zz00152854-1-master.tif,,,35,,,text,,,,,,page 009,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0015286n,ark:/21198/zz0009pfmm,2,Completed,ChildWork,picart/masters/21198-zz0015286n-1-master.tif,,,36,,,text,,,,,,page 010,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz00152875,ark:/21198/zz0009pfmm,2,Completed,ChildWork,picart/masters/21198-zz00152875-1-master.tif,,,37,,,text,,,,,,page 011,r,,,,,,,,,,,,,,,,,,,
