Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,viewingHint,Text direction,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Subject,Type.genre,Language,Name.editor,Name.engraver,Title,Relation.rectoVerso,Relation.pageNumber,Description.note,Source,Relation.isPartOf,Alt ID.local,Date.normalized,Publisher.publisherName,Format.extent,Publisher.placeOfOrigin,Date.publication,Format.dimensions,Description.tableOfContents,Alt ID.oclc,AltTitle.uniform,AltTitle.inscribed,Relation.hasPart,Name.printer,Name.illustrator,Rights.copyrightStatus
Picart (Bernard) Collection,ark:/21198/zz0009pfdh,ark:/21198/zz0002gx8m,2,Completed,Work2,,,,,,,text,Rites and ceremonies--Early works to 1800.|~|Religions--Early works to 1800.,Engravings--Netherlands--18th century.,fre,"Bruzen de La Martinière, Antoine Augustin, 1662-1746. |~|Bernard, Jean Frédéric, d. 1752","Du Bosc, Claude, 1684-1745? ","Cérémonies et coutumes religieuses de tous les peuples du monde / représentées par des figures dessinées de la main de Bernard Picard [i.e. Picart] ; avec une explication historique, & quelques dissertations curieuses.",,,,,,,1723/1743,Chez J.F. Bernard,9 v. : ill. (engravings),A Amsterdam,[1723-1743],47 cm.,"t. 1. Ceremonies des juifs & des chrétiens catholiques -- t. 2. Ceremonies religieuses en usage chez les catholiques -- t. 3. 1 ptie. Ceremonies religieuses des peuples des indes occidentales; t. 3. 2. ptie. Sur les pratiques religieuses des indiens orientaux -- t. 4. 1 ptie; Sur la religions des Banians, &c &c.; t.4. 2 ptie. Ceremonies religieuses des peuples de la Chine & du Japon, &c.; t. 4., 3. ptie. Sur la religion des perses ... & sur les africains -- t. 5. Ceremonies des grecs & des protestans -- t. 6. Les Anglicans, les quaquers, les anabaptistes, &c. -- t. 7. Céremonies des Mahometans &c.; Supplement et corrections. Table des matieres -- t. 8. Dissertations de Mess. les abbés Banier & Le Mascrier, sur des matieres qui ont quelque raport aux Cérémonies religieuses &c. -- t. 9. Paralléle historique des cérémonies religieuses de tous les peuples anciens et modernes, & la description de divers usages singuliers, prétendus religieux, ou qui ont quelque raport à la religion.	VIII. Dissertations de Mess. les abbés Banier & Le Mascrier, sur des matieres qui ont quelque raport aux Cérémonies religieuses &c. 5 leaves of plates. t. 7., 2. ptie., 1743 -- IX. Paralléle historique des cérémonies religieuses de tous les peuples anciens et modernes, & la description de divers usages singuliers, prétendus religieux, ou qui ont quelque raport à la religion. 24 leaves of plates. t. 8., 1743.",,,,,,"Picart, Bernard, 1673-1733",pd
Picart (Bernard) Collection,ark:/21198/zz0009pff1,ark:/21198/zz0009pfdh,2,Completed,Work,picart/text/masters/21198-zz0009pff1-1-master.xml,,,1,,,,Rites and ceremonies--Early works to 1800.|~|Religions--Early works to 1800.,Engravings--Netherlands--18th century.,fre,,,"Cérémonies et coutumes religieuses de tous les peuples du monde / représentées par des figures dessinées de la main de Bernard Picard [i.e. Picart] ; avec une explication historique, & quelques dissertations curieuses. Tome 1",,,,,,,,,,,,,,,,"Tome Premier, qui contient les Ceremonies des Juifs & des Chrétiens Catholiques.",,,"Picart, Bernard, 1673-1733",pd
Picart (Bernard) Collection,ark:/21198/zz0009pfgj,ark:/21198/zz0009pfdh,2,Completed,Work,picart/text/masters/21198-zz0009pfgj-1-master.xml,,,2,,,,Rites and ceremonies--Early works to 1800.|~|Religions--Early works to 1801,,,,,French Vol 2,,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0009pfh2,ark:/21198/zz0009pfdh,2,Completed,Work,picart/text/masters/21198-zz0009pfh2-1-master.xml,,,3,,,,Rites and ceremonies--Early works to 1800.|~|Religions--Early works to 1802,,,,,French Vol 3,,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0009pfjk,ark:/21198/zz0009pfdh,2,Completed,Work,picart/text/masters/21198-zz0009pfjk-1-master.xml,,,4,,,,Rites and ceremonies--Early works to 1800.|~|Religions--Early works to 1803,,,,,French Vol 4,,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0009pfk3,ark:/21198/zz0009pfdh,2,Completed,Work,picart/text/masters/21198-zz0009pfk3-1-master.xml,,,5,,,,Rites and ceremonies--Early works to 1800.|~|Religions--Early works to 1804,,,,,French Vol 5,,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0009pfmm,ark:/21198/zz0009pfdh,2,Completed,Work,,,,6,,,,Rites and ceremonies--Early works to 1800.|~|Religions--Early works to 1805,,,,,French Vol 6,,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0009pfn4,ark:/21198/zz0009pfdh,2,Completed,Work,,,,7,,,,Rites and ceremonies--Early works to 1800.|~|Religions--Early works to 1806,,,,,French Vol 7,,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0009pfpn,ark:/21198/zz0009pfdh,2,Completed,Work,,,,8,,,,Rites and ceremonies--Early works to 1800.|~|Religions--Early works to 1807,,,,,"French Vol 7, Part 2",,,is a physically distinct volume from volume 7,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz0009pfq5,ark:/21198/zz0009pfdh,2,Completed,Work,,,,9,,,,Rites and ceremonies--Early works to 1800.|~|Religions--Early works to 1808,,fre,,,French Vol 8,,,,,,,,,,,,,,,,,,,,
