"Object Type","Title","Local identifier","Item ARK","Parent ARK","File Name","AltTitle.other","collection.physical","Contents note","Date.created","Date.normalized","Description.latitude","Description.longitude","Description.note","Format.dimensions","Format.extent","Format.medium","Resource type","Genre","Language","Name.creator","Named subject","Note","Place of origin","Publisher.publisherName","Repository","Statement of Responsibility","Rights.copyrightStatus","Rights.rightsHolderContact","Subject","Subject geographic","Subject temporal","Bucketeer State","IIIF Access URL"
"Work","Ramakatane archive 1195","A10_Ramakatane_02_05","ark:/21198/z14q9m3k","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a10_0002_005.tif","","Ramakatane Archive (Lesotho National Museum)","Miss Butha Buthe dressed in a fancy dress with sash and crown on her head seated with her gloved hands clasped in her lap, photographed in Mr. M.T. Ramakatane's City Centre Studio","1970","1970","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14q9m3k"
"Work","Ramakatane archive 1196","A10_Ramakatane_02_06","ark:/21198/z10z8vg6","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a10_0002_006.tif","","Ramakatane Archive (Lesotho National Museum)","Miss Butha Buthe dressed in a fancy dress with sash and crown on her head seated with her gloved hands on her thighs, photographed in Mr. M.T. Ramakatane's City Centre Studio","1970","1970","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10z8vg6"
"Work","Ramakatane archive 1197","A10_Ramakatane_02_06a","ark:/21198/z1w972b1","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a10_0002_006a.tif","","Ramakatane Archive (Lesotho National Museum)","Elderly man in a fedora and suit with lace pocket square seated and looking warmly at the camera, photographed in Mr. M.T. Ramakatane's City Centre Studio","1970","1970","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w972b1"
"Work","Ramakatane archive 1198","A10_Ramakatane_02_07","ark:/21198/z1rj69p6","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a10_0002_007.tif","","Ramakatane Archive (Lesotho National Museum)","Young man in a suit and tie with mokorotlo on his head looking into the camera, photographed in Mr. M.T. Ramakatane's City Centre Studio","1970","1970","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Youth","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rj69p6"
"Work","Ramakatane archive 1199","A10_Ramakatane_02_09","ark:/21198/z1ms5k0b","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a10_0002_009.tif","","Ramakatane Archive (Lesotho National Museum)","Young woman with short relaxed hair wearing floral dress and sleeveless turtleneck facing the camera and smiling with hands clasped on her lap, photographed in Mr. M.T. Ramakatane's City Centre Studio","1970","1970","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Youth","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ms5k0b"
"Work","Ramakatane archive 1200","A10_Ramakatane_02_10","ark:/21198/z1h14t5k","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a10_0002_010.tif","","Ramakatane Archive (Lesotho National Museum)","Young woman with short hair wearing floral dress and sleeveless turtleneck with hands clasped on her left hip, photographed in Mr. M.T. Ramakatane's City Centre Studio","1970","1970","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Youth","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h14t5k"
"Work","Ramakatane archive 1201","A10_Ramakatane_03_07","ark:/21198/z1c842ds","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a10_0003_007.tif","","Ramakatane Archive (Lesotho National Museum)","Woman in a fancy dress and cape wearing a small crown on her head and touching the fold of her dress, photographed in Mr. M.T. Ramakatane's City Centre Studio","1970","1970","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c842ds"
"Work","Ramakatane archive 1202","A10_Ramakatane_04_01","ark:/21198/z17h39p2","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a10_0004_001.tif","","Ramakatane Archive (Lesotho National Museum)","Man with pipe in his mouth gazing into the distance with right hand over left hand, photographed in Mr. M.T. Ramakatane's City Centre Studio","1970","1970","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17h39p2"
"Work","Ramakatane archive 1203","A10_Ramakatane_04_08","ark:/21198/z13r2k1n","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a10_0004_008.tif","","Ramakatane Archive (Lesotho National Museum)","Young man in checked jacket and battersby hat seated with one hand on the temple of his face with elbow on his thigh, photographed in Mr. M.T. Ramakatane's City Centre Studio","1970","1970","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Youth","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13r2k1n"
"Work","Ramakatane archive 1204","A10_Ramakatane_10_01","ark:/21198/z1030hp3","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a10_0010_001.tif","","Ramakatane Archive (Lesotho National Museum)","Smiling woman in a headwrap wearing a blazer and seated with her hands clasped on her lap, photographed in Mr. M.T. Ramakatane's City Centre Studio","1970","1970","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1030hp3"
