Object Type,Title,Local identifier,Item ARK,Parent ARK,File Name,AltTitle.other,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,Format.dimensions,Format.extent,Format.medium,Resource type,Genre,Language,Name.creator,Named subject,Note,Place of origin,Publisher.publisherName,Repository,Statement of Responsibility,Rights.copyrightStatus,Rights.rightsHolderContact,Subject,Subject geographic,Subject temporal
Work,Ramakatane archive 949,A7_Ramakatane_55_03,ark:/21198/z1r806ng,ark:/21198/z12r5hwv,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a7_0055_003.tif,,Ramakatane Archive (Lesotho National Museum),"Suited man wrapped in a blanket with a Mokorotlo on his head and seated between two girls and a boy all in different pattern blankets, photographed in Mr. M.T. Ramakatane's City Centre Studio",January - May 1970,1970-01/1970-05,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Families,,
Work,Ramakatane archive 950,A7_Ramakatane_55_06,ark:/21198/z1mk859g,ark:/21198/z12r5hwv,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a7_0055_006.tif,,Ramakatane Archive (Lesotho National Museum),"Short haired woman in a short sleeve t-shirt seated with her head bent and her eyes looking up in a daze, photographed in Mr. M.T. Ramakatane's City Centre Studio",January - May 1970,1970-01/1970-05,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women,,
Work,Ramakatane archive 951,A7_Ramakatane_56_01,ark:/21198/z1gt7dnn,ark:/21198/z12r5hwv,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a7_0056_001.tif,,Ramakatane Archive (Lesotho National Museum),"Teenage boy in a long sleeve shirt and shorts standing with his arms hanging loosely on his sides and holding his spectacles in one hand, photographed in Mr. M.T. Ramakatane's City Centre Studio",January - May 1970,1970-01/1970-05,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Teens,,
Work,Ramakatane archive 952,A7_Ramakatane_56_02,ark:/21198/z1c26nx7,ark:/21198/z12r5hwv,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a7_0056_002.tif,,Ramakatane Archive (Lesotho National Museum),"Woman in a denim dress and lace scarf around her neck standing with her bag strapped on her shoulder and her foot on stool in front of her, photographed in Mr. M.T. Ramakatane's City Centre Studio",January - May 1970,1970-01/1970-05,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women,,
Work,Ramakatane archive 953,A7_Ramakatane_56_03,ark:/21198/z1795x3k,ark:/21198/z12r5hwv,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a7_0056_003.tif,,Ramakatane Archive (Lesotho National Museum),"Woman in a sleeveless blouse and pleated skirt seated with her arm leaning on backrest of her chair and touching her face, photographed in Mr. M.T. Ramakatane's City Centre Studio",January - May 1970,1970-01/1970-05,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women,,
Work,Ramakatane archive 954,A7_Ramakatane_56_03a,ark:/21198/z13j55bs,ark:/21198/z12r5hwv,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a7_0056_003a.tif,,Ramakatane Archive (Lesotho National Museum),"Young woman in sunglasses and a short sleeve dress with lace detail on the chest standing with both her hands on the strap of her bag and her foot on stool beside her, photographed in Mr. M.T. Ramakatane's City Centre Studio",January - May 1970,1970-01/1970-05,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Youth,,
Work,Ramakatane archive 955,A7_Ramakatane_57_08,ark:/21198/z1zs4nwj,ark:/21198/z12r5hwv,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a7_0057_008.tif,,Ramakatane Archive (Lesotho National Museum),"Two teenage girls in school uniform standing with their arms around each other and holding hands with smiles on their faces, photographed in Mr. M.T. Ramakatane's City Centre Studio",January - May 1970,1970-01/1970-05,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Teens,,
Work,Ramakatane archive 956,A7_Ramakatane_57_10,ark:/21198/z1v13x7f,ark:/21198/z12r5hwv,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a7_0057_010.tif,,Ramakatane Archive (Lesotho National Museum),"Woman in a fishnet headwrap and floral print dress seated next to teenage girl in a beret and sweater with a young girl leaning against the woman and two other girls standing behind them, photographed in Mr. M.T. Ramakatane's City Centre Studio",January - May 1970,1970-01/1970-05,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Families,,
Work,Ramakatane archive 957,A7_Ramakatane_57_12,ark:/21198/z1qc1vwk,ark:/21198/z12r5hwv,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a7_0057_012.tif,,Ramakatane Archive (Lesotho National Museum),"Young woman in a beret and blanket standing with her elbows bent and closed hand peeking out of the blanket, photographed in Mr. M.T. Ramakatane's City Centre Studio",January - May 1970,1970-01/1970-05,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women,,
Work,Ramakatane archive 958,A7_Ramakatane_58_05,ark:/21198/z1km1480,ark:/21198/z12r5hwv,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a7_0058_005.tif,,Ramakatane Archive (Lesotho National Museum),"Woman in a headwrap wrapped in a dashiki cloth and and standing in a walking motion with her bag placed on the floor behind her, photographed in Mr. M.T. Ramakatane's City Centre Studio",January - May 1970,1970-01/1970-05,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women,,
