Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,Rights.copyrightStatus,Rights.permission,Rights.publicationStatus,Coverage.geographic,Name.creator,Author,Rights.servicesContact,Language,Type.genre,Subject,Name.subject,Name.repository,Name.contributor,viewingHint,Text direction,Visibility,IIIF Range,Title,Date.normalized,Date.creation,Description.note,Description.inscription,Description.abstract,IIIF Manifest URL
Cruikshank (Margaret) Collection,ark:/21198/zz001bm3rr,ark:/21198/zz000s2z8d,2,Completed,Work,,5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bm3xb,text,copyrighted,N,unpublished,United States,,Unknown,,eng,,"New Lesbian Writing - Book Reviews and Publicity Materials|~|Lesbians in literature--History|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret",,,individuals,,private,,Letter Regarding Mailing List Contacts,1984-04-14,"April 14, 1984","Rights.statementLocal: Need to obtain permission to publish from original author. Original author unknown (last name not provided).|~|Rights.statementLocal: Item contains author's address and telephone number. Contains names, addresses, and telephone numbers of mailing list recipients.",,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bm3rr/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz001bm41c,ark:/21198/zz000s2z8d,2,Completed,Work,,10,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bm4b1,text,copyrighted,unknown,unpublished,New Haven (Conn.),Golden Thread Booksellers,,,eng,,"New Lesbian Writing - Book Reviews and Publicity Materials|~|Lesbians in literature--History|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret",,,individuals,,private,,New Lesbian Writing Book Party Flyer,1984-07,"July, 1984",Rights.statementLocal: Unsure whether permission is granted to reproduce flyers.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bm41c/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz001bm4cj,ark:/21198/zz000s2z8d,2,Completed,Work,,11,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bm4d2,text,copyrighted,unknown,unpublished,Minneapolis (Minn.),Amazon Bookstore,,,eng,,"New Lesbian Writing - Book Reviews and Publicity Materials|~|Lesbians in literature--History|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret",,,individuals,,private,,New Lesbian Writing Book Party Flyer,1984-07,"July, 1984",Rights.statementLocal: Unsure whether permission is granted to reproduce flyers.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bm4cj/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz001bm4fk,ark:/21198/zz000s2z8d,2,Completed,Work,,12,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bm4g3,text,copyrighted,unknown,unpublished,Boston (Mass.),Glad Day Bookshop,,,eng,,"New Lesbian Writing - Book Reviews and Publicity Materials|~|Lesbians in literature--History|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret",,,individuals,,private,,New Lesbian Writing Book Party Flyer,1984,1984,Rights.statementLocal: Unsure whether permission is granted to reproduce flyers.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bm4fk/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz001bm4hm,ark:/21198/zz000s2z8d,2,Completed,Work,,9,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bm4j4,text,copyrighted,Y,unpublished,San Francisco (Calif.)|~|United States,,"Cruikshank, Margaret",,eng,,"New Lesbian Writing - Book Reviews and Publicity Materials|~|Lesbians in literature--History|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies",,,,individuals,,,,New Lesbian Writing Book Tour Biographic Information,1984-06,"June, 1984",Rights.statementLocal: Item contains author's phone number.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bm4hm/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz001bm4kn,ark:/21198/zz000s2z8d,2,Completed,Work,,13,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bm4m5,text,copyrighted,Y,unpublished,San Francisco (Calif.)|~|United States,,"Cruikshank, Margaret",,eng,,"New Lesbian Writing - Book Reviews and Publicity Materials|~|Lesbians in literature--History|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies",A Different Light Bookstore|~|Giovanni's Room|~|National Women's Studies Association|~|Glad Day Bookshop|~|Womancrafts,,,individuals,,,,New Lesbian Writing Book Tour Schedule,1984,1984,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bm4kn/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz001bm4np,ark:/21198/zz000s2z8d,2,Completed,Work,,8,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bm4p6,text,copyrighted,unknown,unpublished,Philadelphia (Pa.)|~|United States,Giovanni's Room|~|Philadelphia Lesbian and Gay Task Force,,,eng,,"New Lesbian Writing - Book Reviews and Publicity Materials|~|Lesbians in literature--History|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret",,,individuals,,private,,New Lesbian Writing Book Party Flyer,1984-06-17,"June 17, 1984",Rights.statementLocal: Unsure whether permission is granted to reproduce flyers.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bm4np/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz001bm4qq,ark:/21198/zz000s2z8d,2,Completed,Work,,14,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bm4r7,text,copyrighted,unknown,unpublished,United States,Grey Fox Press,,,eng,,"New Lesbian Writing - Book Reviews and Publicity Materials|~|Lesbians in literature--History|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret",,,individuals,,private,,New Lesbian Writing Publication Flyer,1984,1984,Rights.statementLocal: Unsure whether permission is granted to reproduce flyers.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bm4qq/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz001bm4sr,ark:/21198/zz000s2z8d,2,Completed,Work,,15,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bm4t8,text,copyrighted,unknown,unpublished,Philadelphia (Pa.)|~|United States,Philadelphia Lesbian and Gay Task Force,,,eng,,"New Lesbian Writing - Book Reviews and Publicity Materials|~|Lesbians in literature--History|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret",,,individuals,,private,,New Lesbian Writing Book Tour Flyer,1984,1984,Rights.statementLocal: Unsure whether permission is granted to reproduce flyers.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bm4sr/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz001bm4vs,ark:/21198/zz000s2z8d,2,Completed,Work,,2,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bm4w9,text,copyrighted,Y,unpublished,United States,,"Cruikshank, Margaret",,eng,,"New Lesbian Writing - Book Reviews and Publicity Materials|~|Lesbians in literature--History|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies",Jane Addams Bookstore,,,individuals,,,,Letter Inquiring About Book Party for New Lesbian Writing,1984-02-23,"February 23, 1984",,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bm4vs/manifest
