Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence
ark:/21198/z1gx64jn,ark:/21198/z1wh4kd2,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0001_0001.tif,Page,Page 1,1
ark:/21198/z1gx64jn,ark:/21198/z1rr3tmf,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0001_0002.tif,Page,Page 2,2
ark:/21198/z1gx64jn,ark:/21198/z1n032wd,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0001_0003.tif,Page,Page 3,3
ark:/21198/z1gx64jn,ark:/21198/z1hb11jz,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0001_0004.tif,Page,Page 4,4
ark:/21198/z1c55cvp,ark:/21198/z1ck08t7,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0002_0001.tif,Page,Page 1,1
ark:/21198/z1c55cvp,ark:/21198/z17s9j3c,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0002_0002.tif,Page,Page 2,2
ark:/21198/z1c55cvp,ark:/21198/z1418sfv,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0002_0003.tif,Page,Page 3,3
ark:/21198/z1c55cvp,ark:/21198/z10881p2,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0002_0004.tif,Page,Page 4,4
ark:/21198/z1c55cvp,ark:/21198/z1vh7j77,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0002_0005.tif,Page,Page 5,5
ark:/21198/z1c55cvp,ark:/21198/z1qr6sg2,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0002_0006.tif,Page,Page 6,6
ark:/21198/z17d4n68,ark:/21198/z1m34r4x,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0001.tif,Page,Page 1,1
ark:/21198/z17d4n68,ark:/21198/z1gb40dk,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0002.tif,Page,Page 2,2
ark:/21198/z17d4n68,ark:/21198/z1bk37q9,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0003.tif,Page,Page 3,3
ark:/21198/z17d4n68,ark:/21198/z16t2h2w,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0004.tif,Page,Page 4,4
ark:/21198/z17d4n68,ark:/21198/z1321r91,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0005.tif,Page,Page 5,5
ark:/21198/z17d4n68,ark:/21198/z1z917tq,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0006.tif,Page,Page 6,6
ark:/21198/z17d4n68,ark:/21198/z1tm96h5,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0007.tif,Page,Page 7,7
ark:/21198/z17d4n68,ark:/21198/z1pv8fr0,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0008.tif,Page,Page 8,8
ark:/21198/z17d4n68,ark:/21198/z1k37q10,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0009.tif,Page,Page 9,9
ark:/21198/z17d4n68,ark:/21198/z1fb6zbq,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0010.tif,Page,Page 10,10
ark:/21198/z17d4n68,ark:/21198/z19k66nt,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0011.tif,Page,Page 11,11
ark:/21198/z17d4n68,ark:/21198/z15t5fx3,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0012.tif,Page,Page 12,12
ark:/21198/z17d4n68,ark:/21198/z1224q5n,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0013.tif,Page,Page 13,13
ark:/21198/z17d4n68,ark:/21198/z1xd2x27,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0014.tif,Page,Page 14,14
ark:/21198/z17d4n68,ark:/21198/z1sn25bw,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0015.tif,Page,Page 15,15
ark:/21198/z17d4n68,ark:/21198/z1nw1dm5,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0016.tif,Page,Page 16,16
ark:/21198/z17d4n68,ark:/21198/z1j40nx6,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0017.tif,Page,Page 17,17
ark:/21198/z17d4n68,ark:/21198/z1db9x87,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0018.tif,Page,Page 18,18
ark:/21198/z17d4n68,ark:/21198/z18k95g0,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0019.tif,Page,Page 19,19
ark:/21198/z17d4n68,ark:/21198/z14t8dsq,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0020.tif,Page,Page 20,20
ark:/21198/z17d4n68,ark:/21198/z1156cg1,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0021.tif,Page,Page 21,21
ark:/21198/z17d4n68,ark:/21198/z1wd5vzw,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0022.tif,Page,Page 22,22
ark:/21198/z17d4n68,ark:/21198/z1rn547z,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0023.tif,Page,Page 23,23
ark:/21198/z17d4n68,ark:/21198/z1mw4cjp,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0024.tif,Page,Page 24,24
ark:/21198/z17d4n68,ark:/21198/z1h43mw5,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0025.tif,Page,Page 25,25
ark:/21198/z17d4n68,ark:/21198/z1cc2w4d,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0026.tif,Page,Page 26,26
ark:/21198/z17d4n68,ark:/21198/z17m24b5,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0027.tif,Page,Page 27,27
ark:/21198/z17d4n68,ark:/21198/z13z032m,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0028.tif,Page,Page 28,28
ark:/21198/z13n3wf3,ark:/21198/z1059bbn,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0004_0001.tif,Page,Page 1,1
ark:/21198/z13n3wf3,ark:/21198/z1vd8tth,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0004_0002.tif,Page,Page 2,2
ark:/21198/z13n3wf3,ark:/21198/z1qn835g,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0004_0003.tif,Page,Page 3,3
ark:/21198/z1zw3cxb,ark:/21198/z1kw7bfr,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0005_0001.tif,Page,Page 1,1
ark:/21198/z1zw3cxb,ark:/21198/z1g46kqb,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0005_0002.tif,Page,Page 2,2
ark:/21198/z1v71bk6,ark:/21198/z1bc5txq,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0006_0001.tif,Page,Page 1,1
ark:/21198/z1v71bk6,ark:/21198/z16q3sn5,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0006_0002.tif,Page,Page 2,2
ark:/21198/z1qg0kvg,ark:/21198/z12z31xt,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0007_0001.tif,Page,Page 1,1
ark:/21198/z1qg0kvg,ark:/21198/z1z62jdd,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0007_0002.tif,Page,Page 2,2
