Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence
ark:/21198/z1z915fz,ark:/21198/z1wq20g7,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0047_0017.tif,Page,Page 17,17
ark:/21198/z1z915fz,ark:/21198/z1rz17q2,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0047_0018.tif,Page,Page 18,18
ark:/21198/z1z915fz,ark:/21198/z1n60h2z,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0047_0019.tif,Page,Page 19,19
ark:/21198/z1tj0dps,ark:/21198/z1hd9rc4,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0048_0001.tif,Page,Page 1,1
ark:/21198/z1tj0dps,ark:/21198/z1cn90mb,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0048_0002.tif,Page,Page 2,2
ark:/21198/z1tj0dps,ark:/21198/z1806zbq,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0048_0003.tif,Page,Page 3,3
ark:/21198/z1tj0dps,ark:/21198/z14766kx,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0048_0004.tif,Page,Page 4,4
ark:/21198/z1tj0dps,ark:/21198/z10g5fs9,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0048_0005.tif,Page,Page 5,5
ark:/21198/z1tj0dps,ark:/21198/z1vq4z91,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0048_0006.tif,Page,Page 6,6
ark:/21198/z1pr9nzh,ark:/21198/z1qz46m4,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0049_0001.tif,Page,Page 1,1
ark:/21198/z1pr9nzh,ark:/21198/z1m63g0g,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0049_0002.tif,Page,Page 2,2
ark:/21198/z1pr9nzh,ark:/21198/z1gf2q79,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0049_0003.tif,Page,Page 3,3
ark:/21198/z1pr9nzh,ark:/21198/z1bs0nv0,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0049_0004.tif,Page,Page 4,4
ark:/21198/z1k08x9d,ark:/21198/z1709x4f,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0050_0001.tif,Page,Page 1,1
ark:/21198/z1k08x9d,ark:/21198/z13795b6,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0050_0002.tif,Page,Page 2,2
ark:/21198/z1k08x9d,ark:/21198/z1zg8nvh,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0050_0003.tif,Page,Page 3,3
ark:/21198/z1k08x9d,ark:/21198/z1tq7x63,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0050_0004.tif,Page,Page 4,4
ark:/21198/z1k08x9d,ark:/21198/z1pz75h6,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0050_0005.tif,Page,Page 5,5
ark:/21198/z1k08x9d,ark:/21198/z1k66dss,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0050_0006.tif,Page,Page 6,6
ark:/21198/z1k08x9d,ark:/21198/z1fj4ch7,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0050_0007.tif,Page,Page 7,7
ark:/21198/z1k08x9d,ark:/21198/z19s3mqm,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0050_0008.tif,Page,Page 8,8
ark:/21198/z1f785k2,ark:/21198/z1612vzr,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0051_0001.tif,Page,Page 1,1
ark:/21198/z1f785k2,ark:/21198/z128247t,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0051_0002.tif,Page,Page 2,2
ark:/21198/z19g7dvb,ark:/21198/z1xh1mt1,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0052_0001.tif,Page,Page 1,1
ark:/21198/z19g7dvb,ark:/21198/z1sr0w45,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0052_0002.tif,Page,Page 2,2
ark:/21198/z19g7dvb,ark:/21198/z1p28tth,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0052_0003.tif,Page,Page 3,3
ark:/21198/z19g7dvb,ark:/21198/z1j98341,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0052_0004.tif,Page,Page 4,4
ark:/21198/z19g7dvb,ark:/21198/z1dj7bcv,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0052_0005.tif,Page,Page 5,5
ark:/21198/z19g7dvb,ark:/21198/z18s6kk7,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0052_0006.tif,Page,Page 6,6
ark:/21198/z19g7dvb,ark:/21198/z1515tw8,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0052_0007.tif,Page,Page 7,7
ark:/21198/z19g7dvb,ark:/21198/z118536s,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0052_0008.tif,Page,Page 8,8
