"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Rights.publicationStatus","Rights.permission","Name.subject","Coverage.geographic","Name.creator","Subject","Rights.publicationNote","Language","Type.genre","Name.author","Name.contributor","Name.correspondent","Name.repository","Rights.permissionNote","Name.photographer","Title","Date.creation","Date.publication","Description.note","Date.normalized","Description.inscription","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00175scn","ark:/21198/zz00175rn9","2","Completed","Page","wavav/images/masters/21198-zz00175scn-1-master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175scn",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00175sd5","ark:/21198/zz00175rn9","2","Completed","Page","wavav/images/masters/21198-zz00175sd5-1-master.tif","2","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175sd5",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00175sfp","ark:/21198/zz00175rn9","2","Completed","Page","wavav/images/masters/21198-zz00175sfp-1-master.tif","3","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 3","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175sfp",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00175sg6","ark:/21198/zz00175rn9","2","Completed","Page","wavav/images/masters/21198-zz00175sg6-1-master.tif","4","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 4","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175sg6",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00175shq","ark:/21198/zz00175rn9","2","Completed","Page","wavav/images/masters/21198-zz00175shq-1-master.tif","5","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 5","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175shq",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00175sj7","ark:/21198/zz00175rn9","2","Completed","Page","wavav/images/masters/21198-zz00175sj7-1-master.tif","6","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 6","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175sj7",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00175skr","ark:/21198/zz00175rn9","2","Completed","Page","wavav/images/masters/21198-zz00175skr-1-master.tif","7","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 7","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175skr",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00175sm8","ark:/21198/zz00175rn9","2","Completed","Page","wavav/images/masters/21198-zz00175sm8-1-master.tif","8","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 8","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175sm8",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00175sns","ark:/21198/zz00175rn9","2","Completed","Page","wavav/images/masters/21198-zz00175sns-1-master.tif","9","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 9","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175sns",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00175sp9","ark:/21198/zz00175rn9","2","Completed","Page","wavav/images/masters/21198-zz00175sp9-1-master.tif","10","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 10","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175sp9",""
