Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Visibility,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Rights.permission,Name.actor,Name.director,Name.subject,Name.producer,Name.photographer,Name.costumeDesigner,Name.distributor,Subject.descriptiveTopic,AltTitle.uniform,Language,Name.repository,Name.cinematographer,Subject,Subject.geographicPlace,Name.artDirector,Name.setDesigner,Alt ID.local,Format.extent,Format.dimensions,Title,Date.normalized,Description.caption,Date.creation,Description.note,AltTitle.other,AltTitle.uniform,Description.abstract,Bucketeer State,IIIF Access URL
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001npsjx/3p807t5n,ark:/21198/zz001npsjx,,,Page,mpstills/masters/21198-zz001npsjx_1662608_master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001npsjx%2F3p807t5n
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001npsjx/kf17kv2g,ark:/21198/zz001npsjx,,,Page,mpstills/masters/21198-zz001npsjx_1662611_master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001npsjx%2Fkf17kv2g
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001npsr1/2372gc9b,ark:/21198/zz001npsr1,,,Page,mpstills/masters/21198-zz001npsr1-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001npsr1%2F2372gc9b
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001npsr1/x241vv4s,ark:/21198/zz001npsr1,,,Page,mpstills/masters/21198-zz001npsr1-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001npsr1%2Fx241vv4s
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001npssj/1750cf6p,ark:/21198/zz001npssj,,,Page,mpstills/masters/21198-zz001npssj-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001npssj%2F1750cf6p
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001npssj/qb474q64,ark:/21198/zz001npssj,,,Page,mpstills/masters/21198-zz001npssj-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001npssj%2Fqb474q64
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001npt04/1v79xr79,ark:/21198/zz001npt04,,,Page,mpstills/masters/21198-zz001npt04-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001npt04%2F1v79xr79
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001npt04/q399j467,ark:/21198/zz001npt04,,,Page,mpstills/masters/21198-zz001npt04-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001npt04%2Fq399j467
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001npt1n/7t69dv68,ark:/21198/zz001npt1n,,,Page,mpstills/masters/21198-zz001npt1n-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001npt1n%2F7t69dv68
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001npt1n/ss559s10,ark:/21198/zz001npt1n,,,Page,mpstills/masters/21198-zz001npt1n-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001npt1n%2Fss559s10
