"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.publicationStatus","Coverage.geographic","Language","Name.repository","Name.lithographer","Subject","Name.compiler","Name.cartographer","Name.engineer","Name.surveyor","Name.sponsor","Name.subject","Name.printer","Title","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Format.dimensions","Description.note","Publisher.placeOfOrigin","Date.creation","Relation.isPartOf","AltTitle.other","Opac url","Finding Aid URL","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Tract Maps and Cadastral Maps of Southern California, 1868-1937","ark:/21198/z1jh54rf","ark:/21198/zz001d2scc","2","Completed","Page","Masters/Maps/tractmapssc/masters/21198-zz001d2scc_760012_master.tif","1","","","still image","","","","","","","","","","","","","","","","front","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jh54rf",""
"Tract Maps and Cadastral Maps of Southern California, 1868-1937","ark:/21198/z1dr4d2k","ark:/21198/zz001d2scc","2","Completed","Page","Masters/Maps/tractmapssc/masters/21198-zz001d2scc_760015_master.tif","2","","","still image","","","","","","","","","","","","","","","","back","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4d2k",""
