"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.publicationStatus","Coverage.geographic","Language","Name.repository","Name.lithographer","Subject","Name.compiler","Name.cartographer","Name.engineer","Name.surveyor","Name.sponsor","Name.subject","Name.printer","Title","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Format.dimensions","Description.note","Publisher.placeOfOrigin","Date.creation","Relation.isPartOf","AltTitle.other","Opac url","Finding Aid URL","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Tract Maps and Cadastral Maps of Southern California, 1868-1933","ark:/21198/z12f9637","ark:/21198/zz001d2nm2","2","Completed","Page","Masters/Maps/tractmapssc/masters/21198-zz001d2nm2_759901_master.tif","1","","","still image","","","","","","","","","","","","","","","","front","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12f9637",""
"Tract Maps and Cadastral Maps of Southern California, 1868-1932","ark:/21198/z1xp8ph6","ark:/21198/zz001d2nm2","2","Completed","Page","Masters/Maps/tractmapssc/masters/21198-zz001d2nm2_759879_master.tif","2","","","still image","","","","","","","","","","","","","","","","back","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xp8ph6",""
