"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.publicationStatus","Coverage.geographic","Language","Name.repository","Name.lithographer","Subject","Name.compiler","Name.cartographer","Name.engineer","Name.surveyor","Name.sponsor","Name.subject","Name.printer","Title","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Format.dimensions","Description.note","Publisher.placeOfOrigin","Date.creation","Relation.isPartOf","AltTitle.other","Opac url","Finding Aid URL","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Tract Maps and Cadastral Maps of Southern California, 1868-1935","ark:/21198/z11g24t6","ark:/21198/zz001d2n7c","2","Completed","Page","Masters/Maps/tractmapssc/masters/21198-zz001d2n7c_759845_master.tif","1","","","still image","","","","","","","","","","","","","","","","Bird's eye view of Long Beach, Cal.","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g24t6",""
"Tract Maps and Cadastral Maps of Southern California, 1868-1934","ark:/21198/z1wq1nbx","ark:/21198/zz001d2n7c","2","Completed","Page","Masters/Maps/tractmapssc/masters/21198-zz001d2n7c_759861_master.tif","2","","","still image","","","","","","","","","","","","","","","","Map of the Southern Pacific Company's roads in Southern California","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq1nbx",""
