"Project Name","Parent ARK","Item ARK","Object Type","File Name","viewingHint","Text direction","AltIdentifier.local","Item Sequence","Title","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.servicesContact","Language","Name.repository","AltTitle.other","AltTitle.translated","AltTitle.uniform","Place of origin","Date.creation","Date.normalized","Format.extent","Format.dimensions","Support","Relation.rectoVerso","Description.note","Description.history","Description.condition","Coverage.temporal","Description.collation","Description.binding","Description.tableOfContents","Description.contents","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Ethiopic Manuscripts","ark:/21198/zz0009mbfp","ark:/21198/zz0009mbhq","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009mbhq-1-master.tif","","","Ms. 60_1","1","Page 1","text","","pd","","gez","","ጾመ ድጓ|~|ድጓ","Hymns for Lent","Deguwa","Ethiopia","19th c.","1800/1899","1 Page","180 mm x 137 mm","Vellum","","Excerpt from Passion week hymn.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009mbhq",""
"Ethiopic Manuscripts","ark:/21198/zz0009mbfp","ark:/21198/zz0009mbj7","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009mbj7-1-master.tif","","","Ms. 60_2","2","Page 2","text","","pd","","gez","","ድጓ|~|ጾመ ድጓ","Hymns for Lent","Deguwa","Ethiopia","19th c.","1800/1899","1 Page","180 mm x 137 mm","Vellum","","Excerpt from Passion week hymn.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009mbj7",""
"Ethiopic Manuscripts","ark:/21198/zz0009mbfp","ark:/21198/zz0009mbkr","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009mbkr-1-master.tif","","","Ms. 60_3","3","Page 3","text","","pd","","gez","","","","","Ethiopia","19th c.","1800/1899","1 Page","180 mm x 137 mm","Vellum","","Faint notes of ownership (unidentified).","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009mbkr",""
"Ethiopic Manuscripts","ark:/21198/zz0009mbfp","ark:/21198/zz0009mbm8","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009mbm8-1-master.tif","","","Ms. 60_4","4","Page 4 [Blank]","text","","pd","","","","","","","Ethiopia","19th c.","1800/1899","1 Page","180 mm x 137 mm","Vellum","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009mbm8",""
"Ethiopic Manuscripts","ark:/21198/zz0009mbfp","ark:/21198/zz0009mbns","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009mbns-1-master.tif","","","Ms. 60_5","5","Page 5","text","","pd","","gez","","ጾመ ድጓ|~|ድጓ","Hymns for Lent","Deguwa","Ethiopia","19th c.","1800/1899","1 Page","180 mm x 137 mm","Vellum","","Zawarada ዘወረደ (lit. the one who descends) for first week of the Lent.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009mbns",""
"Ethiopic Manuscripts","ark:/21198/zz0009mbfp","ark:/21198/zz0009mbp9","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009mbp9-1-master.tif","","","Ms. 60_6","6","Page 6","text","","pd","","gez","","ድጓ|~|ጾመ ድጓ","Hymns for Lent","Deguwa","Ethiopia","19th c.","1800/1899","1 Page","180 mm x 137 mm","Vellum","","Zawarada ዘወረደ (lit. the one who descends) for first week of the Lent.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009mbp9",""
"Ethiopic Manuscripts","ark:/21198/zz0009mbfp","ark:/21198/zz0009mbqt","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009mbqt-1-master.tif","","","Ms. 60_7","7","Page 7","text","","pd","","gez","","ጾመ ድጓ|~|ድጓ","Hymns for Lent","Deguwa","Ethiopia","19th c.","1800/1899","1 Page","180 mm x 137 mm","Vellum","","Zawarada ዘወረደ (lit. the one who descends) for first week of the Lent.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009mbqt",""
"Ethiopic Manuscripts","ark:/21198/zz0009mbfp","ark:/21198/zz0009mbrb","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009mbrb-1-master.tif","","","Ms. 60_8","8","Page 8","text","","pd","","gez","","ድጓ|~|ጾመ ድጓ","Hymns for Lent","Deguwa","Ethiopia","19th c.","1800/1899","1 Page","180 mm x 137 mm","Vellum","","Zawarada ዘወረደ (lit. the one who descends) for first week of the Lent.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009mbrb",""
"Ethiopic Manuscripts","ark:/21198/zz0009mbfp","ark:/21198/zz0009mbsv","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009mbsv-1-master.tif","","","Ms. 60_9","9","Page 9","text","","pd","","gez","","ድጓ|~|ጾመ ድጓ","Hymns for Lent","Deguwa","Ethiopia","19th c.","1800/1899","1 Page","180 mm x 137 mm","Vellum","","Zawarada ዘወረደ (lit. the one who descends) for first week of the Lent.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009mbsv",""
"Ethiopic Manuscripts","ark:/21198/zz0009mbfp","ark:/21198/zz0009mbtc","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009mbtc-1-master.tif","","","Ms. 60_10","10","Page 10","text","","pd","","gez","","ጾመ ድጓ|~|ድጓ","Hymns for Lent","Deguwa","Ethiopia","19th c.","1800/1899","1 Page","180 mm x 137 mm","Vellum","","Zawarada ዘወረደ (lit. the one who descends) for first week of the Lent.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009mbtc",""
"Ethiopic Manuscripts","ark:/21198/zz0009mbfp","ark:/21198/zz0009mbvw","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009mbvw-1-master.tif","","","Ms. 60_11","11","Page 11","text","","pd","","gez","","ድጓ|~|ጾመ ድጓ","Hymns for Lent","Deguwa","Ethiopia","19th c.","1800/1899","1 Page","180 mm x 137 mm","Vellum","","Zawarada ዘወረደ (lit. the one who descends) for first week of the Lent.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009mbvw",""
