Project Name,Parent ARK,Item ARK,Object Type,File Name,AltIdentifier.local,viewingHint,Text direction ,Item Sequence,Title,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.servicesContact,Language,Name.repository,AltTitle.other,AltTitle.translated,AltTitle.uniform,Place of origin,Date.creation,Date.normalized,Format.extent,Format.dimensions,Support,Relation.rectoVerso,Description.note,Description.history,Description.condition,Coverage.temporal,Description.collation,Description.binding,Description.tableOfContents,Description.contents,Description.abstract,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028vzdb,Page,ethiopian/masters/21198-zz0028vzdb_2403674_master.tif,170_337_,,,1,Front Cover,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vzdb,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028vzfv,Page,ethiopian/masters/21198-zz0028vzfv_1950247_master.tif,170_337_,,,2,Inside front cover,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vzfv,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028vzgc,Page,ethiopian/masters/21198-zz0028vzgc_1950251_master.tif,170_337_,,,3,1r,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vzgc,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028vzhw,Page,ethiopian/masters/21198-zz0028vzhw_1950294_master.tif,170_337_,,,4,1v,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vzhw,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028vzjd,Page,ethiopian/masters/21198-zz0028vzjd_1950305_master.tif,170_337_,,,5,2r,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vzjd,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028vzkx,Page,ethiopian/masters/21198-zz0028vzkx_1950320_master.tif,170_337_,,,6,2v,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vzkx,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028vzmf,Page,ethiopian/masters/21198-zz0028vzmf_1950339_master.tif,170_337_,,,7,3r,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vzmf,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028vznz,Page,ethiopian/masters/21198-zz0028vznz_1950343_master.tif,170_337_,,,8,3v,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vznz,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028vzpg,Page,ethiopian/masters/21198-zz0028vzpg_1950348_master.tif,170_337_,,,9,Page 6,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vzpg,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028vzq0,Page,ethiopian/masters/21198-zz0028vzq0_1950354_master.tif,170_337_,,,10,Page 7,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vzq0,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028vzrh,Page,ethiopian/masters/21198-zz0028vzrh_1950364_master.tif,170_337_,,,11,Page 8,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vzrh,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028vzs1,Page,ethiopian/masters/21198-zz0028vzs1_1950370_master.tif,170_337_,,,12,Page 9,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vzs1,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028vztj,Page,ethiopian/masters/21198-zz0028vztj_1950378_master.tif,170_337_,,,13,Page 10,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vztj,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028vzv2,Page,ethiopian/masters/21198-zz0028vzv2_1950384_master.tif,170_337_,,,14,Page 11,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vzv2,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028vzwk,Page,ethiopian/masters/21198-zz0028vzwk_1950390_master.tif,170_337_,,,15,Page 12,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vzwk,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028vzx3,Page,ethiopian/masters/21198-zz0028vzx3_1993960_master.tif,170_337_0016,,,16,Page 13,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vzx3,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028vzzm,Page,ethiopian/masters/21198-zz0028vzzm_1993963_master.tif,170_337_0017,,,17,Page 14,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vzzm,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028w002,Page,ethiopian/masters/21198-zz0028w002_1993966_master.tif,170_337_0018,,,18,Page 15,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w002,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028w01k,Page,ethiopian/masters/21198-zz0028w01k_1993969_master.tif,170_337_0019,,,19,Page 16,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w01k,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028w023,Page,ethiopian/masters/21198-zz0028w023_1993972_master.tif,170_337_0020,,,20,Page 17,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w023,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028w03m,Page,ethiopian/masters/21198-zz0028w03m_1993975_master.tif,170_337_0021,,,21,Page 18,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w03m,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028w044,Page,ethiopian/masters/21198-zz0028w044_1993978_master.tif,170_337_0022,,,22,Page 19,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w044,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028w05n,Page,ethiopian/masters/21198-zz0028w05n_1993981_master.tif,170_337_0023,,,23,Page 20,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w05n,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028w065,Page,ethiopian/masters/21198-zz0028w065_1993984_master.tif,170_337_0024,,,24,Page 21,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w065,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028w07p,Page,ethiopian/masters/21198-zz0028w07p_1993987_master.tif,170_337_0025,,,25,Page 22,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w07p,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028w086,Page,ethiopian/masters/21198-zz0028w086_1993990_master.tif,170_337_0026,,,26,Page 23,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w086,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028w09q,Page,ethiopian/masters/21198-zz0028w09q_1993993_master.tif,170_337_0027,,,27,Page 24,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w09q,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028w0b7,Page,ethiopian/masters/21198-zz0028w0b7_1993996_master.tif,170_337_0028,,,28,Page 25,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w0b7,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028w0cr,Page,ethiopian/masters/21198-zz0028w0cr_1993999_master.tif,170_337_0029,,,29,Page 26,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w0cr,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028w0d8,Page,ethiopian/masters/21198-zz0028w0d8_1994002_master.tif,170_337_0030,,,30,Page 27,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w0d8,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028w0fs,Page,ethiopian/masters/21198-zz0028w0fs_1994005_master.tif,170_337_0031,,,31,Page 28,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w0fs,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028w0g9,Page,ethiopian/masters/21198-zz0028w0g9_1994008_master.tif,170_337_0032,,,32,Page 29,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w0g9,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028w0ht,Page,ethiopian/masters/21198-zz0028w0ht_1994011_master.tif,170_337_0033,,,33,Page 30,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w0ht,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028w0jb,Page,ethiopian/masters/21198-zz0028w0jb_1994014_master.tif,170_337_0034,,,34,Page 31,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w0jb,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028w0kv,Page,ethiopian/masters/21198-zz0028w0kv_1994017_master.tif,170_337_0035,,,35,Page 32,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w0kv,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028w0mc,Page,ethiopian/masters/21198-zz0028w0mc_1994020_master.tif,170_337_0036,,,36,Page 33,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w0mc,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028w0nw,Page,ethiopian/masters/21198-zz0028w0nw_1994025_master.tif,170_337_0037,,,37,Page 34,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w0nw,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028w0pd,Page,ethiopian/masters/21198-zz0028w0pd_1994028_master.tif,170_337_0038,,,38,Page 35,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w0pd,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028w0qx,Page,ethiopian/masters/21198-zz0028w0qx_1994035_master.tif,170_337_0039,,,39,Page 36,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w0qx,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028w0rf,Page,ethiopian/masters/21198-zz0028w0rf_1994038_master.tif,170_337_0040,,,40,Page 37,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w0rf,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028w0sz,Page,ethiopian/masters/21198-zz0028w0sz_1994041_master.tif,170_337_0041,,,41,Page 38,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w0sz,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028w0tg,Page,ethiopian/masters/21198-zz0028w0tg_1994044_master.tif,170_337_0042,,,42,Page 39,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w0tg,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028w0v0,Page,ethiopian/masters/21198-zz0028w0v0_1994047_master.tif,170_337_0043,,,43,Page 40,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w0v0,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028w0wh,Page,ethiopian/masters/21198-zz0028w0wh_1994050_master.tif,170_337_0044,,,44,Page 41,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w0wh,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028w0x1,Page,ethiopian/masters/21198-zz0028w0x1_1994053_master.tif,170_337_0045,,,45,Page 42,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w0x1,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz0028w0zj,Page,ethiopian/masters/21198-zz0028w0zj_1994056_master.tif,170_337_0046,,,46,Page 43,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w0zj,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz002b84cf,Page,ethiopian/masters/21198-zz002b84cf_1994059_master.tif,170_337_0047,,,47,Page 44,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b84cf,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz002b84dz,Page,ethiopian/masters/21198-zz002b84dz_1994062_master.tif,170_337_0048,,,48,Page 45,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b84dz,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz002b84fg,Page,ethiopian/masters/21198-zz002b84fg_1994068_master.tif,170_337_0049,,,49,Page 46,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b84fg,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz002b84g0,Page,ethiopian/masters/21198-zz002b84g0_1994073_master.tif,170_337_0050,,,50,Page 47,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b84g0,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz002b84hh,Page,ethiopian/masters/21198-zz002b84hh_1994082_master.tif,170_337_0051,,,51,Page 48,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b84hh,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz002b84j1,Page,ethiopian/masters/21198-zz002b84j1_1994088_master.tif,170_337_0052,,,52,Page 49,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b84j1,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz002b84kj,Page,ethiopian/masters/21198-zz002b84kj_1994105_master.tif,170_337_0053,,,53,Page 50,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b84kj,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz002b84m2,Page,ethiopian/masters/21198-zz002b84m2_1994094_master.tif,170_337_0054,,,54,Page 51,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b84m2,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz002b84nk,Page,ethiopian/masters/21198-zz002b84nk_1994109_master.tif,170_337_0055,,,55,Page 52,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b84nk,
Ethiopic Manuscripts,ark:/21198/zz0028vz5q,ark:/21198/zz002b84p3,Page,ethiopian/masters/21198-zz002b84p3_1994117_master.tif,170_337_0056,,,56,Page 53,,,pd,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b84p3,
