Project Name,Parent ARK,Item ARK,Object Type,File Name,AltIdentifier.local,viewingHint,Text direction ,Item Sequence,Title,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.servicesContact,Language,Name.repository,AltTitle.other,AltTitle.translated,AltTitle.uniform,Place of origin,Date.creation,Date.normalized,Format.extent,Format.dimensions,Support,Relation.rectoVerso,Description.note,Description.history,Description.condition,Coverage.temporal,Description.collation,Description.binding,Description.tableOfContents,Description.contents,Description.abstract,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Ethiopic Manuscripts,ark:/21198/zz001pzcnp,ark:/21198/zz001pzcp6,Page,ethiopian/masters/21198-zz001pzcp6_1870054_master.tif,Ms. 51_1,,,1,Image 1,text,,pd,,gez,,ጸሎትበእንተ ሐጹረ መስቀል|~|ጸሎተ ሱስንዮስ|~|ጸሎት በእንተ ማዕሠሮሙ ለአጋንንት|~|ጸሎት በእንተ ሕማመ ደም,Prayer about binding of Demons,Magical prayer|~|Prayer of St. Susneyos,Ethiopia,19th c.,1800/1899,1 image,,Vellum,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001pzcp6,
Ethiopic Manuscripts,ark:/21198/zz001pzcnp,ark:/21198/zz001pzcqq,Page,ethiopian/masters/21198-zz001pzcqq_1870057_master.tif,Ms. 51_2,,,2,Image 2,text,,pd,,gez,,ጸሎተ ሱስንዮስ|~|ጸሎት በእንተ ሕማመ ደም|~|ጸሎትበእንተ ሐጹረ መስቀል|~|ጸሎት በእንተ ማዕሠሮሙ ለአጋንንት,Prayer about binding of Demons,Magical prayer|~|Prayer of St. Susneyos,Ethiopia,19th c.,1800/1899,1 image,,Vellum,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001pzcqq,
Ethiopic Manuscripts,ark:/21198/zz001pzcnp,ark:/21198/zz001pzcr7,Page,ethiopian/masters/21198-zz001pzcr7_1870060_master.tif,Ms. 51_3,,,3,Image 3,text,,pd,,gez,,ጸሎትበእንተ ሐጹረ መስቀል|~|ጸሎት በእንተ ማዕሠሮሙ ለአጋንንት|~|ጸሎት በእንተ ሕማመ ደም|~|ጸሎተ ሱስንዮስ,Prayer about binding of Demons,Prayer of St. Susneyos|~|Magical prayer,Ethiopia,19th c.,1800/1899,1 image,,Vellum,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001pzcr7,
Ethiopic Manuscripts,ark:/21198/zz001pzcnp,ark:/21198/zz001pzcsr,Page,ethiopian/masters/21198-zz001pzcsr_1870063_master.tif,Ms. 51_4,,,4,Image 4,text,,pd,,gez,,ጸሎት በእንተ ሕማመ ደም|~|ጸሎተ ሱስንዮስ|~|ጸሎትበእንተ ሐጹረ መስቀል|~|ጸሎት በእንተ ማዕሠሮሙ ለአጋንንት,Prayer about binding of Demons,Magical prayer|~|Prayer of St. Susneyos,Ethiopia,19th c.,1800/1899,1 image,,Vellum,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001pzcsr,
