Project Name,Parent ARK,Item ARK,Object Type,viewingHint,Text direction,File Name,AltIdentifier.local,Item Sequence,Title,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.servicesContact,Language,Name.repository,AltTitle.other,AltTitle.translated,AltTitle.uniform,Place of origin,Date.creation,Date.normalized,Format.extent,Format.dimensions,Support,Relation.rectoVerso,Description.note,Description.history,Description.condition,Coverage.temporal,Description.collation,Description.binding,Description.tableOfContents,Description.contents,Description.abstract,Bucketeer State,IIIF Access URL
Ethiopic Manuscripts,ark:/21198/zz001d61b1,ark:/21198/zz001d8jzg,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001d8jzg_774619_master.tif,Ms. 48_1,1,Page 1,,,pd,,gez,,,,,Ethiopia,19th c.,1800/1899,1 Page,158 mm x 92 mm,Vellum,,Faint scribbling.,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d8jzg
Ethiopic Manuscripts,ark:/21198/zz001d61b1,ark:/21198/zz001d8k0g,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001d8k0g_774637_master.tif,Ms. 48_2,2,Page 2,,,pd,,gez,,,,,Ethiopia,19th c.,1800/1899,1 Page,158 mm x 92 mm,Vellum,,Ink drawing in color of St. Michael.,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d8k0g
Ethiopic Manuscripts,ark:/21198/zz001d61b1,ark:/21198/zz001d8k10,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001d8k10_774646_master.tif,Ms. 48_3,3,Page 3,,,pd,,gez,,,,,Ethiopia,19th c.,1800/1899,1 Page,158 mm x 92 mm,Vellum,,Ink drawing in color of St. Gabriel.,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d8k10
Ethiopic Manuscripts,ark:/21198/zz001d61b1,ark:/21198/zz001d8k2h,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001d8k2h_774658_master.tif,Ms. 48_4,4,Page 4,,,pd,,gez,,,,,Ethiopia,19th c.,1800/1899,1 Page,158 mm x 92 mm,Vellum,,Ink drawing in color of the Holy Trinity (geometric).,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d8k2h
Ethiopic Manuscripts,ark:/21198/zz001d61b1,ark:/21198/zz001d8k31,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001d8k31_774671_master.tif,Ms. 48_5,5,Page 5,,,pd,,gez,,ሰላምታ,Greetings,Māleke,Ethiopia,19th c.,1800/1899,1 Page,158 mm x 92 mm,Vellum,,Greeting ሰላምታ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d8k31
Ethiopic Manuscripts,ark:/21198/zz001d61b1,ark:/21198/zz001d8k4j,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001d8k4j_774676_master.tif,Ms. 48_6,6,Page 6,,,pd,,gez,,ሰላምታ,Greetings,Māleke,Ethiopia,19th c.,1800/1899,1 Page,158 mm x 92 mm,Vellum,,Greeting ሰላምታ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d8k4j
Ethiopic Manuscripts,ark:/21198/zz001d61b1,ark:/21198/zz001d8k52,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001d8k52_774687_master.tif,Ms. 48_7,7,Page 7,,,pd,,gez,,ሰላምታ,Greetings,Māleke,Ethiopia,19th c.,1800/1899,1 Page,158 mm x 92 mm,Vellum,,Greeting ሰላምታ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d8k52
Ethiopic Manuscripts,ark:/21198/zz001d61b1,ark:/21198/zz001d8k6k,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001d8k6k_774695_master.tif,Ms. 48_8,8,Page 8,,,pd,,amh,,,Part of The Beauty of Creation,Māleke,Ethiopia,19th c.,1800/1899,1 Page,158 mm x 92 mm,Vellum,,Part of The Beauty of Creation (in Amharic)ሥነ ፍጥረት,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d8k6k
Ethiopic Manuscripts,ark:/21198/zz001d61b1,ark:/21198/zz001d8k73,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001d8k73_774701_master.tif,Ms. 48_9,9,Page 9,text,,pd,,amh,,,Part of The Beauty of Creation,Māleke,Ethiopia,19th c.,1800/1899,1 Page,158 mm x 92 mm,Vellum,,Part of The Beauty of Creation (in Amharic)ሥነ ፍጥረት,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d8k73
Ethiopic Manuscripts,ark:/21198/zz001d61b1,ark:/21198/zz001d8k8m,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001d8k8m_774715_master.tif,Ms. 48_10,10,Page 10,,,pd,,amh,,,Part of The Beauty of Creation,Māleke,Ethiopia,19th c.,1800/1899,1 Page,158 mm x 92 mm,Vellum,,Part of The Beauty of Creation (in Amharic)ሥነ ፍጥረት,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d8k8m
