Project Name,Parent ARK,Item ARK,Object Type,File Name,AltIdentifier.local,viewingHint,Text direction ,Item Sequence,Title,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.servicesContact,Language,Name.repository,AltTitle.other,AltTitle.translated,AltTitle.uniform,Place of origin,Date.creation,Date.normalized,Format.extent,Format.dimensions,Support,Relation.rectoVerso,Description.note,Description.history,Description.condition,Coverage.temporal,Description.collation,Description.binding,Description.tableOfContents,Description.contents,Description.abstract,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcd2p,Page,ethiopian/masters/21198-zz001hcd2p_1306111_master.tif,Ms. 36_1,,,1,Page 1,,,pd,,gez,,ወንጌል|~|ወንጌል ዘዮሐንስ|~|መጻሕፍተ ሐዲሳት,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Scribbling.,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcd2p,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcd36,Page,ethiopian/masters/21198-zz001hcd36_1306114_master.tif,Ms. 36_2,,,2,Page 2,,,pd,,gez,,ወንጌል|~|ወንጌል ዘዮሐንስ|~|መጻሕፍተ ሐዲሳት,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,"Notes from the scribe:ወኀበ ተነበ ዝንቱ መጽሐፍ ይሰደዱ መናፍስት ርኩሳን ወኲሉ ደዌ ወሕማም ወይሠዓር ሥራይ ወይደመሰስ ከመ ጢስ ዘቅድመ ገጸ እሳት በኃይለ ሎኢ ኤሎኢ ኤላኢ ወኀበ ሀሎ ዝንቱ መጽሐፍ ይከውን ሣህል ወምሕረት እስከ ለዓለመ ዓለም አሜን ; ""When this book is read, unclean spirits and all disease and sickness will flee. Magic will be disempowered and destroyed like smoke from the fire, by the power of Lo'e, a Lo'e, a La'e. Where ever this book is will be forgiveness and mercy forever and ever amen.""|~|Prayer against the snake.",,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcd36,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcd4q,Page,ethiopian/masters/21198-zz001hcd4q_1306117_master.tif,Ms. 36_3,,,3,Page 3,,,pd,,gez,,መጻሕፍተ ሐዲሳት|~|ወንጌል|~|ወንጌል ዘዮሐንስ,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Prayer against the snake.,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcd4q,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcd57,Page,ethiopian/masters/21198-zz001hcd57_1306120_master.tif,Ms. 36_4,,,4,Page 4,,,pd,,gez,,ወንጌል|~|ወንጌል ዘዮሐንስ|~|መጻሕፍተ ሐዲሳት,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Prayer against the snake.,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcd57,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcd6r,Page,ethiopian/masters/21198-zz001hcd6r_1306123_master.tif,Ms. 36_5,,,5,Page 5,,,pd,,gez,,መጻሕፍተ ሐዲሳት|~|ወንጌል|~|ወንጌል ዘዮሐንስ,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapter 1,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcd6r,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcd78,Page,ethiopian/masters/21198-zz001hcd78_1306126_master.tif,Ms. 36_6,,,6,Page 6,,,pd,,gez,,ወንጌል|~|ወንጌል ዘዮሐንስ|~|መጻሕፍተ ሐዲሳት,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapter 1,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcd78,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcd8s,Page,ethiopian/masters/21198-zz001hcd8s_1306129_master.tif,Ms. 36_7,,,7,Page 7,,,pd,,gez,,ወንጌል|~|ወንጌል ዘዮሐንስ|~|መጻሕፍተ ሐዲሳት,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapter 1,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcd8s,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcd99,Page,ethiopian/masters/21198-zz001hcd99_1306132_master.tif,Ms. 36_8,,,8,Page 8,,,pd,,gez,,መጻሕፍተ ሐዲሳት|~|ወንጌል|~|ወንጌል ዘዮሐንስ,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapter 1,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcd99,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcdbt,Page,ethiopian/masters/21198-zz001hcdbt_1306135_master.tif,Ms. 36_9,,,9,Page 9,,,pd,,gez,,ወንጌል|~|ወንጌል ዘዮሐንስ|~|መጻሕፍተ ሐዲሳት,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapter 1,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcdbt,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcdcb,Page,ethiopian/masters/21198-zz001hcdcb_1306138_master.tif,Ms. 36_10,,,10,Page 10,,,pd,,gez,,መጻሕፍተ ሐዲሳት|~|ወንጌል|~|ወንጌል ዘዮሐንስ,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapter 1,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcdcb,
