"Project Name","Parent ARK","Item ARK","Object Type","viewingHint","Text direction","File Name","AltIdentifier.local","Item Sequence","Title","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.servicesContact","Language","Name.repository","AltTitle.other","AltTitle.translated","AltTitle.uniform","Place of origin","Date.creation","Date.normalized","Format.extent","Format.dimensions","Support","Relation.rectoVerso","Description.note","Description.history","Description.condition","Coverage.temporal","Description.collation","Description.binding","Description.tableOfContents","Description.contents","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7h23","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7h23_771697_master.tif","Ms. 8_blank1","1","Blank Page","","","pd","","","","","","","","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Blank page.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7h23",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz0027v50m","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz0027v50m_1869583_master.tif","Ms. 8_blank2","2","Blank Page","text","","pd","","","","","","","","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Blank page.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027v50m",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7h44","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7h44_771703_master.tif","Ms. 8_blank3","3","Blank Page","","","pd","","","","","","","","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Blank page.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7h44",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7h5n","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7h5n_771709_master.tif","Ms. 8_blank4","4","Blank Page","","","pd","","","","","","","","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Blank page.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7h5n",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7h65","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7h65_771712_master.tif","Ms. 8_1","5","Page 1","","","pd","","gez","","Magical prayer|~|ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ","Prayer against the Disease of Ayena Ṭelā and wa- Ayena Warek","Prayer|~|Prayer, Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Prayer against the evil spirit who causes eye disease  ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ ; በስመ፡ አብ ፡ወወልድ፡ ወመንፈስ፡ ቅዱስ፡ ፩፡ አምላክ፡ ጸሎት፡ በእንተ ፡ሕማመ፡ ዓይነ፡ እንተ፡ ሕማመ፡ ዓይነ፡ ጥላ፡ ወዓይነ ፡ወርቅ፡ ወማዕሠሮሙ፡ ለአጋንንት ; ፃዑ ፡መናፍስተ ፡ርኩሳን፡ በስሙ፡ ለእግዚእነ፡ ኢየሱስ ክርስቶስ፡ አድኅኖ ፡ወፈውሶ፡ ለገ፡ ፈቃደ ፡እግዚእ፡ ለዓ፡ ዓለ፡ አሜን፡፡","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7h65",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7h7p","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7h7p_771715_master.tif","Ms. 8_2","6","Page 2","text","","pd","","gez","","ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ|~|Magical prayer","Prayer against the Disease of Ayena Ṭelā and wa- Ayena Warek","Prayer, Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Prayer against the evil spirit who causes eye disease  ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ ; በስመ፡ አብ ፡ወወልድ፡ ወመንፈስ፡ ቅዱስ፡ ፩፡ አምላክ፡ ጸሎት፡ በእንተ ፡ሕማመ፡ ዓይነ፡ እንተ፡ ሕማመ፡ ዓይነ፡ ጥላ፡ ወዓይነ ፡ወርቅ፡ ወማዕሠሮሙ፡ ለአጋንንት ; ፃዑ ፡መናፍስተ ፡ርኩሳን፡ በስሙ፡ ለእግዚእነ፡ ኢየሱስ ክርስቶስ፡ አድኅኖ ፡ወፈውሶ፡ ለገ፡ ፈቃደ ፡እግዚእ፡ ለዓ፡ ዓለ፡ አሜን፡፡|~|The magical prayer agianst ayena telā was owned by Fekada Egezi'e.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7h7p",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7h86","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7h86_771718_master.tif","Ms. 8_3","7","Page 3","","","pd","","gez","","Magical prayer|~|ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ","Prayer against the Disease of Ayena Ṭelā and wa- Ayena Warek","Prayer, Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Prayer against the evil spirit who causes eye disease  ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ ; በስመ፡ አብ ፡ወወልድ፡ ወመንፈስ፡ ቅዱስ፡ ፩፡ አምላክ፡ ጸሎት፡ በእንተ ፡ሕማመ፡ ዓይነ፡ እንተ፡ ሕማመ፡ ዓይነ፡ ጥላ፡ ወዓይነ ፡ወርቅ፡ ወማዕሠሮሙ፡ ለአጋንንት ; ፃዑ ፡መናፍስተ ፡ርኩሳን፡ በስሙ፡ ለእግዚእነ፡ ኢየሱስ ክርስቶስ፡ አድኅኖ ፡ወፈውሶ፡ ለገ፡ ፈቃደ ፡እግዚእ፡ ለዓ፡ ዓለ፡ አሜን፡፡","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7h86",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7h9q","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7h9q_771721_master.tif","Ms. 8_4","8","Page 4","","","pd","","gez","","ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ|~|Magical prayer","Prayer against the Disease of Ayena Ṭelā and wa- Ayena Warek","Prayer, Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Prayer against the evil spirit who causes eye disease  ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ ; በስመ፡ አብ ፡ወወልድ፡ ወመንፈስ፡ ቅዱስ፡ ፩፡ አምላክ፡ ጸሎት፡ በእንተ ፡ሕማመ፡ ዓይነ፡ እንተ፡ ሕማመ፡ ዓይነ፡ ጥላ፡ ወዓይነ ፡ወርቅ፡ ወማዕሠሮሙ፡ ለአጋንንት ; ፃዑ ፡መናፍስተ ፡ርኩሳን፡ በስሙ፡ ለእግዚእነ፡ ኢየሱስ ክርስቶስ፡ አድኅኖ ፡ወፈውሶ፡ ለገ፡ ፈቃደ ፡እግዚእ፡ ለዓ፡ ዓለ፡ አሜን፡፡","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7h9q",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7hb7","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7hb7_771724_master.tif","Ms. 8_5","9","Page 5","","","pd","","gez","","ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ|~|Magical prayer","Prayer against the Disease of Ayena Ṭelā and wa- Ayena Warek","Prayer, Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Prayer against the evil spirit who causes eye disease  ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ ; በስመ፡ አብ ፡ወወልድ፡ ወመንፈስ፡ ቅዱስ፡ ፩፡ አምላክ፡ ጸሎት፡ በእንተ ፡ሕማመ፡ ዓይነ፡ እንተ፡ ሕማመ፡ ዓይነ፡ ጥላ፡ ወዓይነ ፡ወርቅ፡ ወማዕሠሮሙ፡ ለአጋንንት ; ፃዑ ፡መናፍስተ ፡ርኩሳን፡ በስሙ፡ ለእግዚእነ፡ ኢየሱስ ክርስቶስ፡ አድኅኖ ፡ወፈውሶ፡ ለገ፡ ፈቃደ ፡እግዚእ፡ ለዓ፡ ዓለ፡ አሜን፡፡","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7hb7",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7hcr","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7hcr_771727_master.tif","Ms. 8_6","10","Page 6","","","pd","","gez","","Magical prayer|~|ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ","Prayer against the Disease of Ayena Ṭelā and wa- Ayena Warek","Prayer, Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Prayer against the evil spirit who causes eye disease  ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ ; በስመ፡ አብ ፡ወወልድ፡ ወመንፈስ፡ ቅዱስ፡ ፩፡ አምላክ፡ ጸሎት፡ በእንተ ፡ሕማመ፡ ዓይነ፡ እንተ፡ ሕማመ፡ ዓይነ፡ ጥላ፡ ወዓይነ ፡ወርቅ፡ ወማዕሠሮሙ፡ ለአጋንንት ; ፃዑ ፡መናፍስተ ፡ርኩሳን፡ በስሙ፡ ለእግዚእነ፡ ኢየሱስ ክርስቶስ፡ አድኅኖ ፡ወፈውሶ፡ ለገ፡ ፈቃደ ፡እግዚእ፡ ለዓ፡ ዓለ፡ አሜን፡፡|~|The magical prayer agianst ayena telā was owned by Fekada Egezi'e.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7hcr",""
