Project Name,Parent ARK,Item ARK,Object Type,viewingHint,Text direction,File Name,AltIdentifier.local,Item Sequence,Title,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.servicesContact,Language,Name.repository,AltTitle.other,AltTitle.translated,AltTitle.uniform,Place of origin,Date.creation,Date.normalized,Format.extent,Format.dimensions,Support,Relation.rectoVerso,Description.note,Description.history,Description.condition,Coverage.temporal,Description.collation,Description.binding,Description.tableOfContents,Description.contents,Description.abstract,Bucketeer State,IIIF Access URL
Ethiopic Manuscripts,ark:/21198/zz001d5ccx,ark:/21198/zz001d5d0q,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001d5d0q_766812_master.tif,Ms. 1_11,11,Page 11,,,pd,,gez,,ቅዳሴ ማርያም,The Anaphora of Mary,Anaphora of Mary,Ethiopia,1842-1854,1842/1854,1 Page,97 mm x 64 mm,Vellum,r,Anapora of Mary ቅዳሴ ማርያም ;አኰቴተ ቊርባን ዘእግእዝትነ ማርያም ዘደረሰ በመንፈስ ቅዱስ አባ  ሕርያቆስ ዘሀገረ ብህንሳ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ወአነ አየድዕ ቅዳሴሃ ለማርያም,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d5d0q
Ethiopic Manuscripts,ark:/21198/zz001d5ccx,ark:/21198/zz001d5d17,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001d5d17_766815_master.tif,Ms. 1_12,12,Page 12,,,pd,,gez,,ቅዳሴ ማርያም,The Anaphora of Mary,Anaphora of Mary,Ethiopia,1842-1854,1842/1854,1 Page,97 mm x 64 mm,Vellum,v,Anapora of Mary ቅዳሴ ማርያም ;አኰቴተ ቊርባን ዘእግእዝትነ ማርያም ዘደረሰ በመንፈስ ቅዱስ አባ  ሕርያቆስ ዘሀገረ ብህንሳ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ወአነ አየድዕ ቅዳሴሃ ለማርያም,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d5d17
Ethiopic Manuscripts,ark:/21198/zz001d5ccx,ark:/21198/zz001d5d2r,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001d5d2r_766818_master.tif,Ms. 1_13,13,Page 13,,,pd,,gez,,ቅዳሴ ማርያም,The Anaphora of Mary,Anaphora of Mary,Ethiopia,1842-1854,1842/1854,1 Page,97 mm x 64 mm,Vellum,r,Anapora of Mary ቅዳሴ ማርያም ;አኰቴተ ቊርባን ዘእግእዝትነ ማርያም ዘደረሰ በመንፈስ ቅዱስ አባ  ሕርያቆስ ዘሀገረ ብህንሳ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ወአነ አየድዕ ቅዳሴሃ ለማርያም,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d5d2r
Ethiopic Manuscripts,ark:/21198/zz001d5ccx,ark:/21198/zz001d5d38,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001d5d38_766821_master.tif,Ms. 1_14,14,Page 14,,,pd,,gez,,ቅዳሴ ማርያም,The Anaphora of Mary,Anaphora of Mary,Ethiopia,1842-1854,1842/1854,1 Page,97 mm x 64 mm,Vellum,v,Anapora of Mary ቅዳሴ ማርያም ;አኰቴተ ቊርባን ዘእግእዝትነ ማርያም ዘደረሰ በመንፈስ ቅዱስ አባ  ሕርያቆስ ዘሀገረ ብህንሳ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ወአነ አየድዕ ቅዳሴሃ ለማርያም,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d5d38
Ethiopic Manuscripts,ark:/21198/zz001d5ccx,ark:/21198/zz001d5d4s,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001d5d4s_766824_master.tif,Ms. 1_15,15,Page 15,,,pd,,gez,,ቅዳሴ ማርያም,The Anaphora of Mary,Anaphora of Mary,Ethiopia,1842-1854,1842/1854,1 Page,97 mm x 64 mm,Vellum,r,Anapora of Mary ቅዳሴ ማርያም ;አኰቴተ ቊርባን ዘእግእዝትነ ማርያም ዘደረሰ በመንፈስ ቅዱስ አባ  ሕርያቆስ ዘሀገረ ብህንሳ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ወአነ አየድዕ ቅዳሴሃ ለማርያም,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d5d4s
Ethiopic Manuscripts,ark:/21198/zz001d5ccx,ark:/21198/zz001d5d59,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001d5d59_766828_master.tif,Ms. 1_16,16,Page 16,,,pd,,gez,,ቅዳሴ ማርያም,The Anaphora of Mary,Anaphora of Mary,Ethiopia,1842-1854,1842/1854,1 Page,97 mm x 64 mm,Vellum,v,Anapora of Mary ቅዳሴ ማርያም ;አኰቴተ ቊርባን ዘእግእዝትነ ማርያም ዘደረሰ በመንፈስ ቅዱስ አባ  ሕርያቆስ ዘሀገረ ብህንሳ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ወአነ አየድዕ ቅዳሴሃ ለማርያም,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d5d59
Ethiopic Manuscripts,ark:/21198/zz001d5ccx,ark:/21198/zz001d5d6t,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001d5d6t_766831_master.tif,Ms. 1_17,17,Page 17,,,pd,,gez,,ቅዳሴ ማርያም,The Anaphora of Mary,Anaphora of Mary,Ethiopia,1842-1854,1842/1854,1 Page,97 mm x 64 mm,Vellum,r,Anapora of Mary ቅዳሴ ማርያም ;አኰቴተ ቊርባን ዘእግእዝትነ ማርያም ዘደረሰ በመንፈስ ቅዱስ አባ  ሕርያቆስ ዘሀገረ ብህንሳ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ወአነ አየድዕ ቅዳሴሃ ለማርያም,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d5d6t
Ethiopic Manuscripts,ark:/21198/zz001d5ccx,ark:/21198/zz001d5d7b,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001d5d7b_766834_master.tif,Ms. 1_18,18,Page 18,,,pd,,gez,,ቅዳሴ ማርያም,The Anaphora of Mary,Anaphora of Mary,Ethiopia,1842-1854,1842/1854,1 Page,97 mm x 64 mm,Vellum,v,Anapora of Mary ቅዳሴ ማርያም ;አኰቴተ ቊርባን ዘእግእዝትነ ማርያም ዘደረሰ በመንፈስ ቅዱስ አባ  ሕርያቆስ ዘሀገረ ብህንሳ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ወአነ አየድዕ ቅዳሴሃ ለማርያም,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d5d7b
Ethiopic Manuscripts,ark:/21198/zz001d5ccx,ark:/21198/zz001d5d8v,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001d5d8v_766837_master.tif,Ms. 1_19,19,Page 19,,,pd,,gez,,ቅዳሴ ማርያም,The Anaphora of Mary,Anaphora of Mary,Ethiopia,1842-1854,1842/1854,1 Page,97 mm x 64 mm,Vellum,r,Anapora of Mary ቅዳሴ ማርያም ;አኰቴተ ቊርባን ዘእግእዝትነ ማርያም ዘደረሰ በመንፈስ ቅዱስ አባ  ሕርያቆስ ዘሀገረ ብህንሳ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ወአነ አየድዕ ቅዳሴሃ ለማርያም,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d5d8v
Ethiopic Manuscripts,ark:/21198/zz001d5ccx,ark:/21198/zz001d5d9c,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001d5d9c_766840_master.tif,Ms. 1_20,20,Page 20,,,pd,,gez,,ቅዳሴ ማርያም,The Anaphora of Mary,Anaphora of Mary,Ethiopia,1842-1854,1842/1854,1 Page,97 mm x 64 mm,Vellum,v,Anapora of Mary ቅዳሴ ማርያም ;አኰቴተ ቊርባን ዘእግእዝትነ ማርያም ዘደረሰ በመንፈስ ቅዱስ አባ  ሕርያቆስ ዘሀገረ ብህንሳ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ጐሥዓ ልብየ ቃለ ሠናየ ወአነ አየድዕ ቅዳሴሃ ለማርያም,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d5d9c
