"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","viewingHint","Visibility","Delete in Title","Thumbnail","Rights.copyrightStatus","Name.repository","Title","Alt ID.local","Alt ID.collection","Description.abstract","IIIF Manifest URL"
"Tom Leung Collection","ark:/21198/zz002318p0","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002318p0%2Fsw45cb97","unknown","Richard C. Rudolph East Asian Library","Letter To: 張孝 From: 康有爲(?) on two faces","126","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002318p0/manifest"
"Tom Leung Collection","ark:/21198/zz002318qh","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002318qh%2Fzb58vb6r","unknown","Richard C. Rudolph East Asian Library","Letter To: 張孝 From: 康有爲(?) on two faces","127","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002318qh/manifest"
"Tom Leung Collection","ark:/21198/zz002318r1","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002318r1%2Fsg379x5c","unknown","Richard C. Rudolph East Asian Library","Memorandum(photocopied) 更生 to 張孝","128","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002318r1/manifest"
"Tom Leung Collection","ark:/21198/zz002318vk","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002318vk%2F1g56w52s","unknown","Richard C. Rudolph East Asian Library","Letter To: 張孝 From: 康有爲(?) Sent from Victoria, B.C. on both faces","131","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002318vk/manifest"
"Tom Leung Collection","ark:/21198/zz00231925","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231925%2Fqm519g8x","unknown","Richard C. Rudolph East Asian Library","賬單 3 sheets clipped","136","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231925/manifest"
"Tom Leung Collection","ark:/21198/zz0023193p","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0023193p%2F6450mm00","unknown","Richard C. Rudolph East Asian Library","Business letters (12 sheets) Wrapped ""鏡泉收琼樓艮單"" To: 譚張孝 From: 馮鏡泉","138","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0023193p/manifest"
"Tom Leung Collection","ark:/21198/zz00231967","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231967%2F4d79949d","unknown","Richard C. Rudolph East Asian Library","Letter draft, 2 sheets, 3 faces To: 夫子大人 From: 譚良(?)","139","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231967/manifest"
"Tom Leung Collection","ark:/21198/zz002319jd","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002319jd%2Fcz263m3k","unknown","Richard C. Rudolph East Asian Library","Letter To: 張孝 From: 名(?)","145","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002319jd/manifest"
"Tom Leung Collection","ark:/21198/zz002319tj","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002319tj%2Fx142452x","unknown","Richard C. Rudolph East Asian Library","Letter To: 張孝 From: 仲擧","147","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002319tj/manifest"
"Tom Leung Collection","ark:/21198/zz002319wk","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002319wk%2Fp1994n89","unknown","Richard C. Rudolph East Asian Library","Letter To: 張孝 From: (?)麟","150","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002319wk/manifest"
