Project Name,Item ARK,Parent ARK,(multi-part) Parent ARK,Object Type,File Name,viewingHint,Text direction,Title,vol,Thumbnail,Item Sequence,Type.typeOfResource,Subject,Type.genre,Language,Editor,Name.engraver,Representative image,Masthead,Description.note,Description.abstract,Date.normalized,Date.creation,Place of origin,Publisher.publisherName,Description.tableOfContents,Illustrator,Rights.copyrightStatus,Rights.servicesContact,Repository,IIIF Manifest URL
Picart (Bernard) Collection,ark:/21198/zz0002gx8m,,,Collection,,,,Picart (Bernard) Collection,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009dztc,,text,Rites and ceremonies--Early works to 1800|~|Religions--Early works to 1794|~|Engravings--Netherlands--18th century,Engravings,fre|~|eng,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000n90rm,"/135,1438,2845,1310/full/0/default.jpg","The vagaries of eighteenth-century publishing have left some lingering confusions about the numbering of the volumes. Although Bernard published nine volumes under the same title, he added the last two (here listed as volumes 8 and 9 of the French edition) as a kind of afterword and numbered them “7, second half” and “8.” None of the translations included these final two volumes, and they have no illustrations by Picart, who died in 1733. We have used the numbering of the volumes in the Getty collection which follows their date of publication. Bernard had his own numbering system, in which the monotheistic religions were numbered 1-5 (here 1 [Jews and Catholics], 2 [Catholics], 5 [Greek Orthodox, Protestants], 6 [Other Protstants, Deists, etc.] and 7 [Islam]) and the religious ceremonies and customs of the “idolatrous peoples” were numbered 1 and 2 (here 3 and 4).","Cérémonies et coutumes religieuses de tous les peuples du monde (1723-1743) is a nine-volume folio work published by Jean Frederic Bernard, a French language bookseller in Amsterdam, and lavishly illustrated by Bernard Picart, one of the most famous engravers of the time. As their title suggests, they sought to capture the ritual and ceremonial life of all the known religions of the world. Because Bernard chose to remain anonymous as author, the work has long been catalogued under the name of its engraver, Picart. “Picart,” as many readers called it, helped create the study of comparative religion and had a long-lasting influence on the representations of the world’s religions in the West. In a joint project with the Getty Research Institute, Utrecht University, and the Huntington Library, the UCLA Digital Library Program has made available online all four of the first editions of Cérémonies et coutumes religieuses de tous les peuples du monde: the French (1723-1743), Dutch (1726-1738), English (1733-1739), and German (1746) editions. The source volumes are held by the libraries at UCLA (English, Dutch), the Getty (French), the Huntington (German), and Utrecht (Dutch).",1723/1746,1723-1746,,,,"Picart, Bernard, 1673-1733",pd,,,http://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0002gx8m
Picart (Bernard) Collection,ark:/21198/zz0009pff1,ark:/21198/zz0002gx8m,ark:/21198/zz0009pfdh,Work,,paged,,"Cérémonies et coutumes religieuses de tous les peuples du monde / représentées par des figures dessinées de la main de Bernard Picard [i.e. Picart] ; avec une explication historique, & quelques dissertations curieuses. Tome 1",,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000n90tn,,text,Rites and ceremonies--Early works to 1800|~|Religions--Early works to 1794|~|Engravings--Netherlands--18th century,Engravings,fre,"Bruzen de La Martinière, Antoine Augustin, 1662-1746. |~|Bernard, Jean Frédéric, d. 1752","Du Bosc, Claude, 1684-1745? ",,,"Tome Premier, qui contient les Ceremonies des Juifs & des Chrétiens Catholiques.",,1723,1723,Amsterdam,Chez J.F. Bernard,,"Picart, Bernard, 1673-1733",pd,,The Getty Research Institute Library,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009pff1/manifest
Picart (Bernard) Collection,ark:/21198/zz0009pfgj,ark:/21198/zz0002gx8m,ark:/21198/zz0009pfdh,Work,,paged,,"Cérémonies et coutumes religieuses de tous les peuples du monde / représentées par des figures dessinées de la main de Bernard Picard [i.e. Picart] ; avec une explication historique, & quelques dissertations curieuses. Tome 2",,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rwpm2,,text,Rites and ceremonies--Early works to 1800|~|Religions--Early works to 1794|~|Engravings--Netherlands--18th century,Engravings,fre,"Bruzen de La Martinière, Antoine Augustin, 1662-1746. |~|Bernard, Jean Frédéric, d. 1752","Du Bosc, Claude, 1684-1745? ",,,"Tome Second, qui contient la suite des Ceremonies Religieuses en usage chex la Catholiques",,1723,1723,Amsterdam,Chez J.F. Bernard,,"Picart, Bernard, 1673-1733",pd,,The Getty Research Institute Library,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009pfgj/manifest
Picart (Bernard) Collection,ark:/21198/zz0009pfh2,ark:/21198/zz0002gx8m,ark:/21198/zz0009pfdh,Work,,paged,,"Cérémonies et coutumes religieuses de tous les peuples du monde / représentées par des figures dessinées de la main de Bernard Picard [i.e. Picart] ; avec une explication historique, & quelques dissertations curieuses. Tome 3",,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s1n8m,,text,Rites and ceremonies--Early works to 1800|~|Religions--Early works to 1794|~|Engravings--Netherlands--18th century,Engravings,fre,"Bruzen de La Martinière, Antoine Augustin, 1662-1746. |~|Bernard, Jean Frédéric, d. 1752","Du Bosc, Claude, 1684-1745? ",,,"Tome Premier, premiere partie, qui contient le Ceremonies Religieuses des Peuples des Indes Occidentales",,1723,1723,Amsterdam,Chez J.F. Bernard,,"Picart, Bernard, 1673-1733",pd,,The Getty Research Institute Library,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009pfh2/manifest
Picart (Bernard) Collection,ark:/21198/zz0009pfjk,ark:/21198/zz0002gx8m,ark:/21198/zz0009pfdh,Work,,paged,,"Cérémonies et coutumes religieuses de tous les peuples du monde / représentées par des figures dessinées de la main de Bernard Picard [i.e. Picart] ; avec une explication historique, & quelques dissertations curieuses. Tome 4",,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s1t3f,,text,Rites and ceremonies--Early works to 1800|~|Religions--Early works to 1794|~|Engravings--Netherlands--18th century,Engravings,fre,"Bruzen de La Martinière, Antoine Augustin, 1662-1746. |~|Bernard, Jean Frédéric, d. 1752","Du Bosc, Claude, 1684-1745? ",,,"Tome Second, premiere partie",,1728,1728,Amsterdam,Chez J.F. Bernard,,"Picart, Bernard, 1673-1733",pd,,The Getty Research Institute Library,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009pfjk/manifest
Picart (Bernard) Collection,ark:/21198/zz0009pfk3,ark:/21198/zz0002gx8m,ark:/21198/zz0009pfdh,Work,,paged,,"Cérémonies et coutumes religieuses de tous les peuples du monde / représentées par des figures dessinées de la main de Bernard Picard [i.e. Picart] ; avec une explication historique, & quelques dissertations curieuses. Tome 5",,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013xg4w,,text,Rites and ceremonies--Early works to 1800|~|Religions--Early works to 1794|~|Engravings--Netherlands--18th century,Engravings,fre,"Bruzen de La Martinière, Antoine Augustin, 1662-1746. |~|Bernard, Jean Frédéric, d. 1752","Du Bosc, Claude, 1684-1745? ",,,"Tome Troisieme, qui contient les Ceremonies des Grecs & des Protestans",,1733,1733,Amsterdam,Chez J.F. Bernard,,"Picart, Bernard, 1673-1733",pd,,The Getty Research Institute Library,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009pfk3/manifest
Picart (Bernard) Collection,ark:/21198/zz0009pfmm,ark:/21198/zz0002gx8m,ark:/21198/zz0009pfdh,Work,,paged,,"Cérémonies et coutumes religieuses de tous les peuples du monde / représentées par des figures dessinées de la main de Bernard Picard [i.e. Picart] ; avec une explication historique, & quelques dissertations curieuses. Tome 6",,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015259r,,text,Rites and ceremonies--Early works to 1800|~|Religions--Early works to 1794|~|Engravings--Netherlands--18th century,Engravings,fre,"Bruzen de La Martinière, Antoine Augustin, 1662-1746. |~|Bernard, Jean Frédéric, d. 1752","Du Bosc, Claude, 1684-1745? ",,,"Tome Quatrieme, qui contient les Anglicans, les Quaquers, les Anabaptistes etc.",,1736,1736,Amsterdam,Chez J.F. Bernard,,"Picart, Bernard, 1673-1733",pd,,The Getty Research Institute Library,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009pfmm/manifest
Picart (Bernard) Collection,ark:/21198/zz0009pfn4,ark:/21198/zz0002gx8m,ark:/21198/zz0009pfdh,Work,,paged,,"Cérémonies et coutumes religieuses de tous les peuples du monde / représentées par des figures dessinées de la main de Bernard Picard [i.e. Picart] ; avec une explication historique, & quelques dissertations curieuses. Tome 7, Part 1",,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00159swc,,text,Rites and ceremonies--Early works to 1800|~|Religions--Early works to 1794|~|Engravings--Netherlands--18th century,Engravings,fre,"Bruzen de La Martinière, Antoine Augustin, 1662-1746. |~|Bernard, Jean Frédéric, d. 1752","Du Bosc, Claude, 1684-1745? ",,,"Tome Septieme Second Partie, qui contient plusieurs Dissertations de Mess. les abbés Banier & Le Mascrier, sur des matieres qui ont quelque raport aux Cérémonies religieuses &c.",,1743,1743,Amsterdam,Chez J.F. Bernard,,"Picart, Bernard, 1673-1733",pd,,The Getty Research Institute Library,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009pfn4/manifest
Picart (Bernard) Collection,ark:/21198/zz0009pfpn,ark:/21198/zz0002gx8m,ark:/21198/zz0009pfdh,Work,,paged,,"Cérémonies et coutumes religieuses de tous les peuples du monde / représentées par des figures dessinées de la main de Bernard Picard [i.e. Picart] ; avec une explication historique, & quelques dissertations curieuses. Tome 7, Part 2",,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015v8m5,,text,Rites and ceremonies--Early works to 1800|~|Religions--Early works to 1794|~|Engravings--Netherlands--18th century,Engravings,fre,"Bruzen de La Martinière, Antoine Augustin, 1662-1746. |~|Bernard, Jean Frédéric, d. 1752","Du Bosc, Claude, 1684-1745? ",,,"Tome Cinqieme, qui contient les Céremonies des Mahometans &c.",,1737,1737,Amsterdam,Chez J.F. Bernard,,"Picart, Bernard, 1673-1733",pd,,The Getty Research Institute Library,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009pfpn/manifest
Picart (Bernard) Collection,ark:/21198/zz0009pfq5,ark:/21198/zz0002gx8m,ark:/21198/zz0009pfdh,Work,,paged,,"Cérémonies et coutumes religieuses de tous les peuples du monde / représentées par des figures dessinées de la main de Bernard Picard [i.e. Picart] ; avec une explication historique, & quelques dissertations curieuses. Tome 8",,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001785w2,,text,Rites and ceremonies--Early works to 1800|~|Religions--Early works to 1794|~|Engravings--Netherlands--18th century,Engravings,fre,"Bruzen de La Martinière, Antoine Augustin, 1662-1746. |~|Bernard, Jean Frédéric, d. 1752","Du Bosc, Claude, 1684-1745? ",,,"Tome Huitieme, Qui contient un paralléle historique des cérémonies religieuses de tous les peuples anciens et modernes, & la description de divers usages singuliers, prétendus religieux, ou qui ont quelque raport à la religion",,1743,1743,Amsterdam,Chez J.F. Bernard,,"Picart, Bernard, 1673-1733",pd,,The Getty Research Institute Library,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009pfq5/manifest
