"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","viewingHint","Visibility","Delete in Title","Thumbnail","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.publicationStatus","Name.creator","Language","Subject","Rights.permission","Subject geographic","Author","Name.cartographer","Name.repository","Name.subject","Title","Publisher.publisherName","Description.note","Publisher.placeOfOrigin","Format.extent","Coverage.geographic","Alt ID.oclc","AltIdentifier.callNo","Alt ID.catalogRecordNumber","Opac url","Coverage.geoscale","AltTitle.uniform","Alt ID.local","Description.caption","Date.creation","Date.normalized","Alt ID.lccn","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002cz2x4","ark:/21198/zz0028tr8x","5","Imported","Work","Masters/Maps/Bruman-Maps/image/DR1130F2/G6030s_576_Scheda_VII.tif","","","","private","","","cartographic","map","unknown","unknown","","","","","","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","G6030s_576_Scheda_VII","","","","","","","","","","","","G6030s_576_Scheda_VII|~|DR1130F2","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cz2x4","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cz2x4/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002cz2zn","ark:/21198/zz0028tr8x","5","Imported","Work","Masters/Maps/Bruman-Maps/image/DR1130F2/G6030s_576_Scheda_VIII.tif","","","","private","","","cartographic","map","unknown","unknown","","","","","","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","G6030s_576_Scheda_VIII","","","","","","","","","","","","G6030s_576_Scheda_VIII|~|DR1130F2","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cz2zn","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cz2zn/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002cz30n","ark:/21198/zz0028tr8x","5","Imported","Work","Masters/Maps/Bruman-Maps/image/DR1130F2/G6030s_576_Scheda_X.tif","","","","private","","","cartographic","map","unknown","unknown","","","","","","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","G6030s_576_Scheda_X","","","","","","","","","","","","G6030s_576_Scheda_X|~|DR1130F2","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cz30n","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cz30n/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002cz315","ark:/21198/zz0028tr8x","5","Imported","Work","Masters/Maps/Bruman-Maps/image/DR1130F2/G6030s_576_Scheda_XI.tif","","","","private","","","cartographic","map","unknown","unknown","","","","","","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","G6030s_576_Scheda_XI","","","","","","","","","","","","G6030s_576_Scheda_XI|~|DR1130F2","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cz315","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cz315/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002cz32p","ark:/21198/zz0028tr8x","5","Imported","Work","Masters/Maps/Bruman-Maps/image/DR1130F3/G6030s_576_Scheda_XII.tif","","","","private","","","cartographic","map","unknown","unknown","","","","","","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","G6030s_576_Scheda_XII","","","","","","","","","","","","G6030s_576_Scheda_XII|~|DR1130F3","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cz32p","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cz32p/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002cz336","ark:/21198/zz0028tr8x","5","Imported","Work","Masters/Maps/Bruman-Maps/image/DR1130F3/G6030s_576_Scheda_XIII.tif","","","","private","","","cartographic","map","unknown","unknown","","","","","","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","G6030s_576_Scheda_XIII","","","","","","","","","","","","G6030s_576_Scheda_XIII|~|DR1130F3","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cz336","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cz336/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002cz34q","ark:/21198/zz0028tr8x","5","Imported","Work","Masters/Maps/Bruman-Maps/image/DR1130F3/G6030s_576_Scheda_XIV.tif","","","","private","","","cartographic","map","unknown","unknown","","","","","","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","G6030s_576_Scheda_XIV","","","","","","","","","","","","G6030s_576_Scheda_XIV|~|DR1130F3","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cz34q","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cz34q/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002cz357","ark:/21198/zz0028tr8x","5","Imported","Work","Masters/Maps/Bruman-Maps/image/DR1130F3/G6030s_576_Scheda_XIX.tif","","","","private","","","cartographic","map","unknown","unknown","","","","","","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","G6030s_576_Scheda_XIX","","","","","","","","","","","","G6030s_576_Scheda_XIX|~|DR1130F3","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cz357","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cz357/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002cz36r","ark:/21198/zz0028tr8x","5","Imported","Work","Masters/Maps/Bruman-Maps/image/DR1130F3/G6030s_576_Scheda_XV.tif","","","","private","","","cartographic","map","unknown","unknown","","","","","","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","G6030s_576_Scheda_XV","","","","","","","","","","","","G6030s_576_Scheda_XV|~|DR1130F3","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cz36r","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cz36r/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002cz378","ark:/21198/zz0028tr8x","5","Imported","Work","Masters/Maps/Bruman-Maps/image/DR1130F3/G6030s_576_Scheda_XVI.tif","","","","private","","","cartographic","map","unknown","unknown","","","","","","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","G6030s_576_Scheda_XVI","","","","","","","","","","","","G6030s_576_Scheda_XVI|~|DR1130F3","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cz378","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cz378/manifest"
