"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","viewingHint","Visibility","Delete in Title","Thumbnail","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.publicationStatus","Name.other","Name.creator","Language","Subject","Rights.permission","Subject geographic","Author","Name.cartographer","Name.repository","Name.subject","Title","Date.creation","Publisher.publisherName","Description.note","Publisher.placeOfOrigin","Format.extent","Coverage.geographic","Alt ID.oclc","AltIdentifier.callNo","Alt ID.catalogRecordNumber","Opac url","Coverage.geoscale","AltTitle.uniform","Alt ID.local","Description.caption","Date.normalized","Alt ID.lccn","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002h70sb","ark:/21198/zz0028tr8x","10","Completed with minimal metadata","Work","Masters/Maps/Bruman-Maps/image/DR727F2/G5382S_R3_NS_ND_NP.tif","","","","","","","cartographic","map","unknown","unknown","","","spa","","","","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","Paraguay","","","","","","Paraguay","","","","","","","G5382S_R3_NS_ND_NP|~|DR727F2","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h70sb","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h70sb/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002h70tv","ark:/21198/zz0028tr8x","10","Completed with minimal metadata","Work","Masters/Maps/Bruman-Maps/image/DR727F2/G5382s_R3_NS_NP_ND3.tif","","","","","","","cartographic","map","unknown","unknown","","","spa","","","Paraguay--Maps.","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","Paraguay","","","","","","Paraguay","","","","","","","G5382s_R3_NS_NP_ND3|~|DR727F2","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h70tv","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h70tv/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002h70vc","ark:/21198/zz0028tr8x","10","Completed with minimal metadata","Work","Masters/Maps/Bruman-Maps/image/DR727F2/G5382s_R3_NS_NP_ND4.tif","","","","","","","cartographic","map","unknown","unknown","","","spa","","","Paraguay--Maps.","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","Paraguay Plano de Cerro Cora","","","","","","Paraguay","","","","","","","G5382s_R3_NS_NP_ND4|~|DR727F2","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h70vc","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h70vc/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002h70ww","ark:/21198/zz0028tr8x","10","Completed with minimal metadata","Work","Masters/Maps/Bruman-Maps/image/DR727F2/G5382s_R3_NS_NP_ND5.tif","","","","","","","cartographic","map","unknown","unknown","","","spa","","","","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","Paraguay","","","","","","Paraguay","","","","","","","G5382s_R3_NS_NP_ND5|~|DR727F2","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h70ww","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h70ww/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002h70xd","ark:/21198/zz0028tr8x","10","Completed with minimal metadata","Work","Masters/Maps/Bruman-Maps/image/DR727F2/G5382s_R3_NS_NP_ND6.tif","","","","","","","cartographic","map","unknown","unknown","","","","","","Paraguay--Maps.","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","Paraguay","","","","","","","","","","","","","G5382s_R3_NS_NP_ND6|~|DR727F2","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h70xd","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h70xd/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002h70zx","ark:/21198/zz0028tr8x","10","Completed with minimal metadata","Work","Masters/Maps/Bruman-Maps/image/DR727F2/G5382s_R3_NS_NP_ND8.tif","","","","","","","cartographic","map","unknown","unknown","","","","","","Paraguay--Maps.","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","Paraguay","","","","","","","","","","","","","G5382s_R3_NS_NP_ND8|~|DR727F2","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h70zx","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h70zx/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002h710x","ark:/21198/zz0028tr8x","10","Completed with minimal metadata","Work","Masters/Maps/Bruman-Maps/image/DR727F2/G5832s_R3_NS_NP_ND7.tif","","","","","","","cartographic","map","unknown","unknown","","","spa","","","Paraguay--Maps.","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","Paraguay","","","","","","Paraguay","","","","","","","G5832s_R3_NS_NP_ND|~|DR727F2","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h710x","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h710x/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002h711f","ark:/21198/zz0028tr8x","10","Completed with minimal metadata","Work","Masters/Maps/Bruman-Maps/image/DR727F3/G5373_100_MOP_1945.tif","","","","","","","cartographic","map","unknown","unknown","","","spa","","","Uruguay Maps.","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","Mapa del Departamento de Canelones","1945","","","","","Uruguay","","","","","","","G5373_100_MOP_1945|~|DR727F3","","1945","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h711f","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h711f/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002h712z","ark:/21198/zz0028tr8x","5","Imported","Work","Masters/Maps/Bruman-Maps/image/DR727F3/G5374_20_OCB_1941.tif","","","","private","","","cartographic","map","unknown","unknown","","","","","","Uruguay Maps.","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","City Plan of Montevideo Map No. 4","1941","","","","","Uruguay","","","","","","","G5374_20_OCB_1941|~|DR727F3","","1941","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h712z","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h712z/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002h713g","ark:/21198/zz0028tr8x","10","Completed with minimal metadata","Work","Masters/Maps/Bruman-Maps/image/DR727F4/G5380_1M_DGI_1904.tif","","","","","","","cartographic","map","unknown","unknown","","","spa","","","Paraguay--Maps.","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","Mapa de la Republica del Paraguay","1904","","","","","Paraguay","","","","","","","G5380_1M_DGI_1904|~|DR727F4","","1904","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h713g","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h713g/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002h7140","ark:/21198/zz0028tr8x","5","Imported","Work","Masters/Maps/Bruman-Maps/image/DR727F4/G5380_800_Depot_des_cartes_1862.tif","","","","private","","","cartographic","map","unknown","unknown","","","","","","","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","G5380_800_Depot_des_cartes_1862","","","","","","","","","","","","","G5380_800_Depot_des_cartes_1862|~|DR727F4","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7140","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7140/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002h715h","ark:/21198/zz0028tr8x","10","Completed with minimal metadata","Work","Masters/Maps/Bruman-Maps/image/DR727F4/G5380_IM_DGI_1904copy2.tif","","","","","","","cartographic","map","unknown","unknown","","","spa","","","Paraguay--Maps.","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","Mapa de la Republica del Paraguay","1904","","","","","Paraguay","","","","","","","G5380_IM_DGI_1904copy2|~|DR727F4","","1904","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h715h","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h715h/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002h7161","ark:/21198/zz0028tr8x","10","Completed with minimal metadata","Work","Masters/Maps/Bruman-Maps/image/DR727F4/G5381_F7_2M_STICA_1944.tif","","","","","","","cartographic","map","unknown","unknown","","","spa","","","Paraguay--Administrative and political divisions--Maps.","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","Republica del Paraguay Division Territorial","1944","","","","","","","","","","","","G5381_F7_2M_STICA_1944|~|DR727F4","","1944","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7161","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7161/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002h717j","ark:/21198/zz0028tr8x","10","Completed with minimal metadata","Work","Masters/Maps/Bruman-Maps/image/DR727F4/G5381_P2_3M_OSS_1945.tif","","","","","","","cartographic","map","unknown","unknown","","","spa","Roads--Paraguay--Maps.","","Paraguay--Maps.","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","Paraguay Roads","1945","","","","","Paraguay","","","","","","","G5381_P2_3M_OSS_1945|~|DR727F4","","1945","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h717j","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h717j/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002h7182","ark:/21198/zz0028tr8x","5","Imported","Work","Masters/Maps/Bruman-Maps/image/DR727F4/G5382_1M_AGS_1929.tif","","","","private","","","cartographic","map","unknown","unknown","","","spa","","","Chaco Boreal (Paraguay and Bolivia)--Maps.","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","Map of the Chaco Boreal","1929","","","","","","","","","","","","G5382_1M_AGS_1929|~|DR727F4","","1929","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7182","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7182/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002h719k","ark:/21198/zz0028tr8x","10","Completed with minimal metadata","Work","Masters/Maps/Bruman-Maps/image/DR727F4/G5382_1M_AGS_1929copy2.tif","","","","","","","cartographic","map","unknown","unknown","","","spa","","","Chaco Boreal (Paraguay and Bolivia)--Maps.","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","Map of the Chaco Boreal","1929","","","","","Paraguay","","","","","","","DR727F4|~|G5382_1M_AGS_1929copy2","","1929","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h719k","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h719k/manifest"
