Project Name,Item ARK,Parent ARK,Object Type,File Name,Item Sequence,Type.typeOfResource,Rights.copyrightStatus,Name.repository,Language,Name.illustrator,Subject,Alt ID.OPAC,Description.note,Date.normalized,Publisher.placeOfOrigin,Format.dimensions,Description.acquisitionHistory,AltTitle.other,Format.extent,Alt ID.callNo,Title,Date.creation,Publisher.publisherName
Various Pamphlets from the History and Special Collections for the Sciences,ark:/21198/zz002b86t4,ark:/21198/z14f2v0q,Work,,,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,eng,"Groth, John, $d 1908-1988",Air conditioning -- History,6780644,"Cover title.|~|Approximate date range established from the year the A.C.R.M.A. was formed (1940) through its merger with the Refrigeration Equipment Manufacturers' Association (1953).|~|Imprint based on inkstamp on lower wrapper of UCLA Biomed copy: ""From Air Conditioning and Refrigeration Machinery Association, Southern Building, Washington 5 D.C.""",1940/1953,"[Washington, D.C.]",16 x 23 cm,aGatherin'; purchase; 31 August 2011.,Air conditioning,[16] p. : col. ill.,TH7687 .S887 1940,Story of Air Conditioning,[between 1940 and 1953?],[Air Conditioning and Refrigeration Machinery Association]
Various Pamphlets from the History and Special Collections for the Sciences,ark:/21198/zz002b86t4/2t05n535,ark:/21198/zz002b86t4,ChildWork,pamph/image/21198-zz002b86t4-1-master_Page_01.tiff,1,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,eng,,,,,,,,,,,,,,
Various Pamphlets from the History and Special Collections for the Sciences,ark:/21198/zz002b86t4/j3198v0z,ark:/21198/zz002b86t4,ChildWork,pamph/image/21198-zz002b86t4-1-master_Page_02.tiff,2,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,eng,,,,,,,,,,,,,,
Various Pamphlets from the History and Special Collections for the Sciences,ark:/21198/zz002b86t4/cx31qd5h,ark:/21198/zz002b86t4,ChildWork,pamph/image/21198-zz002b86t4-1-master_Page_03.tiff,3,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,eng,,,,,,,,,,,,,,
Various Pamphlets from the History and Special Collections for the Sciences,ark:/21198/zz002b86t4/hz18zd7t,ark:/21198/zz002b86t4,ChildWork,pamph/image/21198-zz002b86t4-1-master_Page_04.tiff,4,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,eng,,,,,,,,,,,,,,
Various Pamphlets from the History and Special Collections for the Sciences,ark:/21198/zz002b86t4/3q60zp22,ark:/21198/zz002b86t4,ChildWork,pamph/image/21198-zz002b86t4-1-master_Page_05.tiff,5,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,eng,,,,,,,,,,,,,,
Various Pamphlets from the History and Special Collections for the Sciences,ark:/21198/zz002b86t4/zz526d7h,ark:/21198/zz002b86t4,ChildWork,pamph/image/21198-zz002b86t4-1-master_Page_06.tiff,6,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,eng,,,,,,,,,,,,,,
Various Pamphlets from the History and Special Collections for the Sciences,ark:/21198/zz002b86t4/p4859c64,ark:/21198/zz002b86t4,ChildWork,pamph/image/21198-zz002b86t4-1-master_Page_07.tiff,7,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,eng,,,,,,,,,,,,,,
Various Pamphlets from the History and Special Collections for the Sciences,ark:/21198/zz002b86t4/cx06nb17,ark:/21198/zz002b86t4,ChildWork,pamph/image/21198-zz002b86t4-1-master_Page_08.tiff,8,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,eng,,,,,,,,,,,,,,
Various Pamphlets from the History and Special Collections for the Sciences,ark:/21198/zz002b86t4/qg953k2t,ark:/21198/zz002b86t4,ChildWork,pamph/image/21198-zz002b86t4-1-master_Page_09.tiff,9,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,eng,,,,,,,,,,,,,,
Various Pamphlets from the History and Special Collections for the Sciences,ark:/21198/zz002b86t4/g427kx7z,ark:/21198/zz002b86t4,ChildWork,pamph/image/21198-zz002b86t4-1-master_Page_10.tiff,10,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,eng,,,,,,,,,,,,,,
Various Pamphlets from the History and Special Collections for the Sciences,ark:/21198/zz002b86t4/h2866p54,ark:/21198/zz002b86t4,ChildWork,pamph/image/21198-zz002b86t4-1-master_Page_11.tiff,11,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,eng,,,,,,,,,,,,,,
Various Pamphlets from the History and Special Collections for the Sciences,ark:/21198/zz002b86t4/8385nf4q,ark:/21198/zz002b86t4,ChildWork,pamph/image/21198-zz002b86t4-1-master_Page_12.tiff,12,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,eng,,,,,,,,,,,,,,
Various Pamphlets from the History and Special Collections for the Sciences,ark:/21198/zz002b86t4/d048gq9q,ark:/21198/zz002b86t4,ChildWork,pamph/image/21198-zz002b86t4-1-master_Page_13.tiff,13,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,eng,,,,,,,,,,,,,,
Various Pamphlets from the History and Special Collections for the Sciences,ark:/21198/zz002b86t4/2r11bx5n,ark:/21198/zz002b86t4,ChildWork,pamph/image/21198-zz002b86t4-1-master_Page_14.tiff,14,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,eng,,,,,,,,,,,,,,
Various Pamphlets from the History and Special Collections for the Sciences,ark:/21198/zz002b86t4/7t395v7c,ark:/21198/zz002b86t4,ChildWork,pamph/image/21198-zz002b86t4-1-master_Page_15.tiff,15,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,eng,,,,,,,,,,,,,,
Various Pamphlets from the History and Special Collections for the Sciences,ark:/21198/zz002b86t4/w249ph1b,ark:/21198/zz002b86t4,ChildWork,pamph/image/21198-zz002b86t4-1-master_Page_16.tiff,16,text,pd,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,eng,,,,,,,,,,,,,,
