File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Rights.copyrightStatus,Type.typeOfResource,Bucketeer State,IIIF Access URL
Masters/othermasters/dl_toganoo/masters/ucla_3680644/ucla_3680644_001.tif,Page,Front cover,1,ark:/21198/n1kk7h,ark:/21198/n1kk7h/1p20nc27,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1kk7h%2F1p20nc27
Masters/othermasters/dl_toganoo/masters/ucla_3680644/ucla_3680644_002.tif,Page,Inside front cover,2,ark:/21198/n1kk7h,ark:/21198/n1kk7h/ck33439b,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1kk7h%2Fck33439b
Masters/othermasters/dl_toganoo/masters/ucla_3680644/ucla_3680644_003.tif,Page,Page 1,3,ark:/21198/n1kk7h,ark:/21198/n1kk7h/6r72p431,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1kk7h%2F6r72p431
Masters/othermasters/dl_toganoo/masters/ucla_3680644/ucla_3680644_004.tif,Page,Page 2,4,ark:/21198/n1kk7h,ark:/21198/n1kk7h/dt12wb0v,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1kk7h%2Fdt12wb0v
Masters/othermasters/dl_toganoo/masters/ucla_3680644/ucla_3680644_005.tif,Page,Page 3,5,ark:/21198/n1kk7h,ark:/21198/n1kk7h/5330mw7r,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1kk7h%2F5330mw7r
Masters/othermasters/dl_toganoo/masters/ucla_3680644/ucla_3680644_006.tif,Page,Page 4,6,ark:/21198/n1kk7h,ark:/21198/n1kk7h/0v969s4z,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1kk7h%2F0v969s4z
Masters/othermasters/dl_toganoo/masters/ucla_3680644/ucla_3680644_007.tif,Page,Page 5,7,ark:/21198/n1kk7h,ark:/21198/n1kk7h/9360kp4g,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1kk7h%2F9360kp4g
Masters/othermasters/dl_toganoo/masters/ucla_3680644/ucla_3680644_008.tif,Page,Page 6,8,ark:/21198/n1kk7h,ark:/21198/n1kk7h/wx65nj39,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1kk7h%2Fwx65nj39
Masters/othermasters/dl_toganoo/masters/ucla_3680644/ucla_3680644_009.tif,Page,Page 7,9,ark:/21198/n1kk7h,ark:/21198/n1kk7h/d455pf7g,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1kk7h%2Fd455pf7g
Masters/othermasters/dl_toganoo/masters/ucla_3680644/ucla_3680644_010.tif,Page,Page 8,10,ark:/21198/n1kk7h,ark:/21198/n1kk7h/js96v14q,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1kk7h%2Fjs96v14q
Masters/othermasters/dl_toganoo/masters/ucla_3680644/ucla_3680644_011.tif,Page,Page 9,11,ark:/21198/n1kk7h,ark:/21198/n1kk7h/m758nf01,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1kk7h%2Fm758nf01
Masters/othermasters/dl_toganoo/masters/ucla_3680644/ucla_3680644_012.tif,Page,Page 10,12,ark:/21198/n1kk7h,ark:/21198/n1kk7h/w014p80x,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1kk7h%2Fw014p80x
Masters/othermasters/dl_toganoo/masters/ucla_3680644/ucla_3680644_013.tif,Page,Page 11,13,ark:/21198/n1kk7h,ark:/21198/n1kk7h/0q72b99c,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1kk7h%2F0q72b99c
Masters/othermasters/dl_toganoo/masters/ucla_3680644/ucla_3680644_014.tif,Page,Page 12,14,ark:/21198/n1kk7h,ark:/21198/n1kk7h/mk894h6j,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1kk7h%2Fmk894h6j
Masters/othermasters/dl_toganoo/masters/ucla_3680644/ucla_3680644_015.tif,Page,Page 13,15,ark:/21198/n1kk7h,ark:/21198/n1kk7h/7265jr6s,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1kk7h%2F7265jr6s
Masters/othermasters/dl_toganoo/masters/ucla_3680644/ucla_3680644_016.tif,Page,Page 14,16,ark:/21198/n1kk7h,ark:/21198/n1kk7h/3584wk9p,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1kk7h%2F3584wk9p
Masters/othermasters/dl_toganoo/masters/ucla_3680644/ucla_3680644_017.tif,Page,Page 15,17,ark:/21198/n1kk7h,ark:/21198/n1kk7h/wr919f2f,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1kk7h%2Fwr919f2f
Masters/othermasters/dl_toganoo/masters/ucla_3680644/ucla_3680644_018.tif,Page,Page 16,18,ark:/21198/n1kk7h,ark:/21198/n1kk7h/3679v61w,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1kk7h%2F3679v61w
Masters/othermasters/dl_toganoo/masters/ucla_3680644/ucla_3680644_019.tif,Page,Page 17,19,ark:/21198/n1kk7h,ark:/21198/n1kk7h/db21dc3v,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1kk7h%2Fdb21dc3v
Masters/othermasters/dl_toganoo/masters/ucla_3680644/ucla_3680644_020.tif,Page,Page 18,20,ark:/21198/n1kk7h,ark:/21198/n1kk7h/gv27fm94,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1kk7h%2Fgv27fm94
Masters/othermasters/dl_toganoo/masters/ucla_3680644/ucla_3680644_021.tif,Page,Page 19,21,ark:/21198/n1kk7h,ark:/21198/n1kk7h/6w85rb48,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1kk7h%2F6w85rb48
Masters/othermasters/dl_toganoo/masters/ucla_3680644/ucla_3680644_022.tif,Page,Page 20,22,ark:/21198/n1kk7h,ark:/21198/n1kk7h/x897v35q,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1kk7h%2Fx897v35q
Masters/othermasters/dl_toganoo/masters/ucla_3680644/ucla_3680644_023.tif,Page,Page 21,23,ark:/21198/n1kk7h,ark:/21198/n1kk7h/fg41g23s,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1kk7h%2Ffg41g23s
Masters/othermasters/dl_toganoo/masters/ucla_3680644/ucla_3680644_024.tif,Page,Page 22,24,ark:/21198/n1kk7h,ark:/21198/n1kk7h/g3545x0n,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1kk7h%2Fg3545x0n
