"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","viewingHint","Text direction","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Name.editor","Name.engraver","Title","Relation.rectoVerso","Relation.PageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.publication","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Name.illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Picart (Bernard) Collection","ark:/21198/zz000rsmvc","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rsmvc-1-master.tif","","","221","","","text","","","","","","Page 131","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsmvc",""
"Picart (Bernard) Collection","ark:/21198/zz000rsmww","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rsmww-1-master.tif","","","222","","","text","","","","","","Page 132","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsmww",""
"Picart (Bernard) Collection","ark:/21198/zz000rsmxd","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rsmxd-1-master.tif","","","223","","","text","","","","","","Page 133","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsmxd",""
"Picart (Bernard) Collection","ark:/21198/zz000rsmzx","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rsmzx-1-master.tif","","","224","","","text","","","","","","Page 134","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsmzx",""
"Picart (Bernard) Collection","ark:/21198/zz000rsn0x","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rsn0x-1-master.tif","","","225","","","text","","","","","","Page 135","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsn0x",""
"Picart (Bernard) Collection","ark:/21198/zz000rsn1f","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rsn1f-1-master.tif","","","226","","","text","","","","","","Page 136","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsn1f",""
"Picart (Bernard) Collection","ark:/21198/zz000rsn2z","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rsn2z-1-master.tif","","","227","","","text","","","","","","Page 137","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsn2z",""
"Picart (Bernard) Collection","ark:/21198/zz000rsn3g","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rsn3g-1-master.tif","","","228","","","text","","","","","","Page 138","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsn3g",""
"Picart (Bernard) Collection","ark:/21198/zz000rsn40","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rsn40-1-master.tif","","","229","","","text","","","","","","Page 138a","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsn40",""
"Picart (Bernard) Collection","ark:/21198/zz000rsn5h","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rsn5h-1-master.tif","","","230","","","still image","","","","","","INSTRUMENS qui servent à la CIRCONCISION.","v","","INSTRUMENS qui servent à la CIRCONCISION.A. Petit Cofre où sont les noms de tous les Membres de la Synagogue d'où l'on tire au sort les noms de sept personnes destinées à porter et à lire la loi. Ce petit Cofre est divisé en quatre parties, la premiere marquée 1. contient les noms des Levites, 2. est pour metre les noms des Levites à mesure qu'ils ont lû. 3. les noms de tous les autres Membres de la Synagogue. 4. place pour mettre les noms de ceux d'entre ces derniers qui ont déja lû.B. SEPHER TORA, ou le Rouleau de la Loi ouvert.C. Le Rouleau de la Loi fermé & entouré d'un ruban fort large.D. Le Rouleau la Loi avec ses ornemens.E. RIMONIM Ornement d'argent à Sonnettes qui se met aux deux extremitez d'enhaut du Rouleau.F. Touche qui sert à guider celui qui lit.Déssiné d'apres nature par B. Picart 1725.","Page 138b","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsn5h",""
"Picart (Bernard) Collection","ark:/21198/zz000rsn61","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rsn61-1-master.tif","","","231","","","text","","","","","","Page 139","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsn61",""
"Picart (Bernard) Collection","ark:/21198/zz000rsn7j","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rsn7j-1-master.tif","","","232","","","text","","","","","","Page 140","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsn7j",""
"Picart (Bernard) Collection","ark:/21198/zz000rsn82","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rsn82-1-master.tif","","","233","","","still image","","","","","","La CIRCONCISION des JUIFS PORTUGAIS.","r","","La CIRCONCISION des JUIFS PORTUGAIS.A. Le Pere de l'Enfant.B. La Mere dans une autre chambre, avec la Marraine, car les femmes Juives, n'assistent pas a cette Ceremonie.NB. celles qu'on voit ici sont des Chrétiennes.C. Le Parrain tenant l'Enfant, sur ses genoux, pendant l'operation.D. Un Siege vuide pour le Prophete Elie.E. Le Moèl, ou celui qui fait la fonction de Circoncire.F. Le Rabin, un Parent, ou un Ami, tenant la Coupe.Le RACHAT du PREMIER NÉ.A. Un Sacerdotte, ou descendant de la Famille d'Aron, emportant l'Enfant.B. Le Pere ôfrant de l'argent, pour le Racheter.C. La Mere de L'Enfant.     D. La Sage Femme.E. La Nourrice, Les autres sont des Parens, et Amis, invitez a cette Ceremonie.B. Picart, delineavit, 1722.","Page 140a","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsn82",""
"Picart (Bernard) Collection","ark:/21198/zz000rsn9k","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rsn9k-1-master.tif","","","234","","","text","","","","","","Page 140b","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsn9k",""
"Picart (Bernard) Collection","ark:/21198/zz000rsnb3","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rsnb3-1-master.tif","","","235","","","text","","","","","","Page 141","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsnb3",""
"Picart (Bernard) Collection","ark:/21198/zz000rsncm","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rsncm-1-master.tif","","","236","","","text","","","","","","Page 142","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsncm",""
"Picart (Bernard) Collection","ark:/21198/zz000rsnd4","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rsnd4-1-master.tif","","","237","","","text","","","","","","Page 142a","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsnd4",""
"Picart (Bernard) Collection","ark:/21198/zz000rsnfn","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rsnfn-1-master.tif","","","238","","","still image","","","","","","CEREMONIE NUPTIALE des JUIFS PORTUGAIS.","v","","CEREMONIE NUPTIALE des JUIFS PORTUGAIS.A. le Marié cassant le verre.B. la Mariée voillée.C.C. les 2. personnes servant de Maraines a la Mariée.D. D. les 2. Personnes servant de Parrains au Marié.E. Le Rabin. F. les Chantres.G. Celui qui ecrit les Aumônes que les Assistans promettent.CEREMONIE NUPTIALE des JUIFS ALLEMANDS.A. le Marié donnant L'Anneau à la Mariée, tous deux sous le Taled.B.B.  les 2. Maraines de la Mariée.C.C.  Les 2. Parrains du Marié.D. Le Rabin. * le derriere de la Sinagogue.E. le Chantre tenant la Bouteille pour faire Boire les Epoux .F. deux garçons avec des Batons ornez qui marchent devant les Mariez.","Page 142b","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsnfn",""
