"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","viewingHint","Text direction","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Editor","Name.engraver","Title","Relation.rectoVerso","Relation.PageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.creation","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Name.illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Picart (Bernard) Collection","ark:/21198/zz000rwpbx","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rwpbx-1-master.tif","","","1","","","text","","","","","","cover","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rwpbx",""
"Picart (Bernard) Collection","ark:/21198/zz000rwpcf","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rwpcf-1-master.tif","","","2","","","text","","","","","","inside front cover","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rwpcf",""
"Picart (Bernard) Collection","ark:/21198/zz000rwpdz","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rwpdz-1-master.tif","","","3","","","text","","","","","","blank Page 01","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rwpdz",""
"Picart (Bernard) Collection","ark:/21198/zz000rwpfg","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rwpfg-1-master.tif","","","4","","","text","","","","","","blank Page 02","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rwpfg",""
"Picart (Bernard) Collection","ark:/21198/zz000rwpg0","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rwpg0-1-master.tif","","","5","","","text","","","","","","blank Page 03","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rwpg0",""
"Picart (Bernard) Collection","ark:/21198/zz000rwphh","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rwphh-1-master.tif","","","6","","","text","","","","","","blank Page 04","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rwphh",""
"Picart (Bernard) Collection","ark:/21198/zz000rwpj1","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rwpj1-1-master.tif","","","7","","","text","","","","","","half-title Page","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rwpj1",""
"Picart (Bernard) Collection","ark:/21198/zz000rwpkj","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rwpkj-1-master.tif","","","8","","","text","","","","","","half-title Page verso","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rwpkj",""
"Picart (Bernard) Collection","ark:/21198/zz000rwpm2","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rwpm2-1-master.tif","","","9","","","text|~|still image","","","","","","title Page","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rwpm2",""
"Picart (Bernard) Collection","ark:/21198/zz000rwpnk","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rwpnk-1-master.tif","","","10","","","text","","","","","","title Page verso","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rwpnk",""
