Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Visibility,Duplicate,Delete in Title,Thumbnail,Type.genre,Type.typeOfResource,Rights.copyrightStatus,Subject,Name.subject,Name.creator,Rights.servicesContact,Language,Name.repository,Name.artist,Rights.permission,Name.photographer,Name.correspondent,Description.note,Alt ID.local,AltTitle.other,Title,Date.creation,Format.extent,Date.normalized,Coverage.geographic,Alt ID.collection,Description.caption,Alt ID.url,Summary,Relation.url,Opac url,Finding Aid URL,Alt ID.mp4,Format.medium,Relation.isPartOf
Huxley (Aldous) Collection,ark:/21198/zz002b0ksb/vr59qt4p,ark:/21198/zz002b0ksb,,,Page,huxle/audio/21198-zz002b0ksb-1-master.wav,1,,,,,,sound recording,,,,,,,,,,,,,,,Recording 1,,,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002b0ksb/6t991g58,ark:/21198/zz002b0ksb,,,Page,huxle/audio/21198-zz002b0ksb-2-master.wav,2,,,,,,sound recording,,,,,,,,,,,,,,,Recording 2,,,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002b12xm/tc16zd5g,ark:/21198/zz002b12xm,,,Page,huxle/audio/21198-zz002b12xm-1-master.wav,1,,,,,,sound recording,,,,,,,,,,,,,,,Recording 1,,,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002b12xm/rq43sr2n,ark:/21198/zz002b12xm,,,Page,huxle/audio/21198-zz002b12xm-2-master.wav,2,,,,,,sound recording,,,,,,,,,,,,,,,Recording 2,,,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002b12xm/1q433v3w,ark:/21198/zz002b12xm,,,Page,huxle/audio/21198-zz002b12xm-3-master.wav,3,,,,,,sound recording,,,,,,,,,,,,,,,Recording 3,,,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002b1h3g/n474f69t,ark:/21198/zz002b1h3g,,,Page,huxle/audio/21198-zz002b1h3g-1-master.wav,1,,,,,,sound recording,,,,,,,,,,,,,,,Recording 1,,,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002b1h3g/j790b44j,ark:/21198/zz002b1h3g,,,Page,huxle/audio/21198-zz002b1h3g-2-master.wav,2,,,,,,sound recording,,,,,,,,,,,,,,,Recording 2,,,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002b1h3g/f485gc9q,ark:/21198/zz002b1h3g,,,Page,huxle/audio/21198-zz002b1h3g-3-master.wav,3,,,,,,sound recording,,,,,,,,,,,,,,,Recording 3,,,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002b1h3g/3r285347,ark:/21198/zz002b1h3g,,,Page,huxle/audio/21198-zz002b1h3g-4-master.wav,4,,,,,,sound recording,,,,,,,,,,,,,,,Recording 4,,,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002b1h3g/0b97c23s,ark:/21198/zz002b1h3g,,,Page,huxle/audio/21198-zz002b1h3g-5-master.wav,5,,,,,,sound recording,,,,,,,,,,,,,,,Recording 5,,,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002b1h3g/pj14hr8k,ark:/21198/zz002b1h3g,,,Page,huxle/audio/21198-zz002b1h3g-6-master.wav,6,,,,,,sound recording,,,,,,,,,,,,,,,Recording 6,,,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002b1h3g/gj875f1w,ark:/21198/zz002b1h3g,,,Page,huxle/audio/21198-zz002b1h3g-7-master.wav,7,,,,,,sound recording,,,,,,,,,,,,,,,Recording 7,,,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002b1h3g/d138r97m,ark:/21198/zz002b1h3g,,,Page,huxle/audio/21198-zz002b1h3g-8-master.wav,8,,,,,,sound recording,,,,,,,,,,,,,,,Recording 8,,,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002b1rq5/fv34jn7k,ark:/21198/zz002b1rq5,,,Page,huxle/audio/21198-zz002b1rq5-1-master.wav,1,,,,,,sound recording,,,,,,,,,,,,,,,Recording 1,,,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002b1rq5/77670f2w,ark:/21198/zz002b1rq5,,,Page,huxle/audio/21198-zz002b1rq5-2-master.wav,2,,,,,,sound recording,,,,,,,,,,,,,,,Recording 2,,,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002b1rq5/3236gc15,ark:/21198/zz002b1rq5,,,Page,huxle/audio/21198-zz002b1rq5-3-master.wav,3,,,,,,sound recording,,,,,,,,,,,,,,,Recording 3,,,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002b1xkh/cr12gz79,ark:/21198/zz002b1xkh,,,Page,huxle/audio/21198-zz002b1xkh-1-master.wav,1,,,,,,sound recording,,,,,,,,,,,,,,,Recording 1,,,,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz002b1xkh/q785731d,ark:/21198/zz002b1xkh,,,Page,huxle/audio/21198-zz002b1xkh-2-master.wav,2,,,,,,sound recording,,,,,,,,,,,,,,,Recording 2,,,,,,,,,,,,,,
