Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Visibility,viewingHint,Duplicate,Delete in Title,Type.typeOfResource,Thumbnail,Title,Alt ID.local
Iranian National Baha'i Archives,ark:/21198/zz002h5tmf,,2,Completed,Collection,,,,,,,,,Iranian National Baha'i Archives,
Iranian National Baha'i Archives,ark:/21198/zz002h5wrg,ark:/21198/zz002h5tmf,2,Completed,Work,,,,individuals,,,text,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qn7v0z,Issue 1,INBA-Jild-1
Iranian National Baha'i Archives,ark:/21198/zz002h5ws0,ark:/21198/zz002h5tmf,2,Completed,Work,,,,individuals,,,text,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vx23rt,Issue 2,INBA-Jild-2
Iranian National Baha'i Archives,ark:/21198/zz002h5wth,ark:/21198/zz002h5tmf,2,Completed,Work,,,,individuals,,,text,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m636jb,Issue 3,INBA-Jild-3
Iranian National Baha'i Archives,ark:/21198/zz002h5wv1,ark:/21198/zz002h5tmf,2,Completed,Work,,,,individuals,,,text,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tj07xv,Issue 4,INBA-Jild-4
Iranian National Baha'i Archives,ark:/21198/zz002h5wwj,ark:/21198/zz002h5tmf,2,Completed,Work,,,,individuals,,,text,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zg8dgp,Issue 5,INBA-Jild-5
Iranian National Baha'i Archives,ark:/21198/zz002h5x2m,ark:/21198/zz002h5tmf,2,Completed,Work,,,,individuals,,,text,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qr6jd8,Issue 10,INBA-Jild-10
Iranian National Baha'i Archives,ark:/21198/zz002h5x34,ark:/21198/zz002h5tmf,2,Completed,Work,,,,individuals,,,text,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1030cw4,Issue 11,INBA-Jild-11
Iranian National Baha'i Archives,ark:/21198/zz002h5x4n,ark:/21198/zz002h5tmf,2,Completed,Work,,,,individuals,,,text,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10k3wz6,Issue 12,INBA-Jild-12
Iranian National Baha'i Archives,ark:/21198/zz002h5x55,ark:/21198/zz002h5tmf,2,Completed,Work,,,,individuals,,,text,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x93zp2,Issue 13,INBA-Jild-13
Iranian National Baha'i Archives,ark:/21198/zz002h5x6p,ark:/21198/zz002h5tmf,2,Completed,Work,,,,individuals,,,text,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qn7v4r,Issue 14,INBA-Jild-14
Iranian National Baha'i Archives,ark:/21198/zz002h5x76,ark:/21198/zz002h5tmf,2,Completed,Work,,,,individuals,,,text,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sf4hnr,Issue 15,INBA-Jild-15
Iranian National Baha'i Archives,ark:/21198/zz002h5x8q,ark:/21198/zz002h5tmf,2,Completed,Work,,,,individuals,,,text,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t45fg8,Issue 16,INBA-Jild-16
Iranian National Baha'i Archives,ark:/21198/zz002h5x97,ark:/21198/zz002h5tmf,2,Completed,Work,,,,individuals,,,text,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t744wk,Issue 17,INBA-Jild-17
Iranian National Baha'i Archives,ark:/21198/zz002h5xbr,ark:/21198/zz002h5tmf,2,Completed,Work,,,,individuals,,,text,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d80zwm,Issue 18,INBA-Jild-18
Iranian National Baha'i Archives,ark:/21198/zz002h5xc8,ark:/21198/zz002h5tmf,2,Completed,Work,,,,individuals,,,text,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq1r88,Issue 19,INBA-Jild-19
Iranian National Baha'i Archives,ark:/21198/zz002h5xds,ark:/21198/zz002h5tmf,2,Completed,Work,,,,individuals,,,text,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tj086v,Issue 20,INBA-Jild-20
Iranian National Baha'i Archives,ark:/21198/zz002h5xf9,ark:/21198/zz002h5tmf,2,Completed,Work,,,,individuals,,,text,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bz7tm9,Issue 21,INBA-Jild-21
Iranian National Baha'i Archives,ark:/21198/zz002h5xgt,ark:/21198/zz002h5tmf,2,Completed,Work,,,,individuals,,,text,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15t5749,Issue 22,INBA-Jild-22
Iranian National Baha'i Archives,ark:/21198/zz002h5xhb,ark:/21198/zz002h5tmf,2,Completed,Work,,,,individuals,,,text,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19g78f9,Issue 23,INBA-Jild-23
Iranian National Baha'i Archives,ark:/21198/zz002h5xjv,ark:/21198/zz002h5tmf,2,Completed,Work,,,,individuals,,,text,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ff5dzt,Issue 24,INBA-Jild-24
Iranian National Baha'i Archives,ark:/21198/zz002h5xkc,ark:/21198/zz002h5tmf,2,Completed,Work,,,,paged,,,text,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11564q8,Issue 25,INBA-Jild-25
Iranian National Baha'i Archives,ark:/21198/zz002h5xmw,ark:/21198/zz002h5tmf,2,Completed,Work,,,,individuals,,,text,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jh57tk,Issue 26,INBA-Jild-26
Iranian National Baha'i Archives,ark:/21198/zz002h5xnd,ark:/21198/zz002h5tmf,2,Completed,Work,,,,individuals,,,text,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19s3cqq,Issue 27,INBA-Jild-27
Iranian National Baha'i Archives,ark:/21198/zz002h5xpx,ark:/21198/zz002h5tmf,2,Completed,Work,,,,individuals,,,text,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x658ph,Issue 28,INBA-Jild-28
Iranian National Baha'i Archives,ark:/21198/zz002h5xrz,ark:/21198/zz002h5tmf,2,Completed,Work,,,,individuals,,,text,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hm6x6w,Issue 30,INBA-Jild-30
Iranian National Baha'i Archives,ark:/21198/zz002h5xsg,ark:/21198/zz002h5tmf,2,Completed,Work,,,,individuals,,,text,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mw44w8,Issue 31,INBA-Jild-31
Iranian National Baha'i Archives,ark:/21198/zz002h5xt0,ark:/21198/zz002h5tmf,2,Completed,Work,,,,individuals,,,text,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15730v6,Issue 32,INBA-Jild-32
Iranian National Baha'i Archives,ark:/21198/zz002h5xvh,ark:/21198/zz002h5tmf,2,Completed,Work,,,,paged,,,text,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bv94d2,Issue 33,INBA-Jild-33
Iranian National Baha'i Archives,ark:/21198/zz002h5xw1,ark:/21198/zz002h5tmf,2,Completed,Work,,,,individuals,,,text,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ng6cgq,Issue 34,INBA-Jild-34
Iranian National Baha'i Archives,ark:/21198/zz002h5xxj,ark:/21198/zz002h5tmf,2,Completed,Work,,,,individuals,,,text,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15h944g,Issue 35,INBA-Jild-35
Iranian National Baha'i Archives,ark:/21198/zz002h5xz2,ark:/21198/zz002h5tmf,2,Completed,Work,,,,paged,,,text,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rj66dc,Issue 36,INBA-Jild-36
Iranian National Baha'i Archives,ark:/21198/zz002h5z02,ark:/21198/zz002h5tmf,2,Completed,Work,,,,paged,,,text,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b586qn,Issue 37,INBA-Jild-37
Iranian National Baha'i Archives,ark:/21198/zz002h5z1k,ark:/21198/zz002h5tmf,2,Completed,Work,,,,paged,,,text,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11k0zrh,Issue 38,INBA-Jild-38
Iranian National Baha'i Archives,ark:/21198/zz002h5z23,ark:/21198/zz002h5tmf,2,Completed,Work,,,,paged,,,text,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14b4pdr,Issue 39,INBA-Jild-39
