"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","IIIF Access URL","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Rights.publicationStatus","Language","Type.genre","Subject","Author","Name.repository","Title","Alt ID.local","Alt ID.oclc","Date.normalized","Format.dimensions","Description.note","Publisher.placeOfOrigin","Date.creation","Format.extent","Publisher.publisherName","Alt ID.callNo","AltTitle.uniform","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Science and Engineering Library Books","ark:/21198/zz002jh57g","ark:/21198/zz002jj87c","10","Completed with minimal metadata","Page","sel/image/AllImages/ucla_oc229427233_vol1-2_001.tif","1","","","","","","private","","text","copyrighted","published","","","","","University of California, Los Angeles Library. Science and Engineering Library","ucla_oc229427233_vol1-2_001","ucla_oc229427233_vol1-2_001","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jh57g",""
"Science and Engineering Library Books","ark:/21198/zz002jh580","ark:/21198/zz002jj87c","10","Completed with minimal metadata","Page","sel/image/AllImages/ucla_oc229427233_vol1-2_002.tif","2","","","","","","private","","text","copyrighted","published","","","","","University of California, Los Angeles Library. Science and Engineering Library","ucla_oc229427233_vol1-2_002","ucla_oc229427233_vol1-2_002","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jh580",""
"Science and Engineering Library Books","ark:/21198/zz002jh59h","ark:/21198/zz002jj87c","10","Completed with minimal metadata","Page","sel/image/AllImages/ucla_oc229427233_vol1-2_003.tif","3","","","","","","private","","text","copyrighted","published","","","","","University of California, Los Angeles Library. Science and Engineering Library","ucla_oc229427233_vol1-2_003","ucla_oc229427233_vol1-2_003","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jh59h",""
"Science and Engineering Library Books","ark:/21198/zz002jh5b1","ark:/21198/zz002jj87c","10","Completed with minimal metadata","Page","sel/image/AllImages/ucla_oc229427233_vol1-2_004.tif","4","","","","","","private","","text","copyrighted","published","","","","","University of California, Los Angeles Library. Science and Engineering Library","ucla_oc229427233_vol1-2_004","ucla_oc229427233_vol1-2_004","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jh5b1",""
"Science and Engineering Library Books","ark:/21198/zz002jh5cj","ark:/21198/zz002jj87c","10","Completed with minimal metadata","Page","sel/image/AllImages/ucla_oc229427233_vol1-2_005.tif","5","","","","","","private","","text","copyrighted","published","","","","","University of California, Los Angeles Library. Science and Engineering Library","ucla_oc229427233_vol1-2_005","ucla_oc229427233_vol1-2_005","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jh5cj",""
"Science and Engineering Library Books","ark:/21198/zz002jh5d2","ark:/21198/zz002jj87c","10","Completed with minimal metadata","Page","sel/image/AllImages/ucla_oc229427233_vol1-2_006.tif","6","","","","","","private","","text","copyrighted","published","","","","","University of California, Los Angeles Library. Science and Engineering Library","ucla_oc229427233_vol1-2_006","ucla_oc229427233_vol1-2_006","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jh5d2",""
"Science and Engineering Library Books","ark:/21198/zz002jh5fk","ark:/21198/zz002jj87c","10","Completed with minimal metadata","Page","sel/image/AllImages/ucla_oc229427233_vol1-2_007.tif","7","","","","","","private","","text","copyrighted","published","","","","","University of California, Los Angeles Library. Science and Engineering Library","ucla_oc229427233_vol1-2_007","ucla_oc229427233_vol1-2_007","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jh5fk",""
"Science and Engineering Library Books","ark:/21198/zz002jh5g3","ark:/21198/zz002jj87c","10","Completed with minimal metadata","Page","sel/image/AllImages/ucla_oc229427233_vol1-2_008.tif","8","","","","","","private","","text","copyrighted","published","","","","","University of California, Los Angeles Library. Science and Engineering Library","ucla_oc229427233_vol1-2_008","ucla_oc229427233_vol1-2_008","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jh5g3",""
"Science and Engineering Library Books","ark:/21198/zz002jh5hm","ark:/21198/zz002jj87c","10","Completed with minimal metadata","Page","sel/image/AllImages/ucla_oc229427233_vol1-2_009.tif","9","","","","","","private","","text","copyrighted","published","","","","","University of California, Los Angeles Library. Science and Engineering Library","ucla_oc229427233_vol1-2_009","ucla_oc229427233_vol1-2_009","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jh5hm",""
"Science and Engineering Library Books","ark:/21198/zz002jh5j4","ark:/21198/zz002jj87c","10","Completed with minimal metadata","Page","sel/image/AllImages/ucla_oc229427233_vol1-2_010.tif","10","","","","","","private","","text","copyrighted","published","","","","","University of California, Los Angeles Library. Science and Engineering Library","ucla_oc229427233_vol1-2_010","ucla_oc229427233_vol1-2_010","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jh5j4",""
"Science and Engineering Library Books","ark:/21198/zz002jh5kn","ark:/21198/zz002jj87c","10","Completed with minimal metadata","Page","sel/image/AllImages/ucla_oc229427233_vol1-2_011.tif","11","","","","","","private","","text","copyrighted","published","","","","","University of California, Los Angeles Library. Science and Engineering Library","ucla_oc229427233_vol1-2_011","ucla_oc229427233_vol1-2_011","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jh5kn",""
