"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Visibility","Type.typeOfResource","Language","Name.subject","Format.extent","Description.note","Date.creation","Date.normalized","Title","AltTitle.uniform","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL"
"Monrovia (Calif.) Records. Collection 332","ark:/21198/z1hb0pvg","ark:/21198/zz0015xqvz","1","In progress","Page","monrovia/masters/21198-zz0015xqvz-1-master.tif","1","","","private","","","","","","","","Front","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hb0pvg"
"Monrovia (Calif.) Records. Collection 332","ark:/21198/z1cj9z35","ark:/21198/zz0015xqvz","1","In progress","Page","monrovia/masters/21198-zz0015xqvz-2-master.tif","2","","","private","","","","","","","","Back","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cj9z35"
"Monrovia (Calif.) Records. Collection 332","ark:/21198/z17s96ct","ark:/21198/zz0015xqwg","1","In progress","Page","monrovia/masters/21198-zz0015xqwg-2-master.tif","2","","","private","","","","","","","","Back","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17s96ct"
"Monrovia (Calif.) Records. Collection 332","ark:/21198/z1418fq9","ark:/21198/zz0015xqwg","1","In progress","Page","monrovia/masters/21198-zz0015xqwg-1-master.tif","1","","","private","","","","","","","","Front","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1418fq9"
