Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,viewingHint,Text direction,Visibility,IIIF Range,Rights.copyrightStatus,Subject,Type.genre,Name.repository,Name.author,Name.attributedTo,Name.translator,Name.commentator,Name.scribe,Name.creator,Name.compiler,Name.annotator,Language,Language.script,Name.calligrapher,Alternate Identifier.local,Title,Relation.rectoVerso,Source,Date.creation,Format.dimensions,Alternate Title.other,Description.abstract,Description.microfilm,Description.citation,Alternate Title.scriptArab,Description.physical,Relation.textDirection,Date.normalized,Description.note,Format.extent,Relation,Description.stamp,Relation.citation,Alternate Title.spine,Description.marks,Description.colophon,thumbnailImageName,masterImageName,JSON,Metadata Only,Conceptual Work,IIIF Manifest URL,IIIF Access URL
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000srk1f,ark:/21198/zz000wrmkf,7,Completed,Work,,,,,paged,right-to-left,,,pd,Koran $x Recitation,Manuscripts,"University of California, Los Angeles. $b Library Special Collections","Tabrīzī, Mullā Muḥammad Zamān Ṭāhir",,,,,,,,per,Naskh,,396,Kitāb al-tajvīd,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 55, 396",1285 [1868 or 1869],19 x 15.2,,,,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1039 AH), p. 14.",کتاب التجويد|~|Risālah dar tajvīd,,rtl,,,,,,,,,,,,"['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz000srk1f"", ""Parent ARK"": ""ark:/21198/zz000wrmkf"", ""Item Status ID"": ""7"", ""Item Status"": ""Completed"", ""Object Type"": ""Work"", ""File Name"": """", ""Item Sequence"": ""395"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": ""paged"", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": ""Koran $x Recitation"", ""Type.genre"": ""manuscripts (document genre)"", ""Name.repository"": ""University of California, Los Angeles. $b Library Special Collections"", ""Name.author"": ""Tabru012bzu012b, Mullu0101 Muhu0323ammad Zamu0101n Tu0323u0101hir"", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": ""Persian"", ""Language.script"": ""Naskh"", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""396"", ""Title"": ""Kitu0101b al-tajvu012bd"", ""Relation.rectoVerso"": """", ""Source"": ""Caro Minasian Collection of Persian and Arabic Manuscripts, box 55, 396"", ""Date.creation"": ""1285 [1868 or 1869]"", ""Format.dimensions"": ""19 x 15.2"", ""Alternate Title.other"": """", ""Description.abstract"": """", ""Description.microfilm"": """", ""Description.citation"": ""Muu1e25ammad Taqu012b Du0101nish-pazhu016bh, Fihrist-i Nushahhu0101-yi khau1e6du1e6du012b, daftar 11 & 12 (u1e6cihru0101n: Intishu0101ru0101t-i Du0101nishgu0101h-i u1e6cihru0101n, 1039 AH), p. 14."", ""Alternate Title.scriptArab"": ""u06a9u062au0627u0628 u0627u0644u062au062cu0648u064au062f|~|Risu0101lah dar tajvu012bd"", ""Description.physical"": """", ""Relation.textDirection"": ""rtl"", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": """", ""masterImageName"": """"}']",No,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000srk1f/manifest,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014jp5s
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000srzk1,ark:/21198/zz000wrmkf,7,Completed,Work,,,,,paged,right-to-left,,,pd,Sufism $v Early works to 1800,Manuscripts,"University of California, Los Angeles. $b Library Special Collections","Jāmī, $d 1414-1492",,,,,,,,per,Nastaʿlīq,,582,Lavāyiḥ,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 79, 582",n.d.,17.3 x 10.5,,"Text is bordered in green, gold and blue ink.",,"Āghā Buzurg al-Ṭihrānī, Dharīʿah ilā taṣānif al-Shīʿah (Al-Najaf: Maṭbaʿat al-Gharrā, 1936-1986), v. 18 (508), p. 371.|~|Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1039 AH), p. 75.",لوايح,,rtl,,,,,,,,,,,,"['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz000srzk1"", ""Parent ARK"": ""ark:/21198/zz000wrmkf"", ""Item Status ID"": ""7"", ""Item Status"": ""Completed"", ""Object Type"": ""Work"", ""File Name"": """", ""Item Sequence"": ""583"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": ""paged"", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": ""Sufism $v Early works to 1800"", ""Type.genre"": ""manuscripts (document genre)"", ""Name.repository"": ""University of California, Los Angeles. $b Library Special Collections"", ""Name.author"": ""Ju0101mu012b, $d 1414-1492"", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": ""Persian"", ""Language.script"": ""Nastau02bflu012bq"", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""582"", ""Title"": ""Lavu0101yihu0323"", ""Relation.rectoVerso"": """", ""Source"": ""Caro Minasian Collection of Persian and Arabic Manuscripts, box 79, 582"", ""Date.creation"": ""n.d."", ""Format.dimensions"": ""17.3 x 10.5"", ""Alternate Title.other"": """", ""Description.abstract"": ""Text is bordered in green, gold and blue ink."", ""Description.microfilm"": """", ""Description.citation"": ""u0100ghu0101 Buzurg al-u1e6cihru0101nu012b, Dharu012bu02bfah ilu0101 tau1e63u0101nif al-Shu012bu02bfah (Al-Najaf: Mau1e6dbau02bfat al-Gharru0101, 1936-1986), v. 18 (508), p. 371.|~|Muu1e25ammad Taqu012b Du0101nish-pazhu016bh, Fihrist-i Nushahhu0101-yi khau1e6du1e6du012b, daftar 11 & 12 (u1e6cihru0101n: Intishu0101ru0101t-i Du0101nishgu0101h-i u1e6cihru0101n, 1039 AH), p. 75."", ""Alternate Title.scriptArab"": ""u0644u0648u0627u064au062d"", ""Description.physical"": """", ""Relation.textDirection"": ""rtl"", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": """", ""masterImageName"": """"}']",No,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000srzk1/manifest,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014n7v6
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000stp3t,ark:/21198/zz000wrmkf,7,Completed,Work,,,,,paged,right-to-left,,,pd,Arabic fiction,Manuscripts,"University of California, Los Angeles. $b Library Special Collections",,,,,,,,,ara,Naskh,,183,Qiṣṣat al-Jāriyah al-ʿĀlimah,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 29, 183",n.d.,14 x 11 cm.,,A story about a slave woman during ʿAbbāsid times with distinguished knowledge in a variety of subjects. Author is unknown.,,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1039 AH), p. 320.",قصة الجارية العالمة,,rtl,,,,,,,,,,,,"['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz000stp3t"", ""Parent ARK"": ""ark:/21198/zz000wrmkf"", ""Item Status ID"": ""7"", ""Item Status"": ""Completed"", ""Object Type"": ""Work"", ""File Name"": """", ""Item Sequence"": ""183"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": ""paged"", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": ""Arabic fiction"", ""Type.genre"": ""manuscripts (document genre)"", ""Name.repository"": ""University of California, Los Angeles. $b Library Special Collections"", ""Name.author"": """", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": ""Arabic"", ""Language.script"": ""Naskh"", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""183"", ""Title"": ""Qisu0323su0323at al-Ju0101riyah al-u02bfu0100limah"", ""Relation.rectoVerso"": """", ""Source"": ""Caro Minasian Collection of Persian and Arabic Manuscripts, box 29, 183"", ""Date.creation"": ""n.d."", ""Format.dimensions"": ""14 x 11 cm."", ""Alternate Title.other"": """", ""Description.abstract"": ""A story about a slave woman during u02bfAbbu0101sid times with distinguished knowledge in a variety of subjects. Author is unknown."", ""Description.microfilm"": """", ""Description.citation"": ""Muu1e25ammad Taqu012b Du0101nish-pazhu016bh, Fihrist-i Nushahhu0101-yi khau1e6du1e6du012b, daftar 11 & 12 (u1e6cihru0101n: Intishu0101ru0101t-i Du0101nishgu0101h-i u1e6cihru0101n, 1039 AH), p. 320."", ""Alternate Title.scriptArab"": ""u0642u0635u0629 u0627u0644u062cu0627u0631u064au0629 u0627u0644u0639u0627u0644u0645u0629"", ""Description.physical"": """", ""Relation.textDirection"": ""rtl"", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": """", ""masterImageName"": """"}']",No,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000stp3t/manifest,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000tf85j
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000szg47,ark:/21198/zz000wrmkf,7,Completed,Work,,,,,paged,right-to-left,,,pd,Iran $x History $v Early works to 1800,Manuscripts,"University of California, Los Angeles. $b Library Special Collections","Kâtip Çelebi, $d 1609-1657",,"ʿĀrif, Muḥammad",,,,,,per,Nastaʿlīq,,732,Jahān'nāmah,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 96, 732",1302 [1884 or 1885],21.1 x 15 cm.,,"A Persian translation of Kâtip Çelebî's (1609-1657) Cihân-nümâ, originally written in Ottoman Turkish in A.D. 1654/A.H. 1065. Covers the history of Khurāsān and Hirāt.",,"Munzavī v. 6, p. 3961.|~|Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1039 AH), p. 18.",Tarjumah-ʾi jahān'numā-yi Hājī Khalfah Kātib Chalabī|~|جهان نامه,,rtl,,,,,,,,,,,,"['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz000szg47"", ""Parent ARK"": ""ark:/21198/zz000wrmkf"", ""Item Status ID"": ""7"", ""Item Status"": ""Completed"", ""Object Type"": ""Work"", ""File Name"": """", ""Item Sequence"": ""733"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": ""paged"", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": ""Iran $x History $v Early works to 1800"", ""Type.genre"": ""manuscripts (document genre)"", ""Name.repository"": ""University of California, Los Angeles. $b Library Special Collections"", ""Name.author"": ""Kau0302tip Cu0327elebi, $d 1609-1657"", ""Name.attributedTo"": """", ""Name.translator"": ""u02bfu0100rif, Muhu0323ammad"", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": ""Persian"", ""Language.script"": ""Nastau02bflu012bq"", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""732"", ""Title"": ""Jahu0101n'nu0101mah"", ""Relation.rectoVerso"": """", ""Source"": ""Caro Minasian Collection of Persian and Arabic Manuscripts, box 96, 732"", ""Date.creation"": ""1302 [1884 or 1885]"", ""Format.dimensions"": ""21.1 x 15 cm."", ""Alternate Title.other"": """", ""Description.abstract"": ""A Persian translation of Ku00e2tip u00c7elebu00ee's (1609-1657) Cihu00e2n-nu00fcmu00e2, originally written in Ottoman Turkish in A.D. 1654/A.H. 1065. Covers the history of Khuru0101su0101n and Hiru0101t."", ""Description.microfilm"": """", ""Description.citation"": ""Munzavu012b v. 6, p. 3961.|~|Muu1e25ammad Taqu012b Du0101nish-pazhu016bh, Fihrist-i Nushahhu0101-yi khau1e6du1e6du012b, daftar 11 & 12 (u1e6cihru0101n: Intishu0101ru0101t-i Du0101nishgu0101h-i u1e6cihru0101n, 1039 AH), p. 18."", ""Alternate Title.scriptArab"": ""Tarjumah-u02bei jahu0101n'numu0101-yi Hu0101ju012b Khalfah Ku0101tib Chalabu012b|~|u062cu0647u0627u0646 u0646u0627u0645u0647"", ""Description.physical"": """", ""Relation.textDirection"": ""rtl"", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": """", ""masterImageName"": """"}']",No,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000szg47/manifest,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014kn68
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000wrck2,ark:/21198/zz000wrmkf,7,Completed,Work,,,,,paged,right-to-left,,,pd,Astronomy,Manuscripts,"University of California, Los Angeles. $b Library Special Collections","Shūshtarī, Ḥasan",,,,,,,,,,,1447,Nujūm,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 170,1447",n.d.,21.5 x 15.6 x 0.9,,"First two folios are illuminated. Work contains tables bordered in gold, red and green ink. Using the astronomical tables (zīj) of Muḥammad Shāh, Shūshtarī predicts a lunar eclipse on Thursday the 14th of Muḥarram 1277 A.H.(August 2nd 1860 A.D.). In the year 1860 A.D. a total eclipse of the sun was observed on July 18th and a lunar eclipse was observed on February 7th.",,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1039 AH), p. 53.",نجوم,,rtl,,,,,,,,,,,,"['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz000wrck2"", ""Parent ARK"": ""ark:/21198/zz000wrmkf"", ""Item Status ID"": ""7"", ""Item Status"": ""Completed"", ""Object Type"": ""Work"", ""File Name"": """", ""Item Sequence"": ""1450"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": ""paged"", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": ""Astronomy"", ""Type.genre"": ""manuscripts (document genre)"", ""Name.repository"": ""University of California, Los Angeles. $b Library Special Collections"", ""Name.author"": ""Shu016bshtaru012b, Hu0323asan"", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": """", ""Language.script"": """", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""1447"", ""Title"": ""Nuju016bm"", ""Relation.rectoVerso"": """", ""Source"": ""Caro Minasian Collection of Persian and Arabic Manuscripts, box 170,1447"", ""Date.creation"": ""n.d."", ""Format.dimensions"": ""21.5 x 15.6 x 0.9"", ""Alternate Title.other"": """", ""Description.abstract"": ""First two folios are illuminated. Work contains tables bordered in gold, red and green ink. Using the astronomical tables (zu012bj) of Muhu0323ammad Shu0101h, Shu016bshtaru012b predicts a lunar eclipse on Thursday the 14th of Muhu0323arram 1277 A.H.(August 2nd 1860 A.D.). In the year 1860 A.D. a total eclipse of the sun was observed on July 18th and a lunar eclipse was observed on February 7th."", ""Description.microfilm"": """", ""Description.citation"": ""Muu1e25ammad Taqu012b Du0101nish-pazhu016bh, Fihrist-i Nushahhu0101-yi khau1e6du1e6du012b, daftar 11 & 12 (u1e6cihru0101n: Intishu0101ru0101t-i Du0101nishgu0101h-i u1e6cihru0101n, 1039 AH), p. 53."", ""Alternate Title.scriptArab"": ""u0646u062cu0648u0645"", ""Description.physical"": """", ""Relation.textDirection"": ""rtl"", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": """", ""masterImageName"": """"}']",No,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000wrck2/manifest,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r9sg
