Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Rights.copyrightStatus,Language,Name.subject,Name.creator,Subject,Type.genre,Relation.isPartOf,Name.repository,Title,Description.adminnote,Alt ID.local,AltTitle.translated,Coverage.geographic,Format.dimensions,Format.extent,Date.creation,Date.normalized,Description.abstract,Description.note,AltTitle.firstLine,AltTitle.descriptive,Alt ID.OPAC,Alt ID.url,AltTitle.other,Bucketeer State,IIIF Access URL,
Orsini Family Papers.  Collection 902,ark:/21198/zz000998kr,ark:/21198/zz000945wq,1,In progress,Work,,,,,,,paged,,private,,,,,,,,,,Code Letter,,,,,,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000998kr/manifest,
Orsini Family Papers.  Collection 902,ark:/21198/zz000998ns,ark:/21198/zz000998kr,1,In progress,Page,orsini/masters/21198-zz000998ns-1-master.tif,1,,,,,,,private,,,,,,,,,,Code letter 01.tif - srlf scan,,,,,,,,,,,,,,,,failed,,
Orsini Family Papers.  Collection 902,ark:/21198/zz000998p9,ark:/21198/zz000998kr,1,In progress,Page,orsini/masters/21198-zz000998p9-1-master.tif,2,,,,,,,private,,,,,,,,,,Code letter 02a.tif - srlf scan,,,,,,,,,,,,,,,,failed,,
Orsini Family Papers.  Collection 902,ark:/21198/zz000998qt,ark:/21198/zz000998kr,1,In progress,Page,orsini/masters/21198-zz000998qt-1-master.tif,3,,,,,,,private,,,,,,,,,,Code letter 02b.tif - srlf scan,,,,,,,,,,,,,,,,failed,,
Orsini Family Papers.  Collection 902,ark:/21198/zz000998rb,ark:/21198/zz000998kr,1,In progress,Page,orsini/masters/21198-zz000998rb-1-master.tif,4,,,,,,,private,,,,,,,,,,Code letter 03a.tif - srlf scan,,,,,,,,,,,,,,,,failed,,
Orsini Family Papers.  Collection 902,ark:/21198/zz000998sv,ark:/21198/zz000998kr,1,In progress,Page,orsini/masters/21198-zz000998sv-1-master.tif,5,,,,,,,private,,,,,,,,,,Code letter 03b.tif - srlf scan,,,,,,,,,,,,,,,,failed,,
