Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Thumbnail,Visibility,Item Sequence,viewingHint,Duplicate,Delete in Title,Type.typeOfResource,Type.genre,Name.subject,Name.donor,Rights.rightsHolderContact,Name.repository,Subject,Rights.copyrightStatus,Publisher.publisherName,Name.designer,Name.creator,Name.contributor,Format.extent,AltTitle.uniform,AltIdentifier.local,Relation.isPartOf,Date.creation,Title,Format.medium,Format.dimensions,Date.normalized,Description.note,Opac url,Finding Aid URL,IIIF Manifest URL
Roybal (Edward R.) Photograph Collection,ark:/21198/zz00141d56,ark:/21198/zz000s3hxd,2,Completed,Work,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p57639,private,,individuals,,,still image,Black-and-white photographs,,Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1957_24A_24B.tif,"Edward Ross Roybal Papers, 1953-1962",probably 1957,CSRC_ROYBAL-HAYNES_1957_24A_24B.tif,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00141d56/manifest
Roybal (Edward R.) Photograph Collection,ark:/21198/zz00159qhq,ark:/21198/zz000s3hxd,1,In progress,Work,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dn5pp9,private,,individuals,,,still image,photographs,,Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1962_67A_67B.tif,"Edward Ross Roybal Papers, 1953-1961",1962,CSRC_ROYBAL-HAYNES_1962_67A_67B.tif,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00159qhq/manifest
Roybal (Edward R.) Photograph Collection,ark:/21198/zz0017k3r2,ark:/21198/zz000s3hxd,1,In progress,Work,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz154466h,private,,individuals,,,still image,photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1954_09A_09B.tif,"Edward Ross Roybal Papers, 1953-1960",1954,CSRC_ROYBAL-HAYNES_1954_09A_09B.tif,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017k3r2/manifest
Roybal (Edward R.) Photograph Collection,ark:/21198/zz0017pz9r,ark:/21198/zz000s3hxd,1,In progress,Work,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq1ncc,private,,individuals,,,still image,color photographs,,Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1987_100.tif,"Edward Ross Roybal Papers, 1953-1959",1987,CSRC_ROYBAL-HAYNES_1987_100.tif,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017pz9r/manifest
Roybal (Edward R.) Photograph Collection,ark:/21198/zz0017qj0r,ark:/21198/zz000s3hxd,1,In progress,Work,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n6050x,private,,individuals,,,still image,Black-and-white photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1959_01.if,"Edward Ross Roybal Papers, 1953-1958",1959,CSRC_ROYBAL-HAYNES_1959_01.if,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017qj0r/manifest
Roybal (Edward R.) Photograph Collection,ark:/21198/zz0018mkx8,ark:/21198/zz000s3hxd,1,In progress,Work,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cn8njx,private,,individuals,,,still image,photographs,,Roybal Family,,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1974_56_56B.tif,"Edward Ross Roybal Papers, 1953-1957",1974,CSRC_ROYBAL-HAYNES_1974_56_56B.tif,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0018mkx8/manifest
Roybal (Edward R.) Photograph Collection,ark:/21198/zz0019p0s9,ark:/21198/zz000s3hxd,1,In progress,Work,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1475vhh,private,,individuals,,,still image,photographs,,Roybal Family,,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1974_55_55B.tif,"Edward Ross Roybal Papers, 1953-1956",1974,CSRC_ROYBAL-HAYNES_1974_55_55B.tif,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019p0s9/manifest
Roybal (Edward R.) Photograph Collection,ark:/21198/zz001bm8t6,ark:/21198/zz000s3hxd,1,In progress,Work,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vq4m9w,private,,individuals,,,still image,photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1975_09A_09B.tif,"Edward Ross Roybal Papers, 1953-1955",1975,CSRC_ROYBAL-HAYNES_1975_09A_09B.tif,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bm8t6/manifest
Roybal (Edward R.) Photograph Collection,ark:/21198/zz001bn629,ark:/21198/zz000s3hxd,1,In progress,Work,,,private,,individuals,,,still image,Black-and-white photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,Roybal Family Trust,1 Photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1961_46.tif,"Edward Ross Roybal Papers, 1953-1954",1961,CSRC_ROYBAL-HAYNES_1961_46.tif,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bn629/manifest
Roybal (Edward R.) Photograph Collection,ark:/21198/zz001cc0bc,ark:/21198/zz000s3hxd,1,In progress,Work,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bs09td,private,,individuals,,,still image,photographs,,Roybal Family,,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1980_10.tif,"Edward Ross Roybal Papers, 1953-1953",1980,CSRC_ROYBAL-HAYNES_1980_10.tif,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001cc0bc/manifest
