Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Visibility,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Type.genre,Name.subject,Name.donor,Rights.rightsHolderContact,Name.repository,Subject,Rights.copyrightStatus,Publisher.publisherName,Name.designer,Name.creator,Name.contributor,Format.extent,AltTitle.other,AltIdentifier.local,Relation.isPartOf,Date.creation,Title,Format.medium,Format.dimensions,Date.normalized,Description.note,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Roybal (Edward R.) Photograph Collection,ark:/21198/zz000s3hxd,,2,Completed,Collection,csrc/masters/21198-zz000s3hxd-1-master.tif,private,,,,still image,photographs,,Roybal Family,,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,,,,"Edward Ross Roybal Papers, 1953-1962",1919-2003,Edward R. Roybal Photograph Collection,,,1919/2003,The UCLA Chicano Studies Research Center Library was awarded a John Randolph Haynes and Dora Haynes Foundation Grant in support of the preservation and digitization of the photographic portion of the Edward R. Roybal Papers. This rich photographic collection documents Congressman Roybal's family history and years of public service.,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6421338,https://oac.cdlib.org/findaid/ark:/13030/c8zk5n2q/,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz000s3hxd
Roybal (Edward R.) Photograph Collection,ark:/21198/zz000sjt98,ark:/21198/zz000s3hxd,2,Completed,Work,csrc/masters/21198-zz000sjt98-1-master.tif,private,,,,still image,Black-and-white photographs,,Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 Photograph,Edward R. Roybal Papers,CSRC_ROYBAL_EarlyYears_0001.tif,"Edward Ross Roybal Papers, 1953-1961",,CSRC_ROYBAL_EarlyYears_0001.tif,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjt98,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjt98/manifest
Roybal (Edward R.) Photograph Collection,ark:/21198/zz000sjtdt,ark:/21198/zz000s3hxd,2,Completed,Work,csrc/masters/21198-zz000sjtdt-1-master.tif,private,,,,still image,Black-and-white photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 photograph,Edward R. Roybal Papers,CSRC_ROYBAL_EarlyYears_0002.tif,"Edward Ross Roybal Papers, 1953-1960",,CSRC_ROYBAL_EarlyYears_0002.tif,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjtdt,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjtdt/manifest
Roybal (Edward R.) Photograph Collection,ark:/21198/zz000sjtfb,ark:/21198/zz000s3hxd,2,Completed,Work,csrc/masters/21198-zz000sjtfb-1-master.tif,private,,,,still image,Black-and-white photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 Photograph,Edward R. Roybal Papers,CSRC_ROYBAL_EarlyYears_0007.tif,"Edward Ross Roybal Papers, 1953-1959",,CSRC_ROYBAL_EarlyYears_0007.tif,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjtfb,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjtfb/manifest
Roybal (Edward R.) Photograph Collection,ark:/21198/zz000sjtgv,ark:/21198/zz000s3hxd,2,Completed,Work,csrc/masters/21198-zz000sjtgv-1-master.tif,private,,,,still image,Black-and-white photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 Photograph,Edward R. Roybal Papers,CSRC_ROYBAL_EarlyYears_0012.tif,"Edward Ross Roybal Papers, 1953-1958",,CSRC_ROYBAL_EarlyYears_0012.tif,,,1950/1959,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjtgv,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjtgv/manifest
Roybal (Edward R.) Photograph Collection,ark:/21198/zz000sjthc,ark:/21198/zz000s3hxd,2,Completed,Work,csrc/masters/21198-zz000sjthc-1-master.tif,private,,,,still image,Black-and-white photographs,,Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,,Edward R. Roybal Papers,CSRC_ROYBAL_EarlyYears_0004.tif,"Edward Ross Roybal Papers, 1953-1957",,CSRC_ROYBAL_EarlyYears_0004.tif,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjthc,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjthc/manifest
Roybal (Edward R.) Photograph Collection,ark:/21198/zz000sjtjw,ark:/21198/zz000s3hxd,2,Completed,Work,csrc/masters/21198-zz000sjtjw-1-master.tif,private,,,,still image,Black-and-white photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 Photograph,Edward R. Roybal Papers,CSRC_ROYBAL_EarlyYears_0006.tif,"Edward Ross Roybal Papers, 1953-1956",,CSRC_ROYBAL_EarlyYears_0006.tif,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjtjw,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjtjw/manifest
Roybal (Edward R.) Photograph Collection,ark:/21198/zz000sjtkd,ark:/21198/zz000s3hxd,2,Completed,Work,csrc/masters/21198-zz000sjtkd-1-master.tif,private,,,,still image,,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 Photograph,Edward R. Roybal Papers,CSRC_ROYBAL_EarlyYears_0011.tif,"Edward Ross Roybal Papers, 1953-1955",,CSRC_ROYBAL_EarlyYears_0011.tif,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjtkd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjtkd/manifest
Roybal (Edward R.) Photograph Collection,ark:/21198/zz000sjtmx,ark:/21198/zz000s3hxd,2,Completed,Work,csrc/masters/21198-zz000sjtmx-1-master.tif,private,,,,still image,,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 Photograph,Edward R. Roybal Papers,CSRC_ROYBAL_EarlyYears_0010.tif,"Edward Ross Roybal Papers, 1953-1954",,CSRC_ROYBAL_EarlyYears_0010.tif,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjtmx,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjtmx/manifest
Roybal (Edward R.) Photograph Collection,ark:/21198/zz000sjtnf,ark:/21198/zz000s3hxd,2,Completed,Work,csrc/masters/21198-zz000sjtnf-1-master.tif,private,,,,still image,Black-and-white photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 Photograph,Edward R. Roybal Papers,CSRC_ROYBAL_EarlyYears_0009.tif,"Edward Ross Roybal Papers, 1953-1953",,CSRC_ROYBAL_EarlyYears_0009.tif,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjtnf,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjtnf/manifest
