Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Subject,Name.author,Name.subject,Name.annotator,Name.repository,Name.scribe,Title,Relation.rectoVerso,Relation.pageNumber,Relation.textDirection,Relation.isVersionOf,Alt ID.local,Description.contents,Date.creation,Format.dimensions,Format.extent,Description.note,Description.abstract
St Gall Manuscripts,ark:/21198/zz00294t7t,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_012_v.tif,24,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 12v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294t8b,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_013_r.tif,25,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 13r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294t9v,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_013_v.tif,26,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 13v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294tbc,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_014_r.tif,27,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 14r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294tcw,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_014_v.tif,28,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 14v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294tdd,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_015_r.tif,29,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 15r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294tfx,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_015_v.tif,30,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 15v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294tgf,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_016_r.tif,31,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 16r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294thz,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_016_v.tif,32,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 16v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294tjg,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_017_r.tif,33,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 17r,,,,,,,,,,,
