"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Type.genre","Rights.copyrightStatus","Subject","Name.subject","Author","Name.creator","Name.correspondent","Name.interviewee","Name.compiler","Coverage.geographic","Name.sponsor","Rights.servicesContact","Rights.rightsHolderName","Name.repository","Name.photographer","Name.interviewer","Language","Alt ID.local","Format.dimensions","Date.normalized","Description.note","Relation.isPartOf","Title","Date.creation","Format.extent","Description.caption","Alt ID.issueNo","Description.contents","AltTitle.uniform","Description.latitude","Description.longitude","Alt ID.oclc","Finding Aid URL","Description.abstract","Opac url","AltTitle.other","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Bunche (Ralph J.) Papers.  Collection 2051","ark:/21198/zz0017k0k1","ark:/21198/zz0017k0jh","2","Completed","Page","bunche/masters/21198-zz0017k0k1_505779_master.tif","1","","","text","","","","","fliers (printed matter)","Regents of the University of California, UCLA Library.","African Americans--Civil rights|~|Race discrimination--Washington (D.C.)|~|Boycotts--Washington (D.C.)","Hechts (Department store)","","","","","","","National Negro Congress (U.S.). Washington Youth Committee","","","University of California, Los Angeles. Library. Department of Special Collections","","","eng","clusc_1_1_00017147a|~|uclamss_2051_b43_f45_6-1","22 x 14 cm.","1936-06-11","Digitization took place as part of the California Cultures Project.|~|Includes hand-written notes about the speakers and topics","http://calcultures.cdlib.org","Mass Meeting for United Action Against the Hecht Store : Dr. Ralph J. Bunche, presiding [recto]","June 11, 1936","2 p.","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017k0k1",""
"Bunche (Ralph J.) Papers.  Collection 2051","ark:/21198/zz0017k0mj","ark:/21198/zz0017k0jh","2","Completed","Page","bunche/masters/21198-zz0017k0mj_505782_master.tif","2","","","text","","","","","fliers (printed matter)","Regents of the University of California, UCLA Library.","African Americans--Civil rights|~|Race discrimination--Washington (D.C.)|~|Boycotts--Washington (D.C.)","Hechts (Department store)","","","","","","","National Negro Congress (U.S.). Washington Youth Committee","","","University of California, Los Angeles. Library. Department of Special Collections","","","eng","clusc_1_1_00017148a|~|uclamss_2051_b43_f45_6-2","22 x 14 cm.","1936-06-11","Digitization took place as part of the California Cultures Project.|~|Hand-written comments about points to make in speech","http://calcultures.cdlib.org","Mass Meeting for United Action Against the Hecht Store : Dr. Ralph J. Bunche, presiding [verso]","June 11, 1936","2 p.","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017k0mj",""
