"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Language","Rights","Type.typeOfResource","Subject","Name.composer","Alt ID.local","Title","AltTitle.other","Description.note","Date.creation","Format.extent","Alt ID.oclc","Date.normalized","Format.medium","Description.contents","Format.dimensions","Description.binding","Opac url","Relation.isPartOf","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Music Library Manuscripts","ark:/21198/zz002jzm83","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_032.tif","33","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_032","musicmss_Ms_19_2_032","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzm83",""
"Music Library Manuscripts","ark:/21198/zz002jzm9m","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_033.tif","34","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_033","musicmss_Ms_19_2_033","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzm9m",""
"Music Library Manuscripts","ark:/21198/zz002jzmb4","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_034.tif","35","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_034","musicmss_Ms_19_2_034","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzmb4",""
"Music Library Manuscripts","ark:/21198/zz002jzmcn","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_035.tif","36","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_035","musicmss_Ms_19_2_035","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzmcn",""
"Music Library Manuscripts","ark:/21198/zz002jzmd5","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_036.tif","37","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_036","musicmss_Ms_19_2_036","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzmd5",""
"Music Library Manuscripts","ark:/21198/zz002jzmfp","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_037.tif","38","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_037","musicmss_Ms_19_2_037","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzmfp",""
"Music Library Manuscripts","ark:/21198/zz002jzmg6","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_038.tif","39","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_038","musicmss_Ms_19_2_038","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzmg6",""
"Music Library Manuscripts","ark:/21198/zz002jzmhq","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_039.tif","40","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_039","musicmss_Ms_19_2_039","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzmhq",""
"Music Library Manuscripts","ark:/21198/zz002jzmj7","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_040.tif","41","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_040","musicmss_Ms_19_2_040","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzmj7",""
"Music Library Manuscripts","ark:/21198/zz002jzmkr","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_041.tif","42","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_041","musicmss_Ms_19_2_041","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzmkr",""
"Music Library Manuscripts","ark:/21198/zz002jzmm8","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_042.tif","43","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_042","musicmss_Ms_19_2_042","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzmm8",""
"Music Library Manuscripts","ark:/21198/zz002jzmns","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_043.tif","44","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_043","musicmss_Ms_19_2_043","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzmns",""
"Music Library Manuscripts","ark:/21198/zz002jzmp9","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_044.tif","45","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_044","musicmss_Ms_19_2_044","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzmp9",""
"Music Library Manuscripts","ark:/21198/zz002jzmqt","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_045.tif","46","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_045","musicmss_Ms_19_2_045","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzmqt",""
"Music Library Manuscripts","ark:/21198/zz002jzmrb","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_046.tif","47","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_046","musicmss_Ms_19_2_046","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzmrb",""
"Music Library Manuscripts","ark:/21198/zz002jzmsv","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_047.tif","48","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_047","musicmss_Ms_19_2_047","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzmsv",""
"Music Library Manuscripts","ark:/21198/zz002jzmtc","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_048.tif","49","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_048","musicmss_Ms_19_2_048","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzmtc",""
"Music Library Manuscripts","ark:/21198/zz002jzmvw","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_049.tif","50","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_049","musicmss_Ms_19_2_049","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzmvw",""
