"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Language","Rights","Type.typeOfResource","Subject","Name.composer","Alt ID.local","Title","AltTitle.other","Description.note","Date.creation","Format.extent","Alt ID.oclc","Date.normalized","Format.medium","Description.contents","Format.dimensions","Description.binding","Opac url","Relation.isPartOf","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Music Library Manuscripts","ark:/21198/zz002k0brb","ark:/21198/zz002jkc0n","5","Imported","Page","muslibmss/image/Ms_43/musicmss_ms_43_001.tif","1","","","","","","","","copyrighted","","Y","","","","musicmss_ms_43_001","musicmss_ms_43_001","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k0brb",""
"Music Library Manuscripts","ark:/21198/zz002k0bvw","ark:/21198/zz002jkc0n","5","Imported","Page","muslibmss/image/Ms_43/musicmss_ms_43_002.tif","2","","","","","","","","copyrighted","","Y","","","","musicmss_ms_43_002","musicmss_ms_43_002","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k0bvw",""
"Music Library Manuscripts","ark:/21198/zz002k0bxx","ark:/21198/zz002jkc0n","5","Imported","Page","muslibmss/image/Ms_43/musicmss_ms_43_003.tif","3","","","","","","","","copyrighted","","Y","","","","musicmss_ms_43_003","musicmss_ms_43_003","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k0bxx",""
"Music Library Manuscripts","ark:/21198/zz002k0c0f","ark:/21198/zz002jkc0n","5","Imported","Page","muslibmss/image/Ms_43/musicmss_ms_43_004.tif","4","","","","","","","","copyrighted","","Y","","","","musicmss_ms_43_004","musicmss_ms_43_004","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k0c0f",""
"Music Library Manuscripts","ark:/21198/zz002k0c2g","ark:/21198/zz002jkc0n","5","Imported","Page","muslibmss/image/Ms_43/musicmss_ms_43_005.tif","5","","","","","","","","copyrighted","","Y","","","","musicmss_ms_43_005","musicmss_ms_43_005","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k0c2g",""
"Music Library Manuscripts","ark:/21198/zz002k0c4h","ark:/21198/zz002jkc0n","5","Imported","Page","muslibmss/image/Ms_43/musicmss_ms_43_006.tif","6","","","","","","","","copyrighted","","Y","","","","musicmss_ms_43_006","musicmss_ms_43_006","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k0c4h",""
"Music Library Manuscripts","ark:/21198/zz002k0c72","ark:/21198/zz002jkc0n","5","Imported","Page","muslibmss/image/Ms_43/musicmss_ms_43_007.tif","7","","","","","","","","copyrighted","","Y","","","","musicmss_ms_43_007","musicmss_ms_43_007","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k0c72",""
"Music Library Manuscripts","ark:/21198/zz002k0c93","ark:/21198/zz002jkc0n","5","Imported","Page","muslibmss/image/Ms_43/musicmss_ms_43_008.tif","8","","","","","","","","copyrighted","","Y","","","","musicmss_ms_43_008","musicmss_ms_43_008","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k0c93",""
"Music Library Manuscripts","ark:/21198/zz002k0cc4","ark:/21198/zz002jkc0n","5","Imported","Page","muslibmss/image/Ms_43/musicmss_ms_43_009.tif","9","","","","","","","","copyrighted","","Y","","","","musicmss_ms_43_009","musicmss_ms_43_009","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k0cc4",""
"Music Library Manuscripts","ark:/21198/zz002k0cf5","ark:/21198/zz002jkc0n","5","Imported","Page","muslibmss/image/Ms_43/musicmss_ms_43_010.tif","10","","","","","","","","copyrighted","","Y","","","","musicmss_ms_43_010","musicmss_ms_43_010","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k0cf5",""
