"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Rights.copyrightStatus","viewingHint","Text direction","Visibility","IIIF Access URL","IIIF Range","Rights.publicationStatus","Language","Subject.conceptTopic","Type.genre","Name.repository","Title","Format.extent","Date.normalized","Date.creation","Description.note","AltTitle.uniform","OPAC URL","Description.abstract","AltTitle.other","Place of origin","Publisher.publisherName","Relation.isPartOf","IIIF Manifest URL"
"Protesta Humana, La, Collection","ark:/21198/zz0025hqmb","","2","Completed","Collection","","","","","text","pd","","","","","","published","ita|~|spa","Anarchism $z Argentina $v Periodicals|~|Working class $z Argentina $v Periodicals","newspapers","University of California, Los Angeles. $b Library. $b Dept. of Special Collections","Protesta Humana (La) : periódico anarquista","volumes : illustrations","1897/1902","1, no. 1 (13 jun. 1897) no. 20 (26 dic 1897); 2, no.21 (21 ene 1898) - no.50 (18 dic 1891); 3, no.51 (1 ene 1898) - no.85 (27 may 1900); 4, no.86 (10 jun 1900) no. 98 (10 nov 1900); no.100 (24 nov 1900); 5 no.102 (8 dic 1900) - no.119 (20 abr 1901); no.128 (22 jun 1901) - no.129 (29 jun 1901); no. 139 (7 sep 1901); no.141 (28 sep 1901); 6, no.174 (17 may 19020; no.184 (26 jul 1902); no.188 (23 ago 1902).","Some issues in Italian.|~|Subtitle varies.|~|Title varies: La protesta","Protesta humana, (La) (Buenos Aires)","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6841251","Anarchist newspaper published in Buenos Aires during the late nineteenth century. [Periódico anarquista publicado en Buenos Aires durante el siglo XIX.]","Periódico anarquista|~|Protesta","Buenos Aires, Argentina","publisher not identified","Collection of Newspapers Published by Latin American Labor Movements (Collection 1425).|~|Latin American Newspapers: Socialist, Anarchist, Communist.","https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0025hqmb"
"Protesta Humana, La, Collection","ark:/21198/zz0025hr11","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 1, número 1. 13 junio 1897","4 pages","1897-06-13","13 junio 1897","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025hr11/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025htvd","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 1, número 2. 27 junio 1897","4 pages","1897-06-27","27 junio 1897","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025htvd/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025hv1g","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 1, número 3. 15 julio 1897","4 pages","1897-07-15","15 julio 1897","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025hv1g/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025hv62","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 1, número 4. 1 agosto 1897","4 pages","1897-08-01","1 agosto 1897","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025hv62/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025hvcn","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 1, número 5. 19 agosto 1897","4 pages","1897-08-19","19 agosto 1897","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025hvcn/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025hvj7","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 1, número 6. 2 septiembre 1897","4 pages","1897-09-02","2 septiembre 1897","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025hvj7/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025hw8k","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 1, número 7. 15 septiembre 1897","4 pages","1897-09-15","15 septiembre 1897","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025hw8k/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025hw93","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 1, número 8. 1 octubre 1897","4 pages","1897-10-01","1 octubre 1897","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025hw93/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025hwbm","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 1, número 9. 10 octubre 1897","4 pages","1897-10-10","10 octubre 1897","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025hwbm/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025hwc4","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 1, número 10. 17 octubre 1897","4 pages","1897-10-17","17 octubre 1897","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025hwc4/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025hwdn","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 1, número 11. 24 octubre 1897","4 pages","1897-10-24","24 octubre 1897","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025hwdn/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025hwf5","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 1, número 12. 31 octubre 1897","4 pages","1897-10-31","31 octubre 1897","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025hwf5/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025hxg5","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 1, número 13. 7 noviembre 1897","4 pages","1897-11-07","7 noviembre 1897","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025hxg5/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025hxhp","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 1, número 14. 14 noviembre 1897","4 pages","1897-11-14","14 noviembre 1897","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025hxhp/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025hxj6","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 1, número 15. 21 noviembre 1897","4 pages","1897-11-21","21 noviembre 1897","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025hxj6/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025hxkq","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 1, número 16. 28 noviembre 1897","4 pages","1897-11-28","28 noviembre 1897","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025hxkq/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025hxm7","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 1, número 17. 5 diciembre 1897","4 pages","1897-12-05","5 diciembre 1897","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025hxm7/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025hxnr","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 1, número 18. 12 diciembre 1897","4 pages","1897-12-12","12 diciembre 1897","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025hxnr/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025j2wr","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 1, número 19. 19 diciembre 1897","4 pages","1897-12-19","19 diciembre 1897","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025j2wr/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025j2x8","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 1, número 20. 26 diciembre 1897","4 pages","1897-12-26","26 diciembre 1897","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025j2x8/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025j2zs","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 2, número 21. 2 enero 1898","4 pages","1898-01-02","2 enero 1898","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025j2zs/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025j30s","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 2, número 22. 9 enero, 1898","4 pages","1898-01-09","9 enero 1898","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025j30s/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025j319","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 2, número 23. 16 enero 1898","4 pages","1898-01-16","16 enero 1898","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025j319/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025j32t","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 2, número 24. 23 enero 1898","4 pages","1898-01-23","23 enero 1898","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025j32t/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025jb47","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 2, número 25. 30 enero 1898","4 pages","1898-01-30","30 enero 1898","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025jb47/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025jb5r","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 2, número 26. 6 febrero 1898","4 pages","1898-02-06","6 febrero 1898","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025jb5r/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025jb68","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 2, número 27. 13 febrero 1898","4 pages","1898-02-13","13 febrero 1898","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025jb68/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025jb7s","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 2, número 28. 20 febrero, 1898","4 pages","1898-02-20","20 febrero 1898","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025jb7s/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025jb89","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 2, número 29. 27 febrero 1898","4 pages","1898-02-27","27 febrero 1898","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025jb89/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025jb9t","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 2, número 30. 6 marzo 1898","4 pages","1898-03-06","6 marzo 1898","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025jb9t/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025k0g1","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 2, número 31. 18 marzo 1898","4 pages","1898-03-18","18 marzo 1898","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k0g1/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025k0hj","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 2, número 32. 1 abril 1898","4 pages","1898-04-01","1 abril 1898","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k0hj/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025k0j2","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 2, número 33. 17 abril 1898","4 pages","1898-04-17","17 abril 1898","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k0j2/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025k0kk","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 2, número 34. 1 mayo 1898","4 pages","1898-05-01","1 mayo 1898","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k0kk/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025k0m3","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 2, número 35. 15 mayo 1898","4 pages","1898-05-15","15 mayo 1898","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k0m3/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025k0nm","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 2, número 36. 29 mayo 1898","4 pages","1898-05-29","29 mayo 1898","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k0nm/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025k8vk","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 2, número 37. 12 junio, 1898","4 pages","1898-06-12","12 junio 1898","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k8vk/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025k8w3","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 2, número 38. 26 junio 1898","4 pages","1898-06-26","26 junio 1898","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k8w3/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025k8xm","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 2, número 39. 10 julio 1898","4 pages","1898-07-10","10 julio 1898","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k8xm/manifest"
