"Project Name","Parent ARK","Item ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Rights.publicationStatus","Language","Subject.conceptTopic","Type.genre","Title","Date.creation","Date.normalized","AltTitle.uniform","OPAC URL","Description.note","Place of origin","Relation.isPartOf","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Obrero Panadero, El","ark:/21198/zz0028tj5g","ark:/21198/zz0028tj60","2","Completed","Page","obrer/image/21198-zz0028tj60_1947168_master.tif","1","","","","","","","","pd","published","","","","page 1","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tj60",""
"Obrero Panadero, El","ark:/21198/zz0028tj5g","ark:/21198/zz0028tj7h","2","Completed","Page","obrer/image/21198-zz0028tj7h_1947171_master.tif","2","","","","","","","","pd","published","","","","page 2","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tj7h",""
"Obrero Panadero, El","ark:/21198/zz0028tj5g","ark:/21198/zz0028tj81","2","Completed","Page","obrer/image/21198-zz0028tj81_1947174_master.tif","3","","","","","","","","pd","published","","","","page 3","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tj81",""
"Obrero Panadero, El","ark:/21198/zz0028tj5g","ark:/21198/zz0028tj9j","2","Completed","Page","obrer/image/21198-zz0028tj9j_1947177_master.tif","4","","","","","","","","pd","published","","","","page 4","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tj9j",""
