"Project Name","Parent ARK","Item ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Rights.publicationStatus","Language","Subject.conceptTopic","Type.genre","Title","Date.creation","Date.normalized","AltTitle.uniform","OPAC URL","Description.note","Place of origin","Relation.isPartOf","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Obrero Panadero, El","ark:/21198/zz0028tjp7","ark:/21198/zz0028tjqr","2","Completed","Page","obrer/image/21198-zz0028tjqr_1947204_master.tif","1","","","","","","","","pd","published","","","","page 1","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tjqr",""
"Obrero Panadero, El","ark:/21198/zz0028tjp7","ark:/21198/zz0028tjr8","2","Completed","Page","obrer/image/21198-zz0028tjr8_1947207_master.tif","2","","","","","","","","pd","published","","","","page 2","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tjr8",""
"Obrero Panadero, El","ark:/21198/zz0028tjp7","ark:/21198/zz0028tjss","2","Completed","Page","obrer/image/21198-zz0028tjss_1947210_master.tif","3","","","","","","","","pd","published","","","","page 3","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tjss",""
"Obrero Panadero, El","ark:/21198/zz0028tjp7","ark:/21198/zz0028tjt9","2","Completed","Page","obrer/image/21198-zz0028tjt9_1947213_master.tif","4","","","","","","","","pd","published","","","","page 4","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tjt9",""
