"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Rights.publicationStatus","Language","Subject.conceptTopic","Type.genre","Title","Date.creation","Date.normalized","AltTitle.uniform","Opac url","Description.note","Place of origin","Relation.isPartOf","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Obrero Panadero, El","ark:/21198/zz0028tjj5","ark:/21198/zz0028tjhn","2","Completed","Page","obrer/image/21198-zz0028tjj5_1947192_master.tif","1","","","","","","","","pd","published","","","","page 1","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tjj5",""
"Obrero Panadero, El","ark:/21198/zz0028tjkp","ark:/21198/zz0028tjhn","2","Completed","Page","obrer/image/21198-zz0028tjkp_1947195_master.tif","2","","","","","","","","pd","published","","","","page 2","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tjkp",""
"Obrero Panadero, El","ark:/21198/zz0028tjm6","ark:/21198/zz0028tjhn","2","Completed","Page","obrer/image/21198-zz0028tjm6_1947198_master.tif","3","","","","","","","","pd","published","","","","page 3","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tjm6",""
"Obrero Panadero, El","ark:/21198/zz0028tjnq","ark:/21198/zz0028tjhn","2","Completed","Page","obrer/image/21198-zz0028tjnq_1947201_master.tif","4","","","","","","","","pd","published","","","","page 4","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tjnq",""
