Object Type,File Name,Title,Item Sequence,Parent ARK,Item ARK,local ID,Publisher,Publisher.place,Date.issued (single),Language | code,TypeOfResource,Genre,PhysicalDescription.extent,Institution/Repository,Abstract,Note.contents,Rights.copyrightStatus,Rights.publicationStatus,Rights.servicesContact,Subject.topic,Bucketeer State,IIIF Access URL
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_exhibits_v001_023.tif,Page 23,23,ark:/21198/z1t1743b,ark:/21198/z1rj6jvb,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rj6jvb
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_exhibits_v001_024.tif,Page 24,24,ark:/21198/z1t1743b,ark:/21198/z1ms5t5g,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ms5t5g
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_exhibits_v001_025.tif,Page 25,25,ark:/21198/z1t1743b,ark:/21198/z1h152b3,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h152b3
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_exhibits_v001_026.tif,Page 26,26,ark:/21198/z1t1743b,ark:/21198/z1c849kx,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c849kx
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_exhibits_v001_027.tif,Page 27,27,ark:/21198/z1t1743b,ark:/21198/z17h3jwn,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17h3jwn
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_exhibits_v001_028.tif,Page 28,28,ark:/21198/z1t1743b,ark:/21198/z13r2t77,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13r2t77
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_exhibits_v001_029.tif,Page 29,29,ark:/21198/z1t1743b,ark:/21198/z1030rts,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1030rts
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_exhibits_v001_030.tif,Page 30,30,ark:/21198/z1t1743b,ark:/21198/z1vb08f7,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vb08f7
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_exhibits_v001_031.tif,Page 31,31,ark:/21198/z1t1743b,ark:/21198/z1qj9hn2,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qj9hn2
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_exhibits_v001_032.tif,Page 32,32,ark:/21198/z1t1743b,ark:/21198/z1ks8rww,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks8rww
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_exhibits_v001_033.tif,Page 33,33,ark:/21198/z1t1743b,ark:/21198/z1g1813c,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g1813c
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_exhibits_v001_034.tif,Page 34,34,ark:/21198/z1t1743b,ark:/21198/z1b878fj,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b878fj
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_exhibits_v001_035.tif,Page 35,35,ark:/21198/z1t1743b,ark:/21198/z16h6hsq,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16h6hsq
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_exhibits_v001_036.tif,Page 36,36,ark:/21198/z1t1743b,ark:/21198/z12v4gdt,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12v4gdt
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_exhibits_v001_037.tif,Page 37,37,ark:/21198/z1t1743b,ark:/21198/z1z3401k,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z3401k
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_exhibits_v001_038.tif,Page 38,38,ark:/21198/z1t1743b,ark:/21198/z1tb378d,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tb378d
