Object Type,File Name,Title,Item Sequence,Parent ARK,Item ARK,local ID,Publisher,Publisher.place,Date.issued (single),Language | code,TypeOfResource,Genre,PhysicalDescription.extent,Institution/Repository,Abstract,Note.contents,Rights.copyrightStatus,Rights.publicationStatus,Rights.servicesContact,Subject.topic,Bucketeer State,IIIF Access URL
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_110.tif,Page 110,110,ark:/21198/z1rv2n1d,ark:/21198/z1hd9vdt,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hd9vdt
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_111.tif,Page 111,111,ark:/21198/z1rv2n1d,ark:/21198/z1cn93n1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cn93n1
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_112.tif,Page 112,112,ark:/21198/z1rv2n1d,ark:/21198/z17w8bwv,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17w8bwv
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_113.tif,Page 113,113,ark:/21198/z1rv2n1d,ark:/21198/z14769mm,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14769mm
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_114.tif,Page 114,114,ark:/21198/z1rv2n1d,ark:/21198/z10g5jvf,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10g5jvf
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_115.tif,Page 115,115,ark:/21198/z1rv2n1d,ark:/21198/z1vq52cj,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vq52cj
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_116.tif,Page 116,116,ark:/21198/z1rv2n1d,ark:/21198/z1qz49p8,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qz49p8
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_117.tif,Page 117,117,ark:/21198/z1rv2n1d,ark:/21198/z1m63k15,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m63k15
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_118.tif,Page 118,118,ark:/21198/z1rv2n1d,ark:/21198/z1gf2t80,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf2t80
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_119.tif,Page 119,119,ark:/21198/z1rv2n1d,ark:/21198/z1bp22jn,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bp22jn
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_120.tif,Page 120,120,ark:/21198/z1rv2n1d,ark:/21198/z1710152,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1710152
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_121.tif,Page 121,121,ark:/21198/z1rv2n1d,ark:/21198/z13798db,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13798db
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_122.tif,Page 122,122,ark:/21198/z1rv2n1d,ark:/21198/z1zg8rxn,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zg8rxn
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_123.tif,Page 123,123,ark:/21198/z1rv2n1d,ark:/21198/z1tq818m,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tq818m
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_124.tif,Page 124,124,ark:/21198/z1rv2n1d,ark:/21198/z1pz78jw,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pz78jw
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_125.tif,Page 125,125,ark:/21198/z1rv2n1d,ark:/21198/z1k66hvx,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k66hvx
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_126.tif,Page 126,126,ark:/21198/z1rv2n1d,ark:/21198/z1ff5s35,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ff5s35
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_127.tif,Page 127,127,ark:/21198/z1rv2n1d,ark:/21198/z19s3qr9,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19s3qr9
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_128.tif,Page 128,128,ark:/21198/z1rv2n1d,ark:/21198/z161301p,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz161301p
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_129.tif,Page 129,129,ark:/21198/z1rv2n1d,ark:/21198/z128279z,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz128279z
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_130.tif,Page 130,130,ark:/21198/z1rv2n1d,ark:/21198/z1xh1qw5,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xh1qw5
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_131.tif,Page 131,131,ark:/21198/z1rv2n1d,ark:/21198/z1sr1057,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sr1057
