"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Rights.copyrightStatus","Subject","Type.genre","Name.repository","Author","Name.attributedTo","Name.translator","Name.commentator","Name.scribe","Name.creator","Name.compiler","Name.annotator","Language.language","Language.script","Name.calligrapher","Alternate Identifier.local","Title","Relation.rectoVerso","Source","Date.creation","Format.dimensions","Relation.textDirection","Alternate Title.other","Description.abstract","Description.microfilm","Description.citation","Alternate Title.scriptArab","Description.physical","Date.normalized","Description.note","Format.extent","Relation","Description.stamp","Relation.citation","Alternate Title.spine","Description.marks","Description.colophon","thumbnailImageName","masterImageName","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014fc74","ark:/21198/zz000srp91","7","Completed","Page","minasian/masters/0457/0457_0009.tif","9","","","pd","","","","","","","","","","","","","","","0457/0457_0009","page 8","r","","","","","","","","","","","","","","","","","","","","0457/0457_0009.jpg","0457/0457_0009.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014fc74",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014fc8n","ark:/21198/zz000srp91","7","Completed","Page","minasian/masters/0457/0457_0010.tif","10","","","pd","","","","","","","","","","","","","","","0457/0457_0010","page 9","v","","","","","","","","","","","","","","","","","","","","0457/0457_0010.jpg","0457/0457_0010.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014fc8n",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014fc95","ark:/21198/zz000srp91","7","Completed","Page","minasian/masters/0457/0457_0011.tif","11","","","pd","","","","","","","","","","","","","","","0457/0457_0011","page 10","r","","","","","","","","","","","","","","","","","","","","0457/0457_0011.jpg","0457/0457_0011.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014fc95",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014fcbp","ark:/21198/zz000srp91","7","Completed","Page","minasian/masters/0457/0457_0012.tif","12","","","pd","","","","","","","","","","","","","","","0457/0457_0012","page 11","v","","","","","","","","","","","","","","","","","","","","0457/0457_0012.jpg","0457/0457_0012.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014fcbp",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014fcc6","ark:/21198/zz000srp91","7","Completed","Page","minasian/masters/0457/0457_0013.tif","13","","","pd","","","","","","","","","","","","","","","0457/0457_0013","page 12","r","","","","","","","","","","","","","","","","","","","","0457/0457_0013.jpg","0457/0457_0013.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014fcc6",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014fcdq","ark:/21198/zz000srp91","7","Completed","Page","minasian/masters/0457/0457_0014.tif","14","","","pd","","","","","","","","","","","","","","","0457/0457_0014","page 13","v","","","","","","","","","","","","","","","","","","","","0457/0457_0014.jpg","0457/0457_0014.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014fcdq",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014fcf7","ark:/21198/zz000srp91","7","Completed","Page","minasian/masters/0457/0457_0015.tif","15","","","pd","","","","","","","","","","","","","","","0457/0457_0015","page 14","r","","","","","","","","","","","","","","","","","","","","0457/0457_0015.jpg","0457/0457_0015.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014fcf7",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014fcgr","ark:/21198/zz000srp91","7","Completed","Page","minasian/masters/0457/0457_0016.tif","16","","","pd","","","","","","","","","","","","","","","0457/0457_0016","page 15","v","","","","","","","","","","","","","","","","","","","","0457/0457_0016.jpg","0457/0457_0016.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014fcgr",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014fch8","ark:/21198/zz000srp91","7","Completed","Page","minasian/masters/0457/0457_0017.tif","17","","","pd","","","","","","","","","","","","","","","0457/0457_0017","page 16","r","","","","","","","","","","","","","","","","","","","","0457/0457_0017.jpg","0457/0457_0017.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014fch8",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014fcjs","ark:/21198/zz000srp91","7","Completed","Page","minasian/masters/0457/0457_0018.tif","18","","","pd","","","","","","","","","","","","","","","0457/0457_0018","page 17","v","","","","","","","","","","","","","","","","","","","","0457/0457_0018.jpg","0457/0457_0018.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014fcjs",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014fck9","ark:/21198/zz000srp91","7","Completed","Page","minasian/masters/0457/0457_0019.tif","19","","","pd","","","","","","","","","","","","","","","0457/0457_0019","page 18","r","","","","","","","","","","","","","","","","","","","","0457/0457_0019.jpg","0457/0457_0019.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014fck9",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014fcmt","ark:/21198/zz000srp91","7","Completed","Page","minasian/masters/0457/0457_0020.tif","20","","","pd","","","","","","","","","","","","","","","0457/0457_0020","page 19","v","","","","","","","","","","","","","","","","","","","","0457/0457_0020.jpg","0457/0457_0020.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014fcmt",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014fcnb","ark:/21198/zz000srp91","7","Completed","Page","minasian/masters/0457/0457_0021.tif","21","","","pd","","","","","","","","","","","","","","","0457/0457_0021","page 20","r","","","","","","","","","","","","","","","","","","","","0457/0457_0021.jpg","0457/0457_0021.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014fcnb",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014fcpv","ark:/21198/zz000srp91","7","Completed","Page","minasian/masters/0457/0457_0022.tif","22","","","pd","","","","","","","","","","","","","","","0457/0457_0022","blank page","v","","","","","","","","","","","","","","","","","","","","0457/0457_0022.jpg","0457/0457_0022.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014fcpv",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014fcqc","ark:/21198/zz000srp91","7","Completed","Page","minasian/masters/0457/0457_0023.tif","23","","","pd","","","","","","","","","","","","","","","0457/0457_0023","page 21","r","","","","","","","","","","","","","","","","","","","","0457/0457_0023.jpg","0457/0457_0023.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014fcqc",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014n2xt","ark:/21198/zz000srw9x","7","Completed","Page","minasian/masters/0551/0551_0001.tif","1","","","pd","","","","","","","","","","","","","","","0551/0551_0001","cover page","r","","","","","","","","","","","","","","","","","","","","0551/0551_0001.jpg","0551/0551_0001.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014n2xt",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014n2zb","ark:/21198/zz000srw9x","7","Completed","Page","minasian/masters/0551/0551_0002.tif","2","","","pd","","","","","","","","","","","","","","","0551/0551_0002","blank page","v","","","","","","","","","","","","","","","","","","","","0551/0551_0002.jpg","0551/0551_0002.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014n2zb",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014n30b","ark:/21198/zz000srw9x","7","Completed","Page","minasian/masters/0551/0551_0003.tif","3","","","pd","","","","","","","","","","","","","","","0551/0551_0003","page 1","r","","","","","","","","","","","","","","","","","","","","0551/0551_0003.jpg","0551/0551_0003.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014n30b",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014n31v","ark:/21198/zz000srw9x","7","Completed","Page","minasian/masters/0551/0551_0004.tif","4","","","pd","","","","","","","","","","","","","","","0551/0551_0004","page 2","v","","","","","","","","","","","","","","","","","","","","0551/0551_0004.jpg","0551/0551_0004.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014n31v",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014n32c","ark:/21198/zz000srw9x","7","Completed","Page","minasian/masters/0551/0551_0005.tif","5","","","pd","","","","","","","","","","","","","","","0551/0551_0005","page 3","r","","","","","","","","","","","","","","","","","","","","0551/0551_0005.jpg","0551/0551_0005.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014n32c",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014n33w","ark:/21198/zz000srw9x","7","Completed","Page","minasian/masters/0551/0551_0006.tif","6","","","pd","","","","","","","","","","","","","","","0551/0551_0006","page 4","v","","","","","","","","","","","","","","","","","","","","0551/0551_0006.jpg","0551/0551_0006.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014n33w",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014n34d","ark:/21198/zz000srw9x","7","Completed","Page","minasian/masters/0551/0551_0007.tif","7","","","pd","","","","","","","","","","","","","","","0551/0551_0007","page 5","r","","","","","","","","","","","","","","","","","","","","0551/0551_0007.jpg","0551/0551_0007.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014n34d",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014n35x","ark:/21198/zz000srw9x","7","Completed","Page","minasian/masters/0551/0551_0008.tif","8","","","pd","","","","","","","","","","","","","","","0551/0551_0008","page 6","v","","","","","","","","","","","","","","","","","","","","0551/0551_0008.jpg","0551/0551_0008.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014n35x",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014n36f","ark:/21198/zz000srw9x","7","Completed","Page","minasian/masters/0551/0551_0009.tif","9","","","pd","","","","","","","","","","","","","","","0551/0551_0009","page 7","r","","","","","","","","","","","","","","","","","","","","0551/0551_0009.jpg","0551/0551_0009.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014n36f",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014n37z","ark:/21198/zz000srw9x","7","Completed","Page","minasian/masters/0551/0551_0010.tif","10","","","pd","","","","","","","","","","","","","","","0551/0551_0010","page 8","v","","","","","","","","","","","","","","","","","","","","0551/0551_0010.jpg","0551/0551_0010.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014n37z",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014n38g","ark:/21198/zz000srw9x","7","Completed","Page","minasian/masters/0551/0551_0011.tif","11","","","pd","","","","","","","","","","","","","","","0551/0551_0011","page 9","r","","","","","","","","","","","","","","","","","","","","0551/0551_0011.jpg","0551/0551_0011.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014n38g",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014n390","ark:/21198/zz000srw9x","7","Completed","Page","minasian/masters/0551/0551_0012.tif","12","","","pd","","","","","","","","","","","","","","","0551/0551_0012","page 10","v","","","","","","","","","","","","","","","","","","","","0551/0551_0012.jpg","0551/0551_0012.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014n390",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014n3bh","ark:/21198/zz000srw9x","7","Completed","Page","minasian/masters/0551/0551_0013.tif","13","","","pd","","","","","","","","","","","","","","","0551/0551_0013","page 11","r","","","","","","","","","","","","","","","","","","","","0551/0551_0013.jpg","0551/0551_0013.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014n3bh",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014n3c1","ark:/21198/zz000srw9x","7","Completed","Page","minasian/masters/0551/0551_0014.tif","14","","","pd","","","","","","","","","","","","","","","0551/0551_0014","page 12","v","","","","","","","","","","","","","","","","","","","","0551/0551_0014.jpg","0551/0551_0014.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014n3c1",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014n3dj","ark:/21198/zz000srw9x","7","Completed","Page","minasian/masters/0551/0551_0015.tif","15","","","pd","","","","","","","","","","","","","","","0551/0551_0015","page 13","r","","","","","","","","","","","","","","","","","","","","0551/0551_0015.jpg","0551/0551_0015.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014n3dj",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014n3f2","ark:/21198/zz000srw9x","7","Completed","Page","minasian/masters/0551/0551_0016.tif","16","","","pd","","","","","","","","","","","","","","","0551/0551_0016","page 14","v","","","","","","","","","","","","","","","","","","","","0551/0551_0016.jpg","0551/0551_0016.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014n3f2",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014n3gk","ark:/21198/zz000srw9x","7","Completed","Page","minasian/masters/0551/0551_0017.tif","17","","","pd","","","","","","","","","","","","","","","0551/0551_0017","cover page","r","","","","","","","","","","","","","","","","","","","","0551/0551_0017.jpg","0551/0551_0017.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014n3gk",""
