"Project Name","Parent ARK","Item ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Language","Rights.publicationStatus","Subject.conceptTopic","Type.genre","Title","Date.normalized","Date.creation","AltTitle.uniform","Alt ID.OPAC","Publisher.placeOfOrigin","Format.extent","Relation.isPartOf","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Perseguido, El","ark:/21198/zz0028v5hs","ark:/21198/zz0028v5j9","2","Completed","Page","perse/image/21198-zz0028v5j9_1948513_master.tif","1","","","","","","","","pd","","published","","","page 1","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v5j9",""
"Perseguido, El","ark:/21198/zz0028v5hs","ark:/21198/zz0028v5kt","2","Completed","Page","perse/image/21198-zz0028v5kt_1948516_master.tif","2","","","","","","","","pd","","published","","","page 2","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v5kt",""
"Perseguido, El","ark:/21198/zz0028v5hs","ark:/21198/zz0028v5mb","2","Completed","Page","perse/image/21198-zz0028v5mb_1948520_master.tif","3","","","","","","","","pd","","published","","","page 3","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v5mb",""
"Perseguido, El","ark:/21198/zz0028v5hs","ark:/21198/zz0028v5nv","2","Completed","Page","perse/image/21198-zz0028v5nv_1948525_master.tif","4","","","","","","","","pd","","published","","","page 4","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v5nv",""
