"Project Name","Parent ARK","Item ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Language","Rights.publicationStatus","Subject.conceptTopic","Type.genre","Title","Date.normalized","Date.creation","AltTitle.uniform","Opac url","Publisher.placeOfOrigin","Format.extent","Relation.isPartOf","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Perseguido, El","ark:/21198/zz0028tzxn","ark:/21198/zz0028tzz5","2","Completed","Page","perse/image/21198-zz0028tzz5_1948090_master.tif","1","","","","","","","","pd","","published","","","page 1","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tzz5",""
"Perseguido, El","ark:/21198/zz0028tzxn","ark:/21198/zz0028v00m","2","Completed","Page","perse/image/21198-zz0028v00m_1948093_master.tif","2","","","","","","","","pd","","published","","","page 2","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v00m",""
"Perseguido, El","ark:/21198/zz0028tzxn","ark:/21198/zz0028v014","2","Completed","Page","perse/image/21198-zz0028v014_1948096_master.tif","3","","","","","","","","pd","","published","","","page 3","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v014",""
"Perseguido, El","ark:/21198/zz0028tzxn","ark:/21198/zz0028v02n","2","Completed","Page","perse/image/21198-zz0028v02n_1948099_master.tif","4","","","","","","","","pd","","published","","","page 4","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v02n",""
