"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","viewingHint","Visibility","Delete in Title","Type.typeOfResource","Rights.servicesContact","Name.subject","Name.creator","Description.note","Alt ID.local","Opac url","Title","AltTitle.other","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Brown (Bob) Papers. Collection 723","ark:/21198/z1tx500j","ark:/21198/zz0019qh87","2","Completed","Page","brown/masters/21198-zz0019qh87_734112_master.tif","1","","","","","text","","","","","","","front","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tx500j",""
"Brown (Bob) Papers. Collection 723","ark:/21198/z1q54767","ark:/21198/zz0019qh87","2","Completed","Page","brown/masters/21198-zz0019qh87_734121_master.tif","2","","","","","text","","","","","","","back","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q54767",""
