"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","viewingHint","Visibility","Delete in Title","Type.typeOfResource","Rights.servicesContact","Name.subject","Name.creator","Description.note","Alt ID.local","Opac url","Title","AltTitle.other","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Brown (Bob) Papers. Collection 723","ark:/21198/z1kh25x8","ark:/21198/zz0019qkht","2","Completed","Page","brown/masters/21198-zz0019qkht_734259_master.tif","1","","","","","still image","","","","","","","front","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kh25x8",""
"Brown (Bob) Papers. Collection 723","ark:/21198/z1fr1f6z","ark:/21198/zz0019qkht","2","Completed","Page","brown/masters/21198-zz0019qkht_734263_master.tif","2","","","","","text","","","","","","","back","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fr1f6z",""
