Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Type.genre,Rights.copyrightStatus,Subject,Name.subject,Name.author,Name.creator,Name.correspondent,Name.interviewee,Name.compiler,Coverage.geographic,Name.sponsor,Rights.servicesContact,Rights.rightsHolderName,Name.repository,Name.photographer,Name.interviewer,Language,Alt ID.local,Format.dimensions,Date.normalized,Description.note,Relation.isPartOf,Title,Date.creation,Format.extent,Description.caption,Alt ID.issueNo,Description.contents,AltTitle.uniform,Description.latitude,Description.longitude,Alt ID.oclc,Alt ID.url,Description.abstract,Opac url,AltTitle.other,Bucketeer State,IIIF Access URL
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0017b0th,ark:/21198/zz0017b0rg,2,Completed,Page,bunche/masters/21198-zz0017b0th_503916_master.tif,,,,text,,,,,letters (correspondence),"Regents of the University of California, UCLA Library.",African Americans--Civil rights|~|Race discrimination--Washington (D.C.),,,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,Washington (D.C.),,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,clusc_1_1_00017055a|~|uclamss_2051_b2_f9_1,28 x 23 cm.,1936-05-19,Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,"Letter, 1936 May 19, Washington D.C. to Mr. Charles B. Dulcan, Vice-President, Hechts Department Store, Washington D.C. ; Page 1","May 19, 1936",1 p.,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017b0th
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0017jptv,ark:/21198/zz0017jpsb,2,Completed,Page,bunche/masters/21198-zz0017jptv_505157_master.tif,1,,,text,,,,,drafts (documents)|~|speeches,"Regents of the University of California, UCLA Library.",African Americans--Civil rights|~|African Americans--Politics and government,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971","Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,clusc_1_1_00017057a|~|uclamss_2051_b43_f1_1-1r,22 x 14 cm.,1926/1927,Handwritten speech|~|Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,"Speech, ""The young Negro"", given in Los Angeles (draft); page 1, recto",1926 or 1927,30 p.,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jptv
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0017jrn7,ark:/21198/zz0017jpsb,2,Completed,Page,bunche/masters/21198-zz0017jrn7_505184_master.tif,3,,,text,,,,,drafts (documents)|~|speeches,"Regents of the University of California, UCLA Library.",African Americans--Civil rights|~|African Americans--Politics and government,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971","Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,uclamss_2051_b43_f1_1-2|~|clusc_1_1_00017058a,22 x 14 cm.,1926/1927,Digitization took place as part of the California Cultures Project.|~|Handwritten speech,http://calcultures.cdlib.org,"Speech, ""The young Negro"", given in Los Angeles (draft); page 2",1926 or 1927,30 p.,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jrn7
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0017jrpr,ark:/21198/zz0017jpsb,2,Completed,Page,bunche/masters/21198-zz0017jrpr_505197_master.tif,4,,,text,,,,,drafts (documents)|~|speeches,"Regents of the University of California, UCLA Library.",African Americans--Civil rights|~|African Americans--Politics and government,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971","Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,clusc_1_1_00017059a|~|uclamss_2051_b43_f1_1-3,22 x 14 cm.,1926/1927,Digitization took place as part of the California Cultures Project.|~|Handwritten speech,http://calcultures.cdlib.org,"Speech, ""The young Negro"", given in Los Angeles (draft); page 3",1926 or 1927,30 p.,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jrpr
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0017jrq8,ark:/21198/zz0017jpsb,2,Completed,Page,bunche/masters/21198-zz0017jrq8_505323_master.tif,5,,,text,,,,,drafts (documents)|~|speeches,"Regents of the University of California, UCLA Library.",African Americans--Civil rights|~|African Americans--Politics and government,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971","Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,clusc_1_1_00017060a|~|uclamss_2051_b43_f1_1-4,22 x 14 cm.,1926/1927,Digitization took place as part of the California Cultures Project.|~|Handwritten speech,http://calcultures.cdlib.org,"Speech, ""The young Negro"", given in Los Angeles (draft); page 4",1926 or 1927,30 p.,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jrq8
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0017jrrs,ark:/21198/zz0017jpsb,2,Completed,Page,bunche/masters/21198-zz0017jrrs_505434_master.tif,23,,,text,,,,,drafts (documents)|~|speeches,"Regents of the University of California, UCLA Library.",African Americans--Civil rights|~|African Americans--Politics and government,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971","Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,clusc_1_1_00017078a|~|uclamss_2051_b43_f1_1-22,22 x 14 cm.,1926/1927,Handwritten speech|~|Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,"Speech, ""The young Negro"", given in Los Angeles (draft); page 22",1926 or 1927,30 p.,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jrrs
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0017jrs9,ark:/21198/zz0017jpsb,2,Completed,Page,bunche/masters/21198-zz0017jrs9_505326_master.tif,6,,,text,,,,,drafts (documents)|~|speeches,"Regents of the University of California, UCLA Library.",African Americans--Civil rights|~|African Americans--Politics and government,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971","Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,uclamss_2051_b43_f1_1-5|~|clusc_1_1_00017061a,22 x 14 cm.,1926/1927,Digitization took place as part of the California Cultures Project.|~|Handwritten speech,http://calcultures.cdlib.org,"Speech, ""The young Negro"", given in Los Angeles (draft); page 5",1926 or 1927,30 p.,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jrs9
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0017jrvb,ark:/21198/zz0017jpsb,2,Completed,Page,bunche/masters/21198-zz0017jrvb_505332_master.tif,7,,,text,,,,,drafts (documents)|~|speeches,"Regents of the University of California, UCLA Library.",African Americans--Civil rights|~|African Americans--Politics and government,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971","Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,uclamss_2051_b43_f1_1-6|~|clusc_1_1_00017062a,22 x 14 cm.,1926/1927,Handwritten speech|~|Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,"Speech, ""The young Negro"", given in Los Angeles (draft); page 6",1926 or 1927,30 p.,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jrvb
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0017jrwv,ark:/21198/zz0017jpsb,2,Completed,Page,bunche/masters/21198-zz0017jrwv_505317_master.tif,8,,,text,,,,,drafts (documents)|~|speeches,"Regents of the University of California, UCLA Library.",African Americans--Civil rights|~|African Americans--Politics and government,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971","Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,clusc_1_1_00017063a|~|uclamss_2051_b43_f1_1-7,22 x 14 cm.,1926/1927,Handwritten speech.|~|Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,"Speech, ""The young Negro"", given in Los Angeles (draft); page 7",1926 or 1927,30 p.,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jrwv
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0017jrxc,ark:/21198/zz0017jpsb,2,Completed,Page,bunche/masters/21198-zz0017jrxc_505311_master.tif,9,,,text,,,,,drafts (documents)|~|speeches,"Regents of the University of California, UCLA Library.",African Americans--Civil rights|~|African Americans--Politics and government,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971","Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,uclamss_2051_b43_f1_1-8|~|clusc_1_1_00017064a,22 x 14 cm.,1926/1927,Handwritten speech|~|Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,"Speech, ""The young Negro"", given in Los Angeles (draft); page 8",1926 or 1927,30 p.,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jrxc
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0017jrzw,ark:/21198/zz0017jpsb,2,Completed,Page,bunche/masters/21198-zz0017jrzw_505308_master.tif,10,,,text,,,,,drafts (documents)|~|speeches,"Regents of the University of California, UCLA Library.",African Americans--Civil rights|~|African Americans--Politics and government,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971","Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,clusc_1_1_00017065a|~|uclamss_2051_b43_f1_1-9,22 x 14 cm.,1926/1927,Digitization took place as part of the California Cultures Project.|~|Handwritten speech,http://calcultures.cdlib.org,"Speech, ""The young Negro"", given in Los Angeles (draft); page 9",1926 or 1927,30 p.,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jrzw
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0017js0w,ark:/21198/zz0017jpsb,2,Completed,Page,bunche/masters/21198-zz0017js0w_505302_master.tif,11,,,text,,,,,drafts (documents)|~|speeches,"Regents of the University of California, UCLA Library.",African Americans--Civil rights|~|African Americans--Politics and government,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971","Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,uclamss_2051_b43_f1_1-10|~|clusc_1_1_00017066a,22 x 14 cm.,1926/1927,Digitization took place as part of the California Cultures Project.|~|Handwritten speech,http://calcultures.cdlib.org,"Speech, ""The young Negro"", given in Los Angeles (draft); page 10",1926 or 1927,30 p.,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017js0w
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0017jsck,ark:/21198/zz0017jpsb,2,Completed,Page,bunche/masters/21198-zz0017jsck_505365_master.tif,12,,,text,,,,,drafts (documents)|~|speeches,"Regents of the University of California, UCLA Library.",African Americans--Civil rights|~|African Americans--Politics and government,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971","Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,clusc_1_1_00017067a|~|uclamss_2051_b43_f1_1-11,22 x 14 cm.,1926/1927,Digitization took place as part of the California Cultures Project.|~|Handwritten speech,http://calcultures.cdlib.org,"Speech, ""The young Negro"", given in Los Angeles (draft); page 11",1926 or 1927,30 p.,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jsck
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0017jsd3,ark:/21198/zz0017jpsb,2,Completed,Page,bunche/masters/21198-zz0017jsd3_505368_master.tif,13,,,text,,,,,drafts (documents)|~|speeches,"Regents of the University of California, UCLA Library.",African Americans--Civil rights|~|African Americans--Politics and government,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971","Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,uclamss_2051_b43_f1_1-12|~|clusc_1_1_00017068a,22 x 14 cm.,1926/1927,Digitization took place as part of the California Cultures Project.|~|Handwritten speech,http://calcultures.cdlib.org,"Speech, ""The young Negro"", given in Los Angeles (draft); page 12",1926 or 1927,30 p.,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jsd3
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0017jsfm,ark:/21198/zz0017jpsb,2,Completed,Page,bunche/masters/21198-zz0017jsfm_505374_master.tif,14,,,text,,,,,drafts (documents)|~|speeches,"Regents of the University of California, UCLA Library.",African Americans--Civil rights|~|African Americans--Politics and government,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971","Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,clusc_1_1_00017069a|~|uclamss_2051_b43_f1_1-13,22 x 14 cm.,1926/1927,Digitization took place as part of the California Cultures Project.|~|Handwritten speech,http://calcultures.cdlib.org,"Speech, ""The young Negro"", given in Los Angeles (draft); page 13",1926 or 1927,30 p.,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jsfm
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0017jsg4,ark:/21198/zz0017jpsb,2,Completed,Page,bunche/masters/21198-zz0017jsg4_505377_master.tif,15,,,text,,,,,drafts (documents)|~|speeches,"Regents of the University of California, UCLA Library.",African Americans--Civil rights|~|African Americans--Politics and government,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971","Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,uclamss_2051_b43_f1_1-14|~|clusc_1_1_00017070a,22 x 14 cm.,1926/1927,Handwritten speech|~|Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,"Speech, ""The young Negro"", given in Los Angeles (draft); page 14",1926 or 1927,30 p.,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jsg4
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0017jshn,ark:/21198/zz0017jpsb,2,Completed,Page,bunche/masters/21198-zz0017jshn_505383_master.tif,16,,,text,,,,,drafts (documents)|~|speeches,"Regents of the University of California, UCLA Library.",African Americans--Civil rights|~|African Americans--Politics and government,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971","Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,uclamss_2051_b43_f1_1-15|~|clusc_1_1_00017071a,22 x 14 cm.,1926/1927,Handwritten speech|~|Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,"Speech, ""The young Negro"", given in Los Angeles (draft); page 15",1926 or 1927,30 p.,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jshn
