Project Name,Item ARK,Parent ARK,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Type.genre,Rights.copyrightStatus,Subject,Name.subject,Author,Name.creator,Name.correspondent,Name.interviewee,Name.compiler,Coverage.geographic,Name.sponsor,Rights.servicesContact,Rights.rightsHolderName,Name.repository,Name.photographer,Name.interviewer,Language,Alt ID.local,Format.dimensions,Date.normalized,Description.note,Relation.isPartOf,Title,Date.creation,Format.extent,Description.caption,Alt ID.issueNo,Description.contents,AltTitle.uniform,Description.latitude,Description.longitude,Alt ID.oclc,Finding Aid URL,Description.abstract,Opac url,AltTitle.other,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009kcd6,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,Work,bunche/masters/21198-zz0009kcd6-1-master.tif,,,,still image,,,,,Black-and-white photographs|~|snapshots|~|Portrait photographs,,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,,,,,,,,clus_2051_b70_no215,10 x 10 cm. (4 x 4 in.),1936/1939,,,"Ralph J. Bunche, snapshot portrait, circa 1937-1938 [No. 215]",circa 1937-1938,1 photographic print mounted on index card,,Photo No. 215,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kcd6,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009kcd6/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009kcfq,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,Work,bunche/masters/21198-zz0009kcfq-1-master.tif,,,,still image,,,,,Black-and-white photographs|~|snapshots,,,,,,,,,Githungur Division (Kenya),,,,,,,,clus_2051_b70_no346,10 x 10 cm. (4 x 4 in.),1936/1939,,,"Officials and H.E. at Githunguri, Kenya [No. 346]",circa 1937-1938,1 photographic print mounted on index card,"""H.E."" at Githunguri",Photo No. 346,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kcfq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009kcfq/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009kcg7,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,Work,bunche/masters/21198-zz0009kcg7-1-master.tif,,,,still image,,,,,Black-and-white photographs|~|Portrait photographs,,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,,,,,,,,clus_2051_b147_f12_01,20 x 25 cm. (8 x 10 in.),1940/1950,,,"Ralph J. Bunche, portrait, circa 1945",circa 1945,1 photographic print,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kcg7,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009kcg7/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009kchr,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,Work,bunche/masters/21198-zz0009kchr-1-master.tif,,,,still image,,,,,Black-and-white photographs|~|snapshots,,,,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,Mengo (Uganda),,,,,,,,clus_2051_b70_no138,6 x 6 cm. (2.5 x 2.5 in.),1936/1939,,,"Ralph J. Bunche with Rock and his family, Mengo, Uganda [No. 138]",circa 1937-1938,1 photographic print mounted on index card,"Rock, his family & me, Mengo, Uganda",Photo No. 138,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kchr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009kchr/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009kcj8,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,Work,bunche/masters/21198-zz0009kcj8-1-master.tif,,,,still image,,,,,Black-and-white photographs|~|snapshots|~|Portrait photographs,,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,Bukoba (Tanzania),,,,,,,,clus_2051_b70_no293,10 x 10 cm. (4 x 4 in.),1936/1939,,,"Ralph J. Bunche at Bukoba, Tanzania [No. 293]",circa 1937-1938,1 photographic print mounted on index card,Me & my whiskers at Bukoba,Photo No. 293,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kcj8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009kcj8/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009kcks,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,Work,bunche/masters/21198-zz0009kcks-1-master.tif,,,,still image,,,,,Black-and-white photographs|~|snapshots,,,,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,Githungur Division (Kenya),,,,,,,,Photo No. 377|~|clus_2051_b70_no377,10 x 10 cm. (4 x 4 in.),1936/1939,,,"Crowd at Githunguri to hear ""H.B."" [No. 377]",circa 1937-1938,1 photographic print mounted on index card,"Crowd at Githunguri to hear ""H.B.""",,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kcks,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009kcks/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009kcm9,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,Work,bunche/masters/21198-zz0009kcm9-1-master.tif,,,,still image,,,,,Black-and-white photographs|~|snapshots,,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,Kiambu District (Kenya),,,,,,,,clus_2051_b70_no144,10 x 10 cm. (4 x 4 in.),1936/1939,,,"Ralph J. Bunche and Nabasan in Kiamba, Kenya [No. 144]",circa 1937-1938,1 photographic print mounted on index card,Nabasan & me Kiamba Kenya,Photo No. 144,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kcm9,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009kcm9/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009kcnt,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,Work,bunche/masters/21198-zz0009kcnt-1-master.tif,,,,still image,,,,,Black-and-white photographs|~|Portrait photographs,,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,,,,,,,,"Box 400, folder 19|~|clus_2051_b147_f5_02",20 x 25 cm. (8 x 10 in.),1958-03-30,,,"Ralph J. Bunche, 3/4 turn portrait, 1958","March 30, 1958",1 photographic print,,,"At ""Youth Wants to Know"" forum.",,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kcnt,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009kcnt/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009kcpb,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,Work,bunche/masters/21198-zz0009kcpb-1-master.tif,,,,still image,,,,,Black-and-white photographs|~|snapshots,,,,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,Githungur Division (Kenya),,,,,,,,clus_2051_b70_no128,10 x 10 cm. (4 x 4 in.),1936/1939,,,"Part of crowd at Githunguri to hear ""His Excellency."" [No.128]",circa 1937-1938,1 photographic print mounted on index card,"Part of crowd at Githunguri to hear ""His Excellency""",Photo No. 128,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kcpb,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009kcpb/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009kcqv,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,Work,bunche/masters/21198-zz0009kcqv-1-master.tif,,,,still image,,,,,Black-and-white photographs|~|Portrait photographs,,,,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,,,,,,clus_2051_b70_no280,10 x 10 cm. (4 x 4 in.),1936/1939,,,Chief Koinange [No. 280],circa 1937-1938,1 photographic print mounted on index card,,Photo No. 280,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kcqv,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009kcqv/manifest
